period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,227333.3333333333,235466.3333333333,147.38074147621953,131.49762016257966,12.0,12.333333333333334,16.333333333333332,43.66666666666666,5.966666666666666,55.0,0.9421795373746574,0.075268817204301,0.2466307277628032,0.1956989247311827,6.72,0.0
2019-02-28,233966.66666666663,421225.0,120.04982649194471,170.55868504863366,17.0,13.0,34.0,46.0,3.4333333333333336,74.0,0.980552124598844,0.28743961352657,0.1773607748184019,0.1714285714285714,7.67,-0.1854442765758833
2019-03-31,280268.75,254325.0,111.09836449068357,122.60151860516191,14.75,21.25,29.0,38.75,2.625,74.75,0.998196313198488,0.345,0.5126262626262627,0.504746835443038,7.32,-0.0745645559251332
2019-04-30,243600.0,290687.5,129.42767358746175,148.8645226283045,22.5,25.666666666666668,35.5,51.0,5.3,319.75,0.9321368701478088,0.3493975903614458,0.4930167597765363,0.3675799086757991,7.08,0.1649827086186786
2019-05-31,271225.0,266000.0,162.1103896103896,148.08711045821417,24.75,26.75,39.5,61.0,4.95,28.75,1.0093258941298715,0.3044871794871794,0.2199828473413378,0.6287128712871287,6.94,0.2525172176632091
2019-06-30,249262.5,307187.5,141.8634945415843,139.56355167304628,28.25,26.25,28.5,57.75,2.3,49.75,1.0081920910282585,0.5056518151815181,0.3752349364289662,0.4634408602150537,6.57,-0.1248957276425403
2019-07-31,294487.5,260950.0,154.484089887633,127.74472448175304,25.5,21.25,21.25,52.25,2.925,33.75,0.9861172869905004,0.2326923076923076,0.3540489642184557,0.1458333333333333,4.48,0.0889629526385962
2019-08-31,292831.25,263787.5,125.19797152332582,176.89931919816036,26.0,14.5,18.5,50.0,4.55,42.75,0.9559996980379508,0.2369791666666666,0.4437710437710437,0.2676282051282051,4.55,-0.1895736861032679
2019-09-30,273833.3333333333,242900.0,131.95722572833543,132.3453779737321,24.33333333333333,21.0,38.66666666666666,72.66666666666667,2.766666666666667,33.0,1.0173973481535643,0.3391577060931899,0.4502590673575128,0.2342767295597484,7.37,0.0539885281108591
2019-10-31,265500.0,240800.0,152.48518214503952,131.2208908000693,15.6,20.0,20.5,49.75,2.7,85.6,0.964850258497003,0.0971428571428571,0.2399395476318553,0.2128378378378378,7.74,0.1555652318651019
2019-11-30,336250.0,390066.6666666667,140.73453612814336,171.8232859970228,18.0,13.0,14.666666666666666,41.25,3.775,54.75,0.9652305888233452,0.0932835820895522,0.1821428571428571,0.3061224489795918,6.23,-0.0770609042242497
2019-12-31,308000.0,345100.0,128.40027113463128,165.91134132805337,16.0,13.0,9.666666666666666,31.0,5.75,127.5,0.9758175372867306,0.0466101694915254,0.1978571428571428,0.0648148148148148,4.82,-0.087642062373953
2020-01-31,270800.0,399450.0,122.99617102985248,195.25641025641025,12.25,12.0,31.5,29.0,2.65,66.75,0.9532921587169104,0.1676829268292682,0.2553606237816764,0.0795454545454545,5.18,-0.0420879181720142
2020-02-29,273166.6666666667,483266.6666666667,131.630145377241,171.88291985954652,20.666666666666668,52.0,32.0,45.66666666666666,5.366666666666667,69.0,0.8332846867695292,0.4333333333333333,0.1300813008130081,0.5576923076923077,5.42,0.0701970986177527
2020-03-31,332333.3333333333,271781.6666666667,127.63129372777286,143.41580981142775,23.666666666666668,36.0,32.666666666666664,48.333333333333336,2.6666666666666665,65.33333333333333,0.98277928449016,0.3247863247863248,0.1698537682789651,0.3823529411764705,6.35,-0.0303794517434268
2020-04-30,338375.0,263625.0,153.40390451307073,136.9989894554901,17.5,22.666666666666668,20.75,39.25,6.125,138.5,0.9376789287063104,0.3409090909090909,0.1538461538461538,0.3125,11.37,0.2019301852433521
2020-05-31,336525.0,288950.0,127.5429062322092,170.17550345764258,20.75,22.25,27.0,41.25,3.75,75.75,0.9923005541469134,0.319078947368421,0.2464494569757727,0.4118975903614458,9.87,-0.1685810955265355
2020-06-30,320085.0,303950.0,212.1936907503391,151.18400826316065,19.4,23.25,25.0,39.25,3.125,48.8,1.0034137553988196,0.4037878787878787,0.2421875,0.2025193798449612,12.21,0.6637043722683535
2020-07-31,303030.0,279337.25,130.12794730664282,140.54614265076992,23.8,25.25,25.25,35.5,1.725,86.4,0.9795579155329082,0.3062413314840498,0.4478260869565216,0.4738095238095238,13.31,-0.3867492155563307
