period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-02-28,279990.0,300000.0,142.93760831889082,149.35064935064935,97.0,93.0,117.0,277.0,2.9,51.0,0.9873911584987896,0.1546391752577319,0.2021660649819494,0.3440860215053763,0.0,0.0
2019-03-31,309500.0,303900.0,150.40650406504065,148.14814814814815,123.0,118.0,173.0,304.0,2.5,42.0,1.0033255847119005,0.3495934959349593,0.2105263157894736,0.423728813559322,0.1,0.0522528383816727
2019-04-30,292500.0,305450.0,151.12486076144248,148.63497585913092,136.0,145.0,190.0,305.0,2.2,30.0,1.0033148427240153,0.3823529411764705,0.1868852459016393,0.4827586206896551,0.1,0.0047761012787796
2019-05-31,300000.0,307450.0,143.81591562799616,149.55063126674492,179.0,151.0,204.0,331.0,1.8,28.0,1.0032523837414205,0.3854748603351955,0.2265861027190332,0.3841059602649006,0.1,-0.0483636186436844
2019-06-30,315000.0,310500.0,152.91262135922327,145.19097815073363,168.0,148.0,230.0,380.0,2.3,35.0,1.00861134764932,0.3095238095238095,0.231578947368421,0.4054054054054054,0.0,0.0632524271844658
2019-07-31,306352.5,307000.0,149.50264701044017,149.93705035971223,149.0,157.0,185.0,367.0,2.5,34.0,1.0003850477105445,0.3221476510067113,0.2670299727520436,0.2993630573248407,0.0,-0.0223001497095021
2019-08-31,315000.0,310000.0,147.98850574712642,149.83056478405317,176.0,183.0,168.0,319.0,1.8,38.0,1.000519501744627,0.3238636363636363,0.2476489028213166,0.3005464480874316,0.07,-0.0101278558847724
2019-09-30,310000.0,299900.0,147.16781525552472,151.25486328017973,158.0,115.0,158.0,332.0,2.1,43.0,1.00117740346526,0.3227848101265822,0.2560240963855421,0.3652173913043478,0.07,-0.0055456367199494
2019-10-31,288000.0,299999.0,148.8095238095238,151.19373781676413,145.0,113.0,140.0,315.0,2.2,37.0,0.9990282913717254,0.3517241379310344,0.2825396825396825,0.327433628318584,0.07,0.011155350449068
2019-11-30,325000.0,299900.0,144.90372272143773,148.29245994787266,120.0,107.0,112.0,287.0,2.4,41.0,1.0062887491917534,0.3083333333333333,0.2543554006968641,0.3177570093457943,0.0,-0.0262469833119383
2019-12-31,298000.0,309000.0,149.7628384963911,149.03239982234504,134.0,78.0,80.0,257.0,1.9,44.0,0.9964583601042338,0.3134328358208955,0.1867704280155642,0.3076923076923077,0.13,0.0335334088296304
2020-01-31,284500.0,309900.0,150.03209617180204,149.0973312401884,98.0,83.0,133.0,260.0,2.7,55.0,0.995371804576886,0.2244897959183673,0.2307692307692307,0.3855421686746988,0.13,0.0017978937773499
2020-02-29,318124.5,325000.0,148.4641380101719,157.28894121751267,98.0,111.0,122.0,224.0,2.3,66.0,0.9894573719106088,0.1836734693877551,0.2008928571428571,0.4324324324324324,0.43,-0.0104508182024909
2020-03-31,310000.0,322500.0,146.8840579710145,153.88367596618093,142.0,143.0,150.0,198.0,1.4,42.0,0.997857411634921,0.2887323943661971,0.1767676767676767,0.4755244755244755,0.3,-0.0106428398152902
2020-04-30,325000.0,329975.0,153.48837209302326,153.06203331180978,130.0,106.0,118.0,190.0,1.5,28.0,1.0019350332938006,0.323076923076923,0.1684210526315789,0.3867924528301887,0.63,0.0449627700462362
2020-05-31,310000.0,321000.0,154.57543281121187,164.36392075078206,121.0,118.0,119.0,177.0,1.5,30.0,0.9988761302442044,0.3719008264462809,0.2033898305084745,0.4491525423728813,1.85,0.0070823652851681
2020-06-30,330000.0,338000.0,156.97674418604652,160.243221993362,139.0,125.0,147.0,174.0,1.3,29.0,1.0046946660898928,0.3597122302158273,0.160919540229885,0.5759999999999998,2.24,0.0155348837209303
2020-07-31,339900.0,330000.0,155.04488453503734,167.37875288683605,156.0,151.0,181.0,183.0,1.2,26.0,1.0013419124341727,0.4294871794871794,0.1475409836065573,0.5165562913907285,3.04,-0.0123066614805028
2020-08-31,335000.0,325000.0,169.1988950276243,162.36654804270464,159.0,171.0,175.0,170.0,1.1,24.0,1.0105708586848248,0.5094339622641509,0.1294117647058823,0.5672514619883041,2.41,0.0912897612522547
2020-09-30,348250.0,341750.0,159.42028985507247,166.55007476635512,174.0,148.0,146.0,151.0,0.9,24.0,1.0095542006848746,0.4597701149425287,0.1324503311258278,0.5,2.91,-0.05779355220349
2020-10-31,330000.0,339900.0,161.95114409400125,172.07792207792207,182.0,167.0,186.0,160.0,0.9,18.0,1.0119775920797769,0.521978021978022,0.1625,0.5149700598802394,2.69,0.0158753584078259
2020-11-30,346000.0,330000.0,171.99974302202958,175.6078734079506,161.0,155.0,137.0,130.0,0.8,22.0,1.0090153698330235,0.4472049689440993,0.1846153846153846,0.5806451612903226,2.41,0.0620471005885319
2020-12-31,350000.0,330000.0,175.6078734079506,175.7910597689603,210.0,130.0,113.0,102.0,0.5,18.0,1.008868456902165,0.4571428571428571,0.1568627450980392,0.4307692307692307,2.47,0.0209775335853781
2021-01-31,340000.0,341000.0,175.00982683709208,183.99387614283248,117.0,117.0,128.0,104.0,0.9,21.0,1.011221340846802,0.4615384615384615,0.2019230769230769,0.5555555555555555,2.41,-0.0034055794837239
2021-02-28,347500.0,337950.0,178.363880196692,185.97140039447729,108.0,110.0,100.0,88.0,0.8,14.0,1.0094688515034205,0.5277777777777777,0.1704545454545454,0.509090909090909,3.0,0.0191649430218683
2021-03-31,340000.0,354500.0,177.16535433070865,181.1639889841356,135.0,142.0,160.0,101.0,0.6999999999999998,19.0,1.0054528587981797,0.4666666666666666,0.1386138613861386,0.676056338028169,3.66,-0.0067195547924931
2021-04-30,355000.0,375000.0,180.86816720257235,178.3023606228026,133.0,144.0,189.0,141.0,1.1,9.0,1.0103857269500591,0.4812030075187969,0.1063829787234042,0.6597222222222222,3.62,0.0209003215434084
2021-05-31,375000.0,362500.0,186.6693996426736,184.78260869565216,153.0,177.0,204.0,164.0,1.1,10.0,1.0186202269478672,0.5294117647058822,0.1646341463414634,0.6214689265536723,3.16,0.0320743695799374
2021-06-30,367000.0,369900.0,181.0185185185185,182.6418693371483,205.0,202.0,203.0,158.0,0.8,11.0,1.0240298062499429,0.6146341463414634,0.1962025316455696,0.6435643564356435,2.87,-0.0302721342382421
2021-07-31,369450.0,360000.0,194.25789903229568,187.5,194.0,191.0,283.0,243.0,1.3,9.0,1.0234214126914625,0.5979381443298968,0.2345679012345678,0.6439790575916229,2.64,0.0731382657538586
2021-08-31,380000.0,385000.0,189.7609196008152,182.4817518248175,202.0,217.0,229.0,244.0,1.2,11.0,1.0169347201483252,0.5198019801980198,0.290983606557377,0.4423963133640553,2.57,-0.0231495319051754
2021-09-30,376000.0,379900.0,184.12980303519527,183.4862385321101,217.0,204.0,203.0,232.0,1.1,26.0,1.0120017543853732,0.5161290322580645,0.2629310344827586,0.4509803921568627,2.37,-0.0296747959351465
2021-10-31,377000.0,377450.0,182.5662222612052,190.9478136578902,192.0,182.0,184.0,224.0,1.2,27.0,1.0078499692644745,0.4583333333333333,0.2991071428571428,0.4285714285714285,2.95,-0.0084917310952165
2021-11-30,366500.0,363000.0,185.39653784219,185.9637774902976,193.0,162.0,141.0,186.0,1.0,29.0,1.0041953915756712,0.4404145077720207,0.1935483870967741,0.382716049382716,3.03,0.0155029530979469
2021-12-31,385000.0,372000.0,189.4612196566016,189.44138920332225,181.0,137.0,108.0,144.0,0.8,34.0,1.0052312491550996,0.4198895027624309,0.1319444444444444,0.3503649635036496,3.03,0.0219242595450808
2022-01-31,380000.0,412695.0,187.12916476494752,187.09625322997417,117.0,117.0,102.0,117.0,1.0,33.0,1.0097744695308288,0.4444444444444444,0.188034188034188,0.3846153846153846,2.7,-0.0123088772250117
2022-02-28,405000.0,399900.0,181.15942028985503,194.12878787878788,127.0,114.0,107.0,97.0,0.8,33.0,1.015850855360777,0.5905511811023622,0.1134020618556701,0.4912280701754385,2.79,-0.031901732060799
2022-03-31,400500.0,406250.0,192.57450498933065,185.31602490958704,110.0,125.0,130.0,88.0,0.8,19.0,1.0159639665976972,0.5727272727272728,0.1931818181818181,0.544,3.08,0.0630112675411054
2022-04-30,410000.0,399446.5,187.5,200.3073710390784,135.0,139.0,180.0,125.0,0.9,13.0,1.0124771793478948,0.4666666666666666,0.216,0.6258992805755395,3.94,-0.0263508660692742
2022-05-31,410000.0,409950.0,200.6400462282816,202.2556868725378,160.0,157.0,152.0,114.0,0.6999999999999998,13.0,1.0190632060964155,0.59375,0.1491228070175438,0.6433121019108279,4.75,0.0700802465508352
2022-06-30,404500.0,399999.0,201.67325400813908,199.16628068550256,144.0,128.0,193.0,174.0,1.2,13.0,1.0141817565893767,0.548611111111111,0.189655172413793,0.484375,4.49,0.0051495591198276
2022-07-31,400000.0,397450.0,201.92307692307693,193.0894308943089,135.0,140.0,188.0,218.0,1.6,28.0,1.010846078687446,0.5185185185185184,0.2614678899082568,0.3214285714285714,3.67,0.0012387508505602
2022-08-31,400000.0,390000.0,196.9327859449619,198.69745718733785,137.0,134.0,144.0,223.0,1.6,30.0,1.0006667514457592,0.3722627737226277,0.3318385650224215,0.2985074626865671,3.66,-0.0247138219868554
2022-09-30,392500.0,399999.0,201.45631067961165,191.7370103962428,128.0,120.0,149.0,243.0,1.9,35.0,1.0070507582826005,0.421875,0.3127572016460905,0.2583333333333333,3.92,0.0229698915441838
2022-10-31,382140.0,387450.0,194.85903814262025,197.11902956785443,123.0,109.0,100.0,219.0,1.8,37.0,1.0032911887707263,0.3252032520325203,0.4246575342465753,0.2568807339449541,4.6,-0.0327479070510898
2022-11-30,418725.0,375500.0,187.83698645712263,198.57142857142856,110.0,92.0,101.0,208.0,1.9,34.0,0.999679129391227,0.3454545454545454,0.2836538461538461,0.2608695652173913,4.88,-0.0360365716285536
2022-12-31,385350.0,399950.0,194.1514860977948,205.5,98.0,75.0,71.0,167.0,1.7,48.0,0.99782577319204,0.2551020408163265,0.2095808383233532,0.28,5.23,0.0336169130466408
2023-01-31,374000.0,424995.0,201.0621245407484,191.8631530282016,78.0,56.0,80.0,167.0,2.1,52.0,0.9924311247619744,0.3076923076923077,0.1976047904191616,0.25,5.15,0.0355940538074104
2023-02-28,390000.0,420000.0,192.0833333333333,195.59782608695653,82.0,86.0,83.0,143.0,1.7,46.0,1.0013355011260403,0.2804878048780488,0.1748251748251748,0.4186046511627907,4.43,-0.044656800617838
2023-03-31,425000.0,429995.0,191.8631530282016,196.395697167756,108.0,76.0,116.0,155.0,1.4,40.0,1.000212921286196,0.3796296296296296,0.096774193548387,0.4342105263157894,5.76,-0.0011462749074101
2023-04-30,415000.0,425000.0,202.3996167581221,201.6742770167428,103.0,98.0,105.0,150.0,1.5,31.0,1.0047752981801514,0.4368932038834951,0.14,0.4285714285714285,6.5,0.0549165567417302
2023-05-31,426175.0,425500.0,197.9293544457978,189.24380631877256,114.0,93.0,123.0,167.0,1.5,29.0,1.0076001620601296,0.4736842105263157,0.1616766467065868,0.3333333333333333,6.88,-0.0220863180668295
2023-06-30,429990.0,420000.0,201.97486535008977,206.59828363109392,89.0,107.0,113.0,161.0,1.8,31.0,1.0115817802396607,0.4719101123595505,0.2111801242236024,0.3457943925233644,5.79,0.0204391658610689
2023-07-31,432500.0,409000.0,203.69907407407408,202.7972027972028,100.0,99.0,133.0,185.0,1.9,31.0,1.0093203036754046,0.54,0.1351351351351351,0.3939393939393939,5.52,0.0085367489711933
2023-08-31,430000.0,413500.0,196.58058071495688,206.66425045197133,125.0,109.0,127.0,190.0,1.5,36.0,1.0022634618661252,0.384,0.231578947368421,0.2935779816513761,5.62,-0.0349461252657858
2023-09-30,380095.0,400000.0,216.8040979510245,209.11654135338347,98.0,107.0,127.0,195.0,2.0,37.0,0.9934269212055644,0.3673469387755102,0.241025641025641,0.2803738317757009,5.62,0.1028764751966617
