period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-02-28,283745.0,300000.0,143.06989500605732,149.35064935064935,64.0,64.0,74.0,178.0,2.8,54.0,0.9845096378914872,0.15625,0.2078651685393258,0.328125,0.0,0.0
2019-03-31,339000.0,303900.0,148.89896373056996,148.14814814814815,79.0,72.0,120.0,208.0,2.6,39.0,1.0102769439781127,0.3544303797468354,0.2211538461538461,0.4444444444444444,0.1,0.0407428042375082
2019-04-30,305000.0,305450.0,147.65784114052954,148.63497585913092,81.0,85.0,113.0,210.0,2.6,30.0,1.007685988989116,0.4074074074074073,0.2142857142857142,0.4470588235294117,0.1,-0.0083353339670395
2019-05-31,330000.0,307450.0,139.5264116575592,149.55063126674492,120.0,107.0,145.0,231.0,1.9,30.0,1.004355722386522,0.4083333333333333,0.2467532467532467,0.3738317757009345,0.1,-0.0550694051881163
2019-06-30,324900.0,310500.0,150.48268029528677,145.19097815073363,115.0,95.0,165.0,277.0,2.4,35.0,1.0112731317413384,0.3130434782608695,0.2563176895306859,0.4210526315789473,0.0,0.078524692977969
2019-07-31,342450.0,307000.0,148.4404575715791,149.93705035971223,105.0,113.0,122.0,258.0,2.5,34.0,1.0008035007811795,0.2952380952380952,0.2906976744186046,0.2920353982300885,0.0,-0.0135711479866008
2019-08-31,340000.0,310000.0,142.5,149.83056478405317,118.0,116.0,106.0,224.0,1.9,34.0,1.0025110870207716,0.3305084745762711,0.2544642857142857,0.2672413793103448,0.07,-0.0400191273239275
2019-09-30,324450.0,299900.0,145.41360014748238,151.25486328017973,112.0,83.0,97.0,215.0,1.9,48.0,1.000605868298607,0.2857142857142857,0.3023255813953488,0.3614457831325301,0.07,0.0204463168244377
2019-10-31,324450.0,299999.0,144.19069840114923,151.19373781676413,92.0,59.0,90.0,213.0,2.3,45.0,1.0008860245373363,0.3478260869565217,0.3051643192488263,0.3559322033898305,0.07,-0.0084098168609596
2019-11-30,347450.0,299900.0,144.75607135181605,148.29245994787266,74.0,59.0,63.0,189.0,2.6,44.0,1.0057681039031252,0.3108108108108108,0.2804232804232804,0.2881355932203389,0.0,0.0039210084765239
2019-12-31,315000.0,309000.0,147.57970035566547,149.03239982234504,78.0,49.0,52.0,170.0,2.2,57.0,0.9956521001055024,0.3333333333333333,0.2,0.2244897959183673,0.13,0.0195061179643847
2020-01-31,290000.0,309900.0,147.0617780010045,149.0973312401884,67.0,50.0,75.0,166.0,2.5,59.0,0.9893516047208358,0.208955223880597,0.2409638554216867,0.4199999999999999,0.13,-0.0035094417010792
2020-02-29,331000.0,325000.0,148.6097794822627,157.28894121751267,59.0,67.0,80.0,146.0,2.5,72.0,0.9856288294138204,0.1525423728813559,0.1986301369863013,0.4925373134328358,0.43,0.0105261985969433
2020-03-31,337000.0,322500.0,138.45167246294085,153.88367596618093,88.0,86.0,101.0,139.0,1.6,42.0,1.0015211532458637,0.375,0.1510791366906474,0.5116279069767442,0.3,-0.0683542298138882
2020-04-30,367500.0,329975.0,152.7478711331759,153.06203331180978,89.0,71.0,77.0,131.0,1.5,29.0,0.9999695652813791,0.2921348314606741,0.1755725190839694,0.3380281690140845,0.63,0.1032576812971448
2020-05-31,333000.0,321000.0,155.6532096253716,164.36392075078206,82.0,75.0,77.0,126.0,1.5,30.0,1.000244288719982,0.4268292682926829,0.1904761904761904,0.3866666666666666,1.85,0.0190204843487646
2020-06-30,354890.0,338000.0,156.9423929098966,160.243221993362,85.0,91.0,102.0,117.0,1.4,30.0,1.0014602882203787,0.3176470588235293,0.1709401709401709,0.5934065934065934,2.24,0.0082824073311935
2020-07-31,359900.0,330000.0,153.17876559002238,167.37875288683605,107.0,100.0,117.0,117.0,1.1,30.0,1.0020121463551803,0.4392523364485981,0.1538461538461538,0.4699999999999999,3.04,-0.0239809477228691
2020-08-31,355000.0,325000.0,167.1497584541063,162.36654804270464,110.0,113.0,108.0,100.0,0.9,27.0,1.0123276536022336,0.5363636363636363,0.13,0.5221238938053097,2.41,0.0912071122277926
2020-09-30,370000.0,341750.0,154.3983244478294,166.55007476635512,119.0,101.0,105.0,97.0,0.8,25.0,1.0081114680562893,0.4621848739495798,0.1443298969072164,0.5148514851485148,2.91,-0.0762874809046045
2020-10-31,370000.0,339900.0,160.3869653767821,172.07792207792207,122.0,116.0,113.0,87.0,0.6999999999999998,17.0,1.012392101030972,0.5,0.1954022988505747,0.5258620689655172,2.69,0.0387869554308293
2020-11-30,360000.0,330000.0,171.99974302202958,175.6078734079506,101.0,99.0,87.0,68.0,0.6999999999999998,24.0,1.0100516949606524,0.495049504950495,0.1911764705882352,0.5858585858585857,2.41,0.0724047469690987
