period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,84000.0,94500.0,67.2782874617737,69.18338557993731,51.0,49.0,64.0,189.0,3.7,40.0,0.9606355451623192,0.2352941176470588,0.2539682539682539,0.3877551020408163,1.52,0.0
2019-02-28,88450.0,121900.0,71.34071340713407,100.6831902741875,56.0,45.0,67.0,185.0,3.3,50.0,0.9685429513359952,0.125,0.1891891891891892,0.4222222222222222,3.42,0.0603824220060382
2019-03-31,79250.0,88950.0,67.12239349675197,77.08711433756805,70.0,49.0,81.0,189.0,2.7,35.0,0.9474794110207512,0.2,0.1851851851851851,0.6122448979591836,6.63,-0.0591292083989767
2019-04-30,130225.0,141725.0,105.9311446293536,91.03090262480764,35.0,66.0,53.5,105.0,3.75,134.0,0.9765228897366368,0.088235294117647,0.2189054726368159,0.5909090909090909,10.51,0.5781788924806379
2019-05-31,177000.0,135000.0,79.90497353020038,89.80263157894737,46.0,31.0,95.0,102.5,2.1,79.0,0.966225389378404,0.2734082397003745,0.2562814070351758,0.3442622950819672,10.73,-0.2456895107686899
2019-06-30,137500.0,131500.0,85.52661213277534,79.12976935285013,37.0,41.0,49.5,101.5,2.25,33.5,0.9979659486650314,0.3215962441314554,0.2474747474747474,0.2974683544303797,9.18,0.0703540512462623
2019-07-31,130225.0,198700.0,67.0552910319035,94.62826035065272,44.5,33.0,51.0,110.0,2.5,39.5,0.9822558604384872,0.1379310344827586,0.2697674418604651,0.3125,5.21,-0.215971621466733
2019-08-31,137725.0,134937.5,92.78405068033904,84.21024366267889,40.5,33.0,45.5,109.5,2.35,48.5,0.9783359714141862,0.3141025641025641,0.2957746478873239,0.1953125,4.26,0.3836946980991305
2019-09-30,159250.0,104500.0,91.77224666457543,63.71680447567585,32.5,32.0,45.0,114.0,3.5,51.5,0.9624759062100622,0.1428571428571428,0.2941176470588235,0.2619047619047619,6.38,-0.0109049347204023
2019-10-31,135975.0,110000.0,84.77568621921414,121.40807748538012,41.0,32.0,45.0,113.0,2.25,46.0,0.9738635939920588,0.0632911392405063,0.2850678733031674,0.221311475409836,6.92,-0.0762383040586713
2019-11-30,128125.0,117787.5,73.43147197094405,75.4623764867176,31.5,30.0,26.0,95.5,4.5,58.5,1.0011680285828166,0.6048387096774194,0.2972972972972973,0.2288135593220339,6.54,-0.1338144785868918
2019-12-31,92750.0,128925.0,92.56538646401792,76.7920059178087,34.5,16.0,20.5,84.5,2.45,30.0,0.9943400984387952,0.6268656716417911,0.2073170731707317,0.0666666666666666,3.64,0.2605683091937056
2020-01-31,155225.0,199500.0,83.68959633750723,91.58959478303665,28.5,24.5,35.0,78.0,1.9,60.5,0.9741798706345108,0.074074074074074,0.1699346405228758,0.2340425531914893,1.88,-0.0958867073920864
2020-02-29,92000.0,117000.0,80.90277777777777,85.65928777670835,43.0,40.0,61.0,146.0,3.4,58.0,0.9600549186364832,0.1395348837209302,0.2191780821917808,0.525,1.76,-0.0332994623189559
2020-03-31,93500.0,127400.0,59.12801583649827,85.36809008227306,38.0,58.0,42.5,73.5,1.5,101.0,0.8854212790861229,0.0743243243243243,0.1586206896551724,0.5344827586206896,1.47,-0.269147272063884
2020-04-30,120000.0,133700.0,83.14220183486239,84.77028861531596,39.0,15.0,26.0,147.0,3.8,52.0,1.0077053846463166,0.2564102564102563,0.0476190476190476,0.4666666666666666,2.76,0.4061388777997985
2020-05-31,198700.0,149975.0,89.92292341481743,87.62920967359366,20.5,76.0,49.5,73.0,3.3,89.0,0.9717324679366992,0.0749999999999999,0.1958041958041958,0.631578947368421,2.89,0.081555713347873
2020-06-30,133500.0,178675.0,83.00785334839168,106.47610143424906,33.0,44.5,50.5,70.5,3.05,53.5,0.9888899400013136,0.6307692307692307,0.2116788321167883,0.3352272727272727,2.82,-0.0768999694830461
2020-07-31,146750.0,170625.0,84.36639733075643,97.4061874096596,56.0,40.5,56.0,74.5,1.65,34.5,0.9547724007166078,0.1909090909090909,0.2206896551724137,0.3291139240506328,1.57,0.0163664512159207
2020-08-31,191625.0,177700.0,104.76416296789196,90.62378238444666,48.0,49.5,63.5,80.5,4.3,43.0,0.9668448160789744,0.2,0.1948051948051948,0.3622448979591836,1.26,0.2417759473261207
2020-09-30,131000.0,111900.0,91.21576171118856,86.36644046884638,83.0,96.0,102.0,144.0,1.7,12.0,0.9918198007390066,0.3493975903614458,0.2777777777777777,0.5833333333333333,2.63,-0.1293228607272479
2020-10-31,142225.0,129900.0,86.50910981323736,90.3782894736842,57.0,40.5,83.0,70.5,1.35,32.5,0.9776136250731864,0.1727272727272727,0.2592592592592592,0.2948717948717948,4.66,-0.0515991075407955
2020-11-30,169375.0,141125.0,105.64430234666548,97.5198767640628,44.5,32.0,29.5,61.5,1.95,65.5,0.9823138851051956,0.1781609195402298,0.1864406779661017,0.2857142857142857,5.63,0.221192803564141
