period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,180313.88888888888,202205.0,92.649246500516,113.1001460582435,18.22222222222222,19.428571428571427,32.875,85.55555555555556,5.533333333333334,92.66666666666669,0.9689840008561212,0.2137105962824871,0.2004573173160698,0.1815018315018314,0.0,0.0
2019-02-28,163972.22222222222,212107.14285714287,91.0328876984458,102.75072430348176,20.11111111111111,19.625,36.57142857142857,87.77777777777777,4.9,81.75,0.979982169749931,0.1469411889426889,0.1566961396823998,0.2506814136791253,0.0,-0.0174460005140051
2019-03-31,160496.66666666666,223143.75,94.46075213533928,113.88988507608347,24.77777777777778,32.285714285714285,37.5,84.55555555555556,3.5,86.66666666666667,0.9508642277568816,0.1332333480029956,0.187524136370066,0.2710858027421495,0.0,0.0376552312417965
2019-04-30,169975.0,216268.6875,95.36431285470034,115.26331387295872,27.22222222222222,33.857142857142854,48.0,90.44444444444444,3.655555555555555,84.125,0.9485545780332038,0.1736031394776021,0.2105337886763654,0.3072705307728349,0.0,0.009565461833995
2019-05-31,182500.0,206077.7777777777,93.27154498840672,102.03086754221196,32.77777777777778,28.33333333333333,45.888888888888886,95.44444444444444,2.7777777777777777,69.77777777777777,0.9593593597393312,0.17450911228689,0.2236345568714461,0.3156453491692501,0.0,-0.0219449792448274
2019-06-30,209886.66666666663,197355.5555555556,105.62266484963624,113.80683476399504,32.333333333333336,36.0,43.888888888888886,101.55555555555556,3.033333333333333,538.375,0.9768218236378474,0.1349541193803042,0.3032691954058078,0.2442865120731837,0.0,0.1324210922287683
2019-07-31,208965.0,225078.57142857145,110.68767497108809,117.9944214977238,39.125,32.375,53.42857142857143,116.25,2.875,54.5,0.9748690462796508,0.3009479409479409,0.2619618242214979,0.1937329264867329,0.0,0.0479538187060737
2019-08-31,187530.75,199525.0,95.42915443183183,111.07531107003312,27.1,35.57142857142857,38.55555555555556,94.3,5.27,119.3,0.9735843560294904,0.2149246797826919,0.2943905424583466,0.2025935374149659,0.0,-0.1378520286313884
2019-09-30,181575.0,193244.375,92.09059661352391,107.39376744086915,26.2,30.857142857142858,45.0,98.1,3.38,148.44444444444446,0.9483857760390886,0.1228014907708191,0.3001546929772736,0.1873231621311498,0.0,-0.0349846735851857
2019-10-31,189128.125,213030.625,104.80811659647884,112.8309524906656,31.75,42.5,43.5,118.375,6.35,68.125,0.9882002742353307,0.2992164432789432,0.2659836078314339,0.214703348305687,0.0,0.1380979215101241
2019-11-30,194188.88888888888,204300.0,101.8681960915981,107.76852493183976,28.444444444444443,28.0,26.75,98.33333333333331,4.611111111111111,56.75,0.9610842653884438,0.1206210456210456,0.2163884750525485,0.1545192356321685,0.0,-0.0280505041055142
2019-12-31,166283.55,234630.57142857145,90.78746772615898,122.79142425786992,25.4,21.125,26.714285714285715,77.7,3.1,68.22222222222223,0.9506928896833052,0.1258324432911618,0.1988702603578351,0.1292818974180581,0.79,-0.1087751505433111
2020-01-31,165665.0,200780.5555555556,89.7098724870594,100.75649395547572,18.5,18.444444444444443,30.11111111111111,76.9,4.76,71.4,0.9294088387206688,0.1284401709401709,0.1922095859964754,0.2669829222011385,0.79,-0.0118694272027711
2020-02-29,188587.22222222225,219137.5,94.65855946229811,122.67028663892252,20.666666666666668,26.0,30.875,84.33333333333333,8.11111111111111,739.3333333333334,0.958798574450819,0.1368475274725274,0.1853066039058442,0.2183363383667643,1.31,0.0551632372005941
2020-03-31,186428.75,225368.125,96.90236836013116,114.24556593365496,28.0,32.142857142857146,39.75,81.55555555555556,3.7,97.22222222222224,0.9584236531903806,0.1470631311410193,0.1954683796595561,0.2680594815298011,0.77,0.0237042366858195
2020-04-30,186671.65,212238.88888888888,102.1855704518784,112.7015716007294,24.9,29.666666666666668,29.33333333333333,83.22222222222223,6.344444444444445,103.33333333333331,0.95630947437971,0.1702268140958289,0.1640409911133312,0.1825955001328135,1.94,0.0545208768490834
