period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,110750.0,234000.0,102.70467836257312,114.42748091603052,2.0,1.0,3.0,18.0,9.0,75.0,0.972130202198665,0.0,,0.0,0.0,0.0
2019-02-28,160000.0,243450.0,106.45375914836993,116.83642899940084,3.0,2.0,3.0,17.0,5.7,36.0,1.0004041989259704,0.6666666666666666,,0.0,0.0,0.0365035054446265
2019-03-31,206800.0,199900.0,85.10638297872339,112.79044539626553,5.0,3.0,10.0,21.0,4.2,96.0,0.9842325898562272,0.0,,0.3333333333333333,0.48,-0.2005319148936172
2019-04-30,82000.0,195000.0,109.27152317880795,113.55218855218855,7.0,4.0,22.0,35.0,5.0,115.0,0.9789702786391776,0.2857142857142857,,0.25,0.95,0.2839403973509937
2019-05-31,162550.0,216500.0,118.9165004432624,107.57931985709764,10.0,11.0,17.0,40.0,4.0,44.0,0.9971782641493278,0.2999999999999999,,0.0,1.66,0.0882661555716739
2019-06-30,133750.0,199900.0,92.765138902042,110.70549630844955,20.0,19.0,17.0,37.0,1.9,38.0,0.9947010204610234,0.25,,0.2105263157894736,1.18,-0.219913649020455
2019-07-31,192000.0,229900.0,98.2142857142857,121.2248322147651,11.0,7.0,5.0,31.0,2.8,71.0,0.9826033189957036,0.0909090909090909,,0.1428571428571428,1.13,0.0587413211119953
2019-08-31,194500.0,159950.0,120.96774193548389,107.64807577811834,14.0,11.0,11.0,26.0,1.9,71.0,0.9756025878580744,0.0714285714285714,,0.0909090909090909,0.67,0.2316715542521998
2019-09-30,148000.0,227450.0,124.03846153846156,112.05179282868528,7.0,5.0,13.0,30.0,4.3,121.0,0.994807056222555,0.1428571428571428,,0.4,0.67,0.0253846153846153
2019-10-31,136000.0,241900.0,109.6774193548387,115.06232465774278,7.0,7.0,7.0,28.0,4.0,50.0,0.9637103914621123,0.0,,0.2857142857142857,1.04,-0.1157789447361842
2019-11-30,139900.0,147450.0,106.95970695970696,109.7435304168298,5.0,4.0,8.0,32.0,6.4,50.0,0.9805377287416996,0.2,,0.0,1.54,-0.0247791424262011
2019-12-31,130000.0,264900.0,104.65044329002404,153.50343972816398,10.0,7.0,2.0,22.0,2.2,48.0,0.972079717723988,0.2,,0.1428571428571428,1.74,-0.0215900336240902
2020-01-31,212325.0,189900.0,146.45914619331418,119.73958333333331,6.0,3.0,7.0,22.0,3.7,157.0,0.9692262018865024,0.1666666666666666,,0.3333333333333333,0.94,0.3995081300078507
2020-02-29,132000.0,229000.0,114.58333333333331,110.31782588668815,7.0,2.0,5.0,18.0,2.6,163.0,0.9718614601899382,0.1428571428571428,0.1111111111111111,0.5,0.81,-0.2176430334907687
2020-03-31,200000.0,239900.0,107.27611940298507,121.33264462809916,7.0,4.0,9.0,22.0,3.1,109.0,0.9748162447654114,0.2857142857142857,0.1363636363636363,0.75,1.36,-0.0637720488466755
2020-04-30,211500.0,205500.0,117.47953008187967,115.38090756125244,5.0,6.0,5.0,20.0,4.0,31.0,0.9834116258040804,0.2,,0.5,3.3,0.0951135325893479
2020-05-31,200750.0,238500.0,106.82892379141371,115.98931675945876,2.0,2.0,9.0,24.0,12.0,100.0,0.955602638495567,0.0,0.2083333333333333,0.0,3.75,-0.0906592517270269
2020-06-30,150000.0,229450.0,129.50138504155126,119.5574162679426,7.0,4.0,12.0,29.0,4.1,224.0,0.96237580940734,0.2857142857142857,0.0689655172413793,0.0,4.52,0.2122314860571479
2020-07-31,160000.0,259900.0,125.0,122.72977435332966,11.0,13.0,17.0,28.0,2.5,51.0,0.9740999107033634,0.0909090909090909,0.1785714285714285,0.3076923076923077,3.52,-0.0347593582887701
2020-08-31,150000.0,235000.0,153.96113602391628,113.5151368273512,13.0,11.0,11.0,25.0,1.9,30.0,0.9932695932756076,0.2307692307692307,0.32,0.1818181818181818,3.72,0.2316890881913302
2020-09-30,136015.0,224700.0,100.1984126984127,110.48323754789271,15.0,10.0,10.0,25.0,1.7,32.0,0.983476578324384,0.2,0.2399999999999999,0.5,3.38,-0.3491967175219602
2020-10-31,230000.0,248400.0,104.64355788096796,127.19406456816527,13.0,12.0,13.0,24.0,1.8,26.0,0.9817786075617926,0.0,0.3333333333333333,0.4166666666666666,4.8,0.0443634291486703
2020-11-30,176000.0,234950.0,111.22485655237924,130.1016056074402,6.0,3.0,13.0,29.0,4.8,63.0,0.9629510937309947,0.1666666666666666,0.0344827586206896,0.3333333333333333,5.47,0.062892535428674
2020-12-31,150500.0,254791.0,117.23414407360282,128.2051282051282,8.0,7.0,4.0,23.0,2.9,55.0,0.9747382116100144,0.5,0.0869565217391304,0.2857142857142857,6.48,0.0540282784576451
2021-01-31,115000.0,229900.0,116.51469098277607,126.48809523809524,7.0,4.0,10.0,24.0,3.4,99.0,0.9606904798355158,0.1428571428571428,0.2916666666666666,0.5,6.12,-0.0061368903787539
2021-02-28,145000.0,250000.0,85.39458186101294,139.11530815109344,9.0,7.0,5.0,16.0,1.8,93.0,0.9789845556698418,0.0,0.0625,0.2857142857142857,7.02,-0.2670917191580888
2021-03-31,202650.0,228700.0,147.31803905852888,142.35736273285843,12.0,7.0,9.0,14.0,1.2,41.0,0.9874096495402788,0.1666666666666666,0.2857142857142857,0.5714285714285714,6.99,0.725145036699187
2021-04-30,141000.0,259900.0,136.05864811133202,133.8598901098901,9.0,10.0,8.0,9.0,1.0,33.0,0.9919111762388122,0.2222222222222222,,0.2999999999999999,7.12,-0.0764291394261876
2021-05-31,177250.0,280000.0,133.44463038073786,127.15179968701096,6.0,4.0,8.0,12.0,2.0,47.0,0.9865074778308623,0.0,,0.25,6.6,-0.0192124335121659
2021-06-30,148000.0,249900.0,118.05555555555556,130.48085609061218,11.0,11.0,16.0,16.0,1.5,28.0,1.0183425819583791,0.2727272727272727,,0.5454545454545454,6.51,-0.1153217988709993
2021-07-31,133000.0,260000.0,114.58333333333331,122.7236737925574,9.0,4.0,10.0,22.0,2.4,15.0,0.9777521971928054,0.1111111111111111,,0.25,6.49,-0.0294117647058825
2021-08-31,152500.0,225000.0,118.77479974844432,127.86324786324786,10.0,17.0,16.0,20.0,2.0,46.0,1.027704246017763,0.6999999999999998,,0.4705882352941176,6.43,0.0365800705318779
2021-09-30,187500.0,249900.0,127.38917065840144,127.99275560415526,14.0,15.0,14.0,16.0,1.1,15.0,1.005190161021232,0.5,0.0625,0.4666666666666666,6.41,0.0725269242987711
2021-10-31,199000.0,239900.0,129.83870967741936,132.419123878547,15.0,10.0,5.0,9.0,0.5999999999999999,41.0,0.9865000331672344,0.2666666666666666,0.1111111111111111,0.2,6.51,0.0192287853540269
2021-11-30,151000.0,242400.0,123.07692307692308,142.93970665908262,15.0,10.0,7.0,5.0,0.2999999999999999,27.0,0.9588936875345676,0.0666666666666666,0.4,0.4,6.44,-0.0520783564261825
2021-12-31,175000.0,265000.0,154.19161676646706,133.06451612903226,5.0,7.0,9.0,6.0,1.2,20.0,0.9819896641903438,0.2,0.1666666666666666,0.4285714285714285,7.22,0.2528068862275447
2022-01-31,166500.0,227500.0,124.58448753462604,126.42570281124496,9.0,8.0,6.0,4.0,0.4,41.0,1.006373887169658,0.4444444444444444,,0.375,8.38,-0.192015168222037
2022-02-28,176500.0,291200.0,130.73852295409182,142.69086021505376,7.0,7.0,6.0,3.0,0.4,11.0,1.035683073241055,0.5714285714285714,,0.8571428571428571,8.78,0.0493964821884858
2022-03-31,280331.0,290000.0,143.94727714186612,151.53881488286632,7.0,4.0,7.0,6.0,0.9,17.0,1.0298260975533624,0.8571428571428571,0.1666666666666666,0.25,8.44,0.1010318450087774
2022-04-30,147500.0,249000.0,144.5011408969188,138.2636655948553,6.0,8.0,12.0,10.0,1.7,27.0,0.9949426561855562,0.3333333333333333,0.1,0.75,8.51,0.0038476848332935
2022-05-31,209900.0,269950.0,158.92857142857142,143.51124700145505,11.0,19.0,14.0,5.0,0.5,20.0,1.0098749214722442,0.4545454545454545,,0.631578947368421,10.11,0.0998430215990098
2022-06-30,187500.0,269500.0,144.83706618240518,140.39127815694957,14.0,10.0,15.0,10.0,0.6999999999999998,7.0,1.0740355195222793,0.7142857142857143,0.2999999999999999,0.9,13.56,-0.0886656509871134
2022-07-31,250000.0,242450.0,188.22736432330743,145.3178161508506,6.0,8.0,14.0,16.0,2.7,6.0,1.0539416147881018,0.5,0.25,0.625,15.56,0.2995800680349136
2022-08-31,176000.0,276450.0,129.03225806451613,133.46177375661895,11.0,11.0,12.0,17.0,1.5,14.0,1.0241896451399433,0.6363636363636364,0.4117647058823529,0.1818181818181818,16.33,-0.3144872504144256
2022-09-30,159900.0,275000.0,119.8224852071006,139.3939393939394,11.0,10.0,13.0,19.0,1.7,39.0,0.9978324730137652,0.2727272727272727,0.4736842105263157,0.2999999999999999,16.68,-0.0713757396449703
2022-10-31,168000.0,255000.0,148.91696750902528,134.06652360515022,7.0,9.0,2.0,10.0,1.4,28.0,0.9869790907260524,0.2857142857142857,0.5,0.2222222222222222,17.93,0.2428132103222355
2022-11-30,179800.0,269900.0,119.40298507462688,152.68324607329842,11.0,4.0,2.0,7.0,0.5999999999999999,40.0,0.9911322362568058,0.1818181818181818,0.1428571428571428,0.25,18.92,-0.1981908638625056
2022-12-31,296250.0,207400.0,119.58094617118412,119.38234814678974,2.0,1.0,3.0,8.0,4.0,97.0,0.9555079094598476,0.0,,1.0,19.38,0.0014904241836668
2023-01-31,164600.0,280000.0,126.5353099059706,137.82169117647058,4.0,5.0,3.0,4.0,1.0,15.0,0.9740764066667094,0.25,,0.5999999999999999,18.3,0.0581561189926618
2023-02-28,110000.0,311000.0,111.11111111111111,159.32851678708033,3.0,1.0,4.0,6.0,2.0,45.0,0.9303433399136471,0.0,,1.0,19.52,-0.1218964003511853
2023-03-31,262500.0,275000.0,144.6442496113747,139.30722891566265,8.0,7.0,15.0,12.0,1.5,29.0,0.9695322056495866,0.125,0.0833333333333333,0.5714285714285714,17.94,0.3017982465023723
2023-04-30,252000.0,245000.0,179.23186344238977,148.22033898305085,5.0,12.0,11.0,11.0,2.2,12.0,1.0238678059067552,0.4,0.3636363636363636,0.4166666666666666,17.15,0.2391219417567163
2023-05-31,176500.0,299950.0,131.3186813186813,135.14874636829703,13.0,9.0,6.0,7.0,0.5,25.0,1.0108625442403074,0.6153846153846154,,0.3333333333333333,15.19,-0.2673251351822781
2023-06-30,177500.0,292450.0,160.16713091922006,159.03538666762364,15.0,13.0,12.0,5.0,0.2999999999999999,23.0,1.0233601997576365,0.4666666666666666,0.2,0.3846153846153846,16.74,0.2196827542802533
