period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,61500.0,,31.20762657661115,,4.0,,,8.0,2.0,37.0,0.9525668257001488,0.25,0.375,,0.0,0.0
2019-02-28,62750.0,88750.0,36.53150907656882,69.45564516129032,2.0,2.0,9.0,12.0,6.0,79.0,0.9126189030560616,0.0,0.0833333333333333,0.5,0.0,0.1705955589697967
2019-03-31,54500.0,115000.0,31.10462279189304,77.61299435028249,2.0,6.0,5.0,10.0,5.0,104.0,0.8504901960784313,0.0,0.2999999999999999,0.5,0.22,-0.1485535753067633
2019-04-30,63750.0,99900.0,30.95953685923081,73.90332495110364,8.0,5.0,9.0,13.0,1.6,18.0,0.8979551049821686,0.25,0.1538461538461538,0.5999999999999999,0.22,-0.0046644491924218
2019-05-31,94000.0,131400.0,48.21074764735216,91.10787172011662,4.0,6.0,7.0,13.0,3.3,43.0,0.9121491216767754,0.0,0.0769230769230769,0.3333333333333333,0.22,0.5572179863852769
2019-06-30,101700.0,94600.0,73.42960288808666,90.8980582524272,3.0,1.0,4.0,15.0,5.0,17.0,1.0175999502663196,0.3333333333333333,0.2,0.0,0.0,0.5230961242336092
2019-07-31,42000.0,119900.0,40.75546719681908,87.58169934640523,4.0,6.0,7.0,15.0,3.8,72.0,0.775966155248189,0.0,0.2,0.1666666666666666,0.0,-0.4449722510561021
2019-08-31,64000.0,84900.0,46.11613876319759,66.55555555555556,6.0,7.0,7.0,13.0,2.2,60.0,0.857490471292689,0.1666666666666666,0.3076923076923077,0.7142857142857143,0.0,0.1315325755067506
2019-09-30,77000.0,95400.0,46.59498207885304,80.8223843842684,5.0,5.0,5.0,13.0,2.6,101.0,0.9565211267605632,0.0,0.2307692307692307,0.5999999999999999,0.0,0.0103834216935263
2019-10-31,75000.0,89900.0,39.00375939849624,81.27906976744185,7.0,2.0,6.0,13.0,1.9,39.0,0.8626027812062647,0.0,0.1538461538461538,0.5,0.0,-0.1629193175245805
2019-11-30,51000.0,99900.0,36.72727272727273,78.70934959349593,7.0,7.0,4.0,8.0,1.1,30.0,0.9121552836625236,0.0,0.125,0.4285714285714285,0.0,-0.0583658269441402
2019-12-31,100000.0,79900.0,43.199788939190015,72.00303490136571,5.0,3.0,2.0,5.0,1.0,50.0,0.8667093544368054,0.0,,0.3333333333333333,0.0,0.1762318770571538
2020-01-31,84000.0,109900.0,40.08746355685131,79.64930924548352,3.0,1.0,4.0,7.0,2.3,21.0,0.9509656494176618,0.0,,0.0,0.0,-0.0720449210231038
2020-02-29,65950.0,124900.0,46.90791861318096,94.60227272727272,2.0,4.0,2.0,4.0,2.0,31.0,1.0274843554443054,0.5,,1.0,0.0,0.1701393515869869
2020-03-31,68950.0,109900.0,37.39882995828263,89.2777364110201,4.0,5.0,5.0,4.0,1.0,13.0,1.003247010374594,0.25,,0.4,0.0,-0.2027181963308495
2020-04-30,89900.0,110000.0,40.71557971014493,81.28976324572382,3.0,2.0,3.0,3.0,1.0,245.0,0.8423773678550748,0.0,,1.0,0.0,0.0886859229436332
2020-05-31,60000.0,127950.0,33.482142857142854,102.68321028165164,5.0,5.0,2.0,,,9.0,0.8160927375786102,0.0,,0.5999999999999999,0.96,-0.1776577149213413
2020-06-30,83000.0,119900.0,38.42592592592592,91.52930402930404,3.0,2.0,3.0,1.0,0.2999999999999999,9.0,0.8966267779951587,0.0,,1.0,1.54,0.1476543209876542
2020-07-31,75500.0,114900.0,41.30434782608695,90.56503198294244,6.0,7.0,11.0,5.0,0.8,5.0,0.9724723302455576,0.1666666666666666,0.2,1.0,1.79,0.0749083289680463
2020-08-31,70000.0,126400.0,41.9664268585132,100.68567123303367,1.0,6.0,2.0,1.0,1.0,7.0,0.9655172413793104,0.0,,0.3333333333333333,1.77,0.0160292818376881
2020-09-30,77503.0,118700.0,48.78917378917378,97.2339155978703,7.0,5.0,9.0,5.0,0.6999999999999998,6.0,0.9134345570376554,0.0,0.2,0.8,2.3,0.162576312576312
2020-10-31,80450.0,114900.0,58.81766479622827,97.20812182741116,6.0,1.0,2.0,6.0,1.0,18.0,0.975769058869627,0.5,0.3333333333333333,0.0,2.96,0.2055474653124744
