period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,240401.0,244950.0,123.60446570972888,129.67446648172825,45.0,43.0,46.0,64.0,1.4,42.0,0.98543314927402,0.2666666666666666,0.1875,0.3023255813953488,0.0,0.0
2019-02-28,261150.0,286500.0,132.46404958115355,135.49642487336635,50.0,54.0,66.0,70.0,1.4,53.0,1.00042117746791,0.44,0.1857142857142857,0.5925925925925924,0.0,0.0716768914501067
2019-03-31,272000.0,294900.0,132.3507331965367,135.3994490358127,50.0,70.0,91.0,83.0,1.7,18.0,1.008107559739585,0.56,0.2289156626506024,0.5999999999999999,0.0,-0.0008554501011794
2019-04-30,258300.0,265000.0,134.52830188679246,138.22115384615384,65.0,86.0,101.0,93.0,1.4,14.0,1.008926796318777,0.5384615384615384,0.3010752688172043,0.5697674418604651,0.41,0.0164530156929476
2019-05-31,270000.0,288000.0,137.5,134.228515625,92.0,107.0,138.0,118.0,1.3,16.0,1.0112937774996038,0.5760869565217391,0.2372881355932203,0.5140186915887849,0.41,0.0220897615708273
2019-06-30,290030.5,275000.0,140.0797821969697,132.78008298755188,112.0,99.0,141.0,155.0,1.4,15.0,1.0162971001129957,0.5714285714285714,0.2580645161290322,0.5252525252525253,0.81,0.0187620523415976
2019-07-31,270000.0,288700.0,132.60064412238324,129.81090588212663,110.0,106.0,116.0,160.0,1.5,18.0,1.0067084316177617,0.4636363636363636,0.3375,0.3962264150943396,0.59,-0.0533919881747805
2019-08-31,289950.0,274900.0,134.47383720930233,132.89869608826478,118.0,105.0,107.0,157.0,1.3,20.0,1.005283144484463,0.4745762711864406,0.375796178343949,0.2761904761904762,1.0,0.0141265760759821
2019-09-30,272500.0,274950.0,132.12138156828422,132.27075157080068,96.0,102.0,112.0,148.0,1.5,23.0,1.0065249809778636,0.5208333333333333,0.3783783783783784,0.3333333333333333,0.79,-0.0174937793836924
2019-10-31,286000.0,255000.0,133.587786259542,135.32745591939548,95.0,77.0,79.0,138.0,1.5,25.0,0.9981692926916638,0.431578947368421,0.4637681159420289,0.2467532467532467,0.85,0.011098920355294
2019-11-30,269000.0,282400.0,130.84922010398614,129.63502308984047,73.0,67.0,46.0,109.0,1.5,26.0,0.9988698215026192,0.3287671232876712,0.3302752293577981,0.2537313432835821,0.74,-0.0205001237930182
2019-12-31,271000.0,239900.0,137.50770023094458,130.37350246652574,82.0,46.0,33.0,79.0,1.0,35.0,0.9905000097220236,0.2804878048780488,0.2151898734177215,0.1304347826086956,0.55,0.0508866626921193
2020-01-31,250000.0,289900.0,129.9623510448449,141.42011834319527,40.0,38.0,53.0,79.0,2.0,40.0,0.9931236864684424,0.275,0.2025316455696202,0.3421052631578947,0.3,-0.0548721938729777
2020-02-29,282500.0,299900.0,130.17829689223595,136.45948945615982,54.0,73.0,89.0,79.0,1.5,52.0,0.9959081129470486,0.3518518518518518,0.189873417721519,0.5342465753424657,0.2,0.0016616031154788
2020-03-31,294200.0,292500.0,140.4255319148936,135.69964902600884,79.0,79.0,88.0,82.0,1.0,26.0,0.9975195888815828,0.4556962025316455,0.2317073170731707,0.5443037974683544,0.2,0.078716923383477
2020-04-30,302100.0,289900.0,135.2305638727138,139.39964965670114,76.0,69.0,89.0,97.0,1.3,13.0,1.012654155218863,0.5921052631578946,0.2371134020618556,0.3913043478260869,0.94,-0.0369944693912805
2020-05-31,280000.0,289900.0,133.1615120274914,136.57456978967494,74.0,95.0,111.0,106.0,1.4,23.0,0.9994913863830188,0.3918918918918918,0.2075471698113207,0.4736842105263157,1.38,-0.015300179086511
2020-06-30,295000.0,299900.0,139.74917461482025,142.00913242009133,100.0,123.0,95.0,74.0,0.6999999999999998,18.0,1.006493008311082,0.4699999999999999,0.3378378378378378,0.4308943089430894,2.49,0.049471220978392
2020-07-31,286750.0,299900.0,143.3289984208533,144.95,114.0,95.0,121.0,97.0,0.9,20.0,1.0142203666984364,0.5350877192982456,0.1752577319587628,0.5684210526315789,2.41,0.0256160640368707
2020-08-31,309000.0,299950.0,142.82533481770847,144.51809274496645,112.0,110.0,108.0,89.0,0.8,14.0,1.015399418630017,0.6160714285714286,0.2022471910112359,0.509090909090909,2.82,-0.0035140383920492
2020-09-30,310000.0,274900.0,146.60506227400563,145.3897338403042,99.0,111.0,123.0,99.0,1.0,14.0,1.0184594200300947,0.6464646464646465,0.202020202020202,0.5135135135135134,2.72,0.0264639845663328
2020-10-31,301500.0,297450.0,145.58950658332225,144.71774105721704,124.0,113.0,106.0,87.0,0.6999999999999998,17.0,1.012435289117847,0.5403225806451613,0.2988505747126437,0.3805309734513274,3.43,-0.0069271529572785
2020-11-30,310450.0,299900.0,147.73153748667875,146.11366286324687,94.0,77.0,70.0,76.0,0.8,20.0,1.0113357720205995,0.5425531914893617,0.3289473684210526,0.4805194805194805,3.25,0.0147128110646532
2020-12-31,305000.0,329994.0,146.484375,153.6600284120804,85.0,67.0,40.0,48.0,0.5999999999999999,21.0,1.0076500019606975,0.4941176470588235,0.2916666666666666,0.3880597014925373,3.42,-0.0084420869632606
2021-01-31,316500.0,309900.0,151.2677653708034,141.3743154771863,66.0,52.0,58.0,46.0,0.6999999999999998,17.0,1.0098483220283574,0.5,0.1304347826086956,0.5384615384615384,3.27,0.0326546115980179
2021-02-28,319900.0,319900.0,155.19568151147098,149.24610778259728,51.0,65.0,70.0,46.0,0.9,16.0,1.0181513797048587,0.6470588235294118,0.1304347826086956,0.6769230769230768,4.24,0.0259666435280447
2021-03-31,310000.0,329900.0,150.1099402588782,150.21670037561398,74.0,89.0,91.0,45.0,0.5999999999999999,14.0,1.0396826888465351,0.7027027027027027,0.2,0.6629213483146067,4.29,-0.0327698632014891
2021-04-30,315000.0,304950.0,153.6875,156.6498012379888,85.0,90.0,108.0,62.0,0.6999999999999998,8.0,1.0411518567563247,0.6705882352941176,0.1129032258064516,0.6333333333333333,4.53,0.023832930283977
2021-05-31,350000.0,344900.0,164.11819887429644,155.68592057761734,83.0,113.0,103.0,50.0,0.5999999999999999,12.0,1.05174863362922,0.7710843373493976,0.22,0.7787610619469026,3.94,0.0678695331389764
2021-06-30,350000.0,325000.0,164.25392680992832,162.21921790784066,110.0,113.0,155.0,90.0,0.8,11.0,1.0454489113436507,0.7090909090909091,0.2333333333333333,0.7256637168141593,3.39,0.0008270133145675
2021-07-31,349250.0,299950.0,165.99200073866393,159.18942198011965,128.0,111.0,114.0,93.0,0.6999999999999998,11.0,1.047373860054376,0.765625,0.2580645161290322,0.4954954954954954,2.99,0.0105816278641963
2021-08-31,325000.0,342900.0,165.06707946336428,159.37101572460688,103.0,121.0,129.0,100.0,1.0,13.0,1.0263770568970736,0.6504854368932039,0.2999999999999999,0.5206611570247934,2.89,-0.0055720834207898
2021-09-30,339950.0,343500.0,161.9201228878648,165.17844111317214,124.0,92.0,96.0,97.0,0.8,16.0,1.018595269547446,0.5725806451612903,0.4020618556701031,0.4782608695652174,3.69,-0.0190647134833322
2021-10-31,354000.0,327500.0,163.98690835894797,153.25647398544248,104.0,87.0,88.0,93.0,0.9,19.0,1.0062934960922547,0.4807692307692307,0.3118279569892473,0.425287356321839,4.28,0.0127642286469513
2021-11-30,335000.0,300000.0,160.8325449385052,157.66653527788728,75.0,70.0,49.0,61.0,0.8,22.0,1.0152831316645767,0.5733333333333333,0.4426229508196721,0.4142857142857143,4.34,-0.0192354588058836
2021-12-31,317000.0,300000.0,159.13794953254873,161.0305958132045,76.0,43.0,43.0,57.0,0.8,23.0,1.0096404039104827,0.5394736842105263,0.2105263157894736,0.3488372093023255,3.78,-0.0105363961417411
2022-01-31,320606.0,297450.0,167.07920792079207,168.7095217337153,59.0,55.0,64.0,63.0,1.1,17.0,1.016363453399856,0.5932203389830508,0.1428571428571428,0.5999999999999999,3.85,0.0499017262165937
2022-02-28,330000.0,365000.0,174.71819645732688,168.31030314689957,46.0,70.0,68.0,48.0,1.0,13.0,1.0408301640871302,0.717391304347826,0.1458333333333333,0.6142857142857143,4.6,0.0457207610186676
2022-03-31,350000.0,374000.0,174.53035863522402,159.6307385229541,82.0,77.0,89.0,56.0,0.6999999999999998,13.0,1.0432970037567646,0.6585365853658536,0.1607142857142857,0.7402597402597402,5.52,-0.0010750902076117
2022-04-30,389186.0,345450.0,174.02900688298917,160.70658799367396,72.0,80.0,86.0,57.0,0.8,8.0,1.05223881485506,0.8472222222222222,0.1929824561403508,0.7125,5.79,-0.0028725761876344
2022-05-31,334000.0,374900.0,170.2127659574468,173.91304347826087,88.0,100.0,125.0,80.0,0.9,10.0,1.045420529878621,0.659090909090909,0.3499999999999999,0.63,5.89,-0.0219287634509588
2022-06-30,360000.0,350000.0,184.2830882352941,168.63845293932272,95.0,99.0,98.0,79.0,0.8,13.0,1.0393845978749436,0.6842105263157894,0.3670886075949367,0.5353535353535352,6.42,0.0826631433823528
2022-07-31,371000.0,350000.0,180.08474576271186,164.42307692307693,99.0,85.0,111.0,103.0,1.0,14.0,1.02880549438164,0.6868686868686869,0.4077669902912621,0.4588235294117646,6.89,-0.0227820279808951
2022-08-31,360000.0,349900.0,168.2342881573322,164.51081843838193,91.0,94.0,95.0,99.0,1.1,15.0,1.0218983551911816,0.5934065934065934,0.4444444444444444,0.4361702127659574,6.59,-0.0658048939969317
2022-09-30,340000.0,349000.0,173.7639553429027,168.75349612957888,93.0,69.0,92.0,114.0,1.2,24.0,0.9956778807599374,0.4086021505376344,0.4298245614035087,0.4202898550724637,6.99,0.0328688476418028
2022-10-31,352500.0,349900.0,165.25473523369624,168.98569570871263,62.0,75.0,70.0,104.0,1.7,17.0,1.0010844137452424,0.3870967741935483,0.5865384615384615,0.28,6.8,-0.0489699954885034
2022-11-30,337500.0,302150.0,164.48588899341487,167.9072374017764,73.0,50.0,44.0,91.0,1.2,31.0,0.984882249816418,0.273972602739726,0.5824175824175823,0.14,6.6,-0.004652491435081
2022-12-31,340000.0,279900.0,159.7542242703533,163.04347826086956,49.0,38.0,25.0,70.0,1.4,35.0,0.9965566742210678,0.2653061224489796,0.2571428571428571,0.131578947368421,5.68,-0.0287663869041739
2023-01-31,345000.0,365000.0,163.05960161495392,168.88909727431857,36.0,33.0,28.0,48.0,1.3,52.0,0.9795827313760732,0.3055555555555555,0.4583333333333333,0.303030303030303,4.93,0.0206903908782212
2023-02-28,279950.0,329700.0,170.73488082996275,175.82344322344323,44.0,37.0,35.0,36.0,0.8,74.0,0.989630332722724,0.3181818181818181,0.3055555555555555,0.5405405405405405,6.15,0.047070391065551
2023-03-31,350000.0,349900.0,169.72298088177916,175.7864302235929,53.0,42.0,51.0,42.0,0.8,19.0,1.0058584570542706,0.4339622641509434,0.1666666666666666,0.4523809523809523,6.23,-0.0059267323892142
2023-04-30,355000.0,353900.0,178.125,168.73785398303605,47.0,56.0,69.0,54.0,1.1,15.0,1.014755288831231,0.574468085106383,0.1111111111111111,0.6071428571428571,6.53,0.0495043103448276
2023-05-31,375000.0,365000.0,182.18623481781376,174.20785804816222,49.0,71.0,99.0,80.0,1.6,16.0,1.034726062520374,0.6122448979591836,0.1749999999999999,0.647887323943662,6.04,0.0227999147666737
2023-06-30,353950.0,379900.0,174.69380821287874,183.09450844506387,82.0,76.0,86.0,89.0,1.1,12.0,1.0208950431929222,0.5853658536585366,0.3370786516853932,0.5657894736842105,5.8,-0.0411250971426433
2023-07-31,360000.0,350000.0,183.27605956471936,174.49664429530202,67.0,88.0,61.0,57.0,0.9,15.0,1.014157385825174,0.5671641791044775,0.4210526315789473,0.375,5.9,0.0491273928918101
2023-08-31,357450.0,362500.0,178.73832700874442,171.0496740815433,90.0,73.0,96.0,76.0,0.8,17.0,1.010560247918628,0.511111111111111,0.3684210526315789,0.5890410958904109,5.21,-0.0247590032585383
2023-09-30,385000.0,327500.0,174.58356508841456,174.83965083732625,72.0,61.0,72.0,79.0,1.1,15.0,1.021413118808271,0.625,0.3417721518987341,0.4426229508196721,5.47,-0.0232449413053228
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
