period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,210000.0,271685.0,140.87591240875912,156.22945830797323,9.0,5.0,15.0,18.0,2.0,36.0,1.0005951449364128,0.2222222222222222,0.3333333333333333,0.8,0.0,0.0
2019-02-28,218876.0,262610.0,101.92642320085928,159.44917833231892,5.0,7.0,3.0,13.0,2.6,28.0,1.0300477206747287,0.8,0.4615384615384615,0.1428571428571428,0.0,-0.2764808301286154
2019-03-31,253000.0,229900.0,153.98660986001218,144.6875,7.0,9.0,11.0,15.0,2.1,24.0,1.0054981379066847,0.5714285714285714,0.2,0.2222222222222222,0.19,0.5107624208156656
2019-04-30,257450.0,234950.0,135.53804324954376,148.4450947865582,8.0,20.0,18.0,11.0,1.4,20.0,1.006487112638056,0.375,0.3636363636363636,0.6999999999999998,0.19,-0.119806304114623
2019-05-31,250909.0,259900.0,151.67429332372825,151.03626943005182,20.0,16.0,19.0,12.0,0.5999999999999999,19.0,1.0161731333772122,0.55,,0.5625,0.19,0.1190532907759003
2019-06-30,221500.0,214950.0,153.713298791019,143.92175727390236,15.0,14.0,24.0,22.0,1.5,12.0,1.0229720212545594,0.6666666666666666,0.1363636363636363,0.6428571428571429,0.0,0.0134433160861267
2019-07-31,219900.0,222450.0,155.77078288942695,133.80042427473455,21.0,20.0,26.0,28.0,1.3,26.0,1.0105947478090909,0.4285714285714285,0.1428571428571428,0.25,0.0,0.0133852055390808
2019-08-31,276000.0,280000.0,142.92712550607288,134.7373188405797,19.0,21.0,16.0,20.0,1.1,17.0,1.017863625815019,0.7368421052631579,0.2999999999999999,0.4761904761904761,0.0,-0.0824522875542782
2019-09-30,220000.0,248200.0,131.14754098360655,134.81399645370294,19.0,18.0,14.0,16.0,0.8,27.0,1.0144116948981778,0.5263157894736841,0.5,0.5555555555555555,0.0,-0.0824167174758288
2019-10-31,231500.0,239900.0,139.10256410256412,132.88765978367746,15.0,18.0,18.0,14.0,0.9,13.0,1.0028108022631363,0.5333333333333333,0.6428571428571429,0.3888888888888889,0.0,0.0606570512820514
2019-11-30,242750.0,237500.0,143.21829763433482,154.54149461582057,18.0,6.0,8.0,15.0,0.8,19.0,0.9932672874591209,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.029587761795218
2019-12-31,239900.0,247400.0,133.7775499743721,150.98856855794293,11.0,10.0,6.0,11.0,1.0,40.0,0.9814123083223992,0.1818181818181818,0.3636363636363636,0.2999999999999999,0.0,-0.0659185859342277
2020-01-31,234000.0,273700.0,146.14499424626007,150.39741126966703,9.0,9.0,6.0,6.0,0.6999999999999998,36.0,1.0043441062272185,0.2222222222222222,0.6666666666666666,0.4444444444444444,0.0,0.0924478305534612
2020-02-29,265000.0,269900.0,153.79924953095684,156.10708310094813,13.0,5.0,9.0,9.0,0.6999999999999998,40.0,0.9972413375440916,0.3076923076923077,0.1111111111111111,0.4,0.42,0.0523743924598543
2020-03-31,267000.0,265000.0,148.91518737672584,146.6390423572744,9.0,10.0,11.0,10.0,1.1,10.0,0.996284393363492,0.4444444444444444,0.1,0.5,0.58,-0.0317560857359575
2020-04-30,235000.0,274900.0,148.34682313340537,155.03947368421052,8.0,13.0,14.0,10.0,1.3,18.0,1.0338179320081493,0.75,0.2,0.5384615384615384,1.06,-0.0038166976339534
2020-05-31,295000.0,264950.0,150.22467771639043,150.0847726317959,11.0,13.0,16.0,13.0,1.2,13.0,0.998634839390712,0.4545454545454545,0.3076923076923077,0.5384615384615384,1.29,0.0126585426187142
2020-06-30,259000.0,259900.0,155.26315789473685,142.63485477178423,13.0,17.0,13.0,9.0,0.6999999999999998,13.0,1.0294630047880138,0.6923076923076922,0.1111111111111111,0.7647058823529411,1.96,0.0335396304717563
2020-07-31,282000.0,269900.0,151.771134747197,148.59154929577466,16.0,22.0,31.0,17.0,1.1,15.0,1.0175456772298397,0.6875,0.0588235294117647,0.8636363636363636,1.9,-0.0224909965434769
2020-08-31,266000.0,254950.0,152.19665271966528,160.72200075179842,21.0,28.0,20.0,8.0,0.4,11.0,1.017855899368466,0.7619047619047618,0.75,0.5,2.14,0.0028036818277537
2020-09-30,279000.0,250000.0,158.45583749510894,162.72189349112426,30.0,20.0,19.0,6.0,0.2,14.0,1.0314829737948308,0.6333333333333333,0.1666666666666666,0.55,1.85,0.0411256401740489
2020-10-31,260000.0,239000.0,160.28955532574977,155.14303104077905,21.0,11.0,15.0,10.0,0.5,15.0,1.0290326254286466,0.7142857142857143,0.2999999999999999,0.5454545454545454,2.22,0.0115724220680568
2020-11-30,253500.0,252500.0,178.70887647423962,158.67634538345084,9.0,13.0,12.0,9.0,1.0,17.0,1.006317729776386,0.4444444444444444,0.2222222222222222,0.7692307692307692,2.33,0.1149127971005785
2020-12-31,240800.0,234950.0,162.7013427407225,153.03956728790638,18.0,9.0,6.0,6.0,0.2999999999999999,14.0,1.0118046760213355,0.7222222222222222,,0.4444444444444444,2.62,-0.0895732436425705
2021-01-31,240000.0,265000.0,166.8848167539267,159.4896331738437,7.0,8.0,9.0,6.0,0.9,26.0,1.0129705153354742,0.4285714285714285,,0.375,2.66,0.0257125967292777
2021-02-28,250000.0,275000.0,159.51359084406295,165.12883609974696,9.0,10.0,10.0,6.0,0.6999999999999998,16.0,1.0353411333592246,0.7777777777777777,,0.8,2.67,-0.0441695419226346
2021-03-31,328000.0,283500.0,165.90563165905633,163.41743119266056,7.0,15.0,17.0,8.0,1.1,9.0,1.0448957521878488,0.7142857142857143,,0.7333333333333332,2.89,0.0400720764993756
2021-04-30,275000.0,275000.0,168.6602870813397,170.70142768466792,15.0,12.0,9.0,5.0,0.2999999999999999,11.0,1.0320520024894662,0.5999999999999999,,0.5,2.62,0.0166037487379833
2021-05-31,285000.0,327450.0,179.80295566502463,169.5639583245217,13.0,14.0,16.0,7.0,0.5,14.0,1.0347064795840208,0.6923076923076922,0.1428571428571428,0.6428571428571429,2.6,0.0660657513188693
2021-06-30,310044.0,310000.0,161.29373339296797,159.4256002233389,12.0,16.0,18.0,9.0,0.8,8.0,1.0383173101133247,0.6666666666666666,,0.6875,1.94,-0.1029417019514383
2021-07-31,317500.0,299700.0,185.986845791338,166.44759670810078,20.0,15.0,18.0,12.0,0.5999999999999999,9.0,1.060434691840406,0.75,,0.7333333333333332,1.37,0.1530940593842475
2021-08-31,312500.0,314900.0,166.98957994138715,170.35909920876446,16.0,16.0,17.0,13.0,0.8,9.0,1.0435423330006064,0.75,0.4615384615384615,0.625,1.16,-0.1021430616187998
2021-09-30,289950.0,292900.0,183.234894851786,164.02714932126696,12.0,10.0,11.0,14.0,1.2,12.0,1.034460487787215,0.5833333333333333,0.4285714285714285,0.5,0.88,0.0972834048453856
2021-10-31,335450.0,259900.0,171.32762604550226,177.8914590747331,16.0,19.0,21.0,16.0,1.0,11.0,1.063193633068551,0.75,0.375,0.4736842105263157,1.03,-0.0649836310704641
2021-11-30,315000.0,263700.0,186.5530303030303,164.83937841299803,16.0,12.0,8.0,11.0,0.6999999999999998,20.0,1.0318637027171718,0.5625,0.6363636363636364,0.4166666666666666,0.65,0.088867187440538
