period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,229000.0,299900.0,136.52912621359224,131.75161101347393,7.0,7.0,9.0,8.0,1.1,28.0,0.9942633090530346,0.1428571428571428,0.125,0.2857142857142857,0.0,0.0
2019-02-28,255500.0,254700.0,134.01715713769337,136.70295717919728,6.0,4.0,6.0,10.0,1.7,40.0,0.9892862829021196,0.1666666666666666,0.2,0.5,0.0,-0.0183987779425837
2019-03-31,273000.0,392950.0,137.73965691220988,143.29685231976777,7.0,9.0,16.0,16.0,2.3,18.0,1.0130320934011456,0.7142857142857143,0.125,0.4444444444444444,0.09,0.0277762926331281
2019-04-30,239750.0,277450.0,151.34920634920633,155.73744805176025,6.0,7.0,8.0,17.0,2.8,16.0,0.9994928575404544,0.5,0.4117647058823529,0.4285714285714285,0.09,0.0988063259491829
2019-05-31,312450.0,279900.0,146.85158031932224,147.49552772808588,8.0,9.0,13.0,21.0,2.6,21.0,1.0106598577406716,0.5,0.3333333333333333,0.4444444444444444,0.43,-0.0297168788550286
2019-06-30,325000.0,332450.0,158.1902245706737,141.57911786268392,11.0,8.0,8.0,17.0,1.5,17.0,1.000926034745368,0.4545454545454545,0.3529411764705882,0.375,0.35,0.0772115916403219
2019-07-31,304500.0,329950.0,133.7872079542945,139.13778857017587,8.0,10.0,16.0,19.0,2.4,35.0,0.99448351704331,0.25,0.263157894736842,0.5999999999999999,0.35,-0.1542637459590735
2019-08-31,254000.0,265000.0,141.83965890822674,151.94976867151354,8.0,12.0,19.0,25.0,3.1,20.0,1.0107917516279927,0.5,0.28,0.5833333333333333,0.0,0.0601884969202972
2019-09-30,251000.0,299900.0,136.86143572621037,142.30906539039884,9.0,10.0,12.0,26.0,2.9,21.0,0.9924349985838576,0.2222222222222222,0.4615384615384615,0.1,0.0,-0.0350975405633017
2019-10-31,365000.0,350000.0,148.14814814814815,134.15892672858618,15.0,17.0,11.0,18.0,1.2,39.0,0.9940133591302484,0.1333333333333333,0.4444444444444444,0.1764705882352941,0.16,0.0824681720022044
2019-11-30,278500.0,314900.0,139.3188854489164,150.9433962264151,15.0,9.0,9.0,15.0,1.0,30.0,0.9860607439304644,0.2666666666666666,0.2,0.1111111111111111,0.34,-0.0595975232198142
2019-12-31,332450.0,211450.0,122.70783245549426,121.28956636335356,8.0,4.0,2.0,12.0,1.5,34.0,0.9973672987653652,0.25,0.1666666666666666,0.5,0.34,-0.1192304470416745
2020-01-31,282750.0,249900.0,148.6365229110512,145.71428571428572,4.0,6.0,7.0,9.0,2.3,105.0,1.003846611909651,0.5,0.2222222222222222,0.3333333333333333,0.56,0.2113042821855826
2020-02-29,312500.0,387450.0,144.62138446538836,132.8538896286988,7.0,11.0,12.0,8.0,1.1,54.0,0.9869960239943594,0.2857142857142857,0.125,0.4545454545454545,0.79,-0.0270131349080712
2020-03-31,261000.0,288500.0,124.4791349655417,150.33129459734965,10.0,7.0,13.0,14.0,1.4,28.0,1.0088616738647609,0.4,0.2857142857142857,0.5714285714285714,1.14,-0.1392757341820857
2020-04-30,315000.0,350000.0,145.40337711069418,143.6551724137931,11.0,13.0,15.0,14.0,1.3,14.0,1.0106000467277485,0.5454545454545454,0.3571428571428571,0.6153846153846154,2.13,0.1680943730123503
2020-05-31,380700.0,409900.0,153.50823764857898,157.9778830963665,14.0,15.0,15.0,14.0,1.0,17.0,1.0123610690948337,0.6428571428571429,0.2142857142857142,0.4666666666666666,2.58,0.0557405247315174
2020-06-30,290000.0,333000.0,158.21312238250349,155.7792207792208,15.0,13.0,15.0,13.0,0.9,14.0,1.0136132546915553,0.4666666666666666,0.4615384615384615,0.3076923076923077,2.73,0.0306490700824488
2020-07-31,359950.0,350000.0,150.74956547038835,152.47101891397193,16.0,16.0,19.0,16.0,1.0,18.0,1.008392030562052,0.5625,0.125,0.5625,2.52,-0.047174070012163
2020-08-31,340000.0,307450.0,155.54298642533936,156.1024792268369,13.0,16.0,16.0,15.0,1.2,19.0,1.0098869703531692,0.4615384615384615,0.2666666666666666,0.5,2.37,0.0317972455840516
2020-09-30,415500.0,329950.0,150.4442518849989,150.72558206584324,16.0,18.0,14.0,10.0,0.5999999999999999,20.0,1.0125536217892206,0.4375,0.5,0.3333333333333333,3.21,-0.0327802278811707
2020-10-31,325700.0,250000.0,152.4926686217009,144.33155080213905,21.0,13.0,9.0,5.0,0.2,22.0,1.0065839861889831,0.6666666666666666,0.2,0.3846153846153846,3.22,0.013615785987409
2020-11-30,282100.0,449800.0,152.76636117832015,133.90231092436974,14.0,6.0,3.0,2.0,0.1,22.0,1.0029424195475591,0.4285714285714285,1.0,0.3333333333333333,3.18,0.0017947915732148
2020-12-31,273923.5,302950.0,143.62691179551643,168.2071853569894,8.0,2.0,4.0,4.0,0.5,23.0,0.9911479380486732,0.375,,0.0,3.18,-0.0598263211371218
2021-01-31,307500.0,269000.0,170.84333831179822,141.3089005235602,2.0,7.0,5.0,2.0,1.0,21.0,1.016491482421167,0.5,,0.5714285714285714,3.56,0.1894939198792367
2021-02-28,280000.0,550000.0,169.59418534221683,152.87971457696227,3.0,5.0,9.0,6.0,2.0,20.0,1.0377322010196683,1.0,,0.5999999999999999,4.19,-0.0073116867296377
2021-03-31,300000.0,354900.0,167.13091922005572,155.6578947368421,5.0,10.0,11.0,7.0,1.4,10.0,1.0575452174215787,0.8,0.1428571428571428,0.8,4.41,-0.0145244727417428
2021-04-30,385000.0,322450.0,167.23149113660062,156.41412526347725,13.0,17.0,14.0,4.0,0.2999999999999999,11.0,1.048947101148202,0.7692307692307692,0.5,0.6470588235294118,4.05,0.0006017553006603
2021-05-31,320000.0,359999.5,155.54026152787335,169.49834941050375,11.0,18.0,22.0,8.0,0.6999999999999998,8.0,1.062538829858098,0.8181818181818182,0.5,0.8333333333333333,3.96,-0.0699104548387806
2021-06-30,443250.0,342500.0,167.2197213227473,168.1484927633108,18.0,28.0,30.0,10.0,0.5999999999999999,11.0,1.0479156665328224,0.7222222222222222,0.2,0.7857142857142857,3.85,0.075089624256424
2021-07-31,360000.0,335000.0,167.37513283740702,169.06700062617406,23.0,15.0,15.0,10.0,0.4,12.0,1.0372307945057513,0.782608695652174,0.4,0.4,4.56,0.0009293850834721
2021-08-31,365000.0,350000.0,175.6511205330103,173.96393546346093,19.0,20.0,21.0,11.0,0.5999999999999999,15.0,1.0421181574581435,0.631578947368421,0.5454545454545454,0.55,5.01,0.0494457423591281
