period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,123000.0,335000.0,98.59907517106171,129.34362934362937,3.0,,3.0,,0.6999999999999998,13.0,,,,0.5,0.0,0.0
2019-02-28,123750.0,249950.0,101.60020725444312,112.47040252565114,2.0,,5.0,,0.5,22.0,,,,0.6666666666666666,0.0,0.0304377305585745
2019-03-31,129000.0,260000.0,96.26093874303896,115.70983533600356,5.0,,3.0,,0.4,12.0,,,,0.5,0.24,-0.0525517482265831
2019-04-30,133000.0,280000.0,93.20252277505256,118.68780940594058,3.0,,5.0,,1.0,1.0,,,,1.0,0.35,-0.031772139436024
2019-05-31,131500.0,264900.0,97.55313985682297,114.50980392156865,2.0,,10.0,,3.5,2.0,,,0.1428571428571428,0.8333333333333333,0.35,0.0466791772607997
2019-06-30,137000.0,287900.0,99.6808143547274,119.29460580912864,9.0,,5.0,,0.5999999999999999,3.0,,,0.2,0.4285714285714285,0.23,0.0218104153390366
2019-07-31,130500.0,249450.0,97.72226304188096,117.3887015705018,3.0,,9.0,,3.0,29.0,,,0.3333333333333333,0.5999999999999999,0.45,-0.0196482274500353
2019-08-31,140750.0,260000.0,91.99656070010954,116.98155807607029,4.0,,7.0,,2.8,4.0,,,0.1818181818181818,0.75,0.97,-0.0585915856176759
2019-09-30,127900.0,265900.0,97.85202863961814,121.30569033965594,5.0,,2.0,,1.8,11.0,,,0.4444444444444444,0.3333333333333333,1.34,0.0636487700730059
2019-10-31,132950.0,284900.0,91.68719502522887,124.64589235127478,6.0,,8.0,,1.7,44.0,,,0.2,0.2857142857142857,1.36,-0.0630015923031488
2019-11-30,134000.0,269700.0,98.45701689933873,121.94570135746606,5.0,,3.0,,1.4,56.0,,,,0.5,1.31,0.0738360669911109
2019-12-31,127775.0,287450.0,95.27981829720652,119.18437679494544,6.0,,1.0,,0.2999999999999999,44.0,,,,0.2,1.32,-0.0322699052052383
2020-01-31,138000.0,350000.0,97.37167101068044,132.62855933573798,4.0,,6.0,,1.5,27.0,,,,0.5,1.17,0.021954835251142
2020-02-29,130000.0,291000.0,95.15062454077884,116.26591706107216,5.0,,5.0,,1.2,28.0,,,0.5,0.4,1.23,-0.0228099861781974
2020-03-31,131700.0,292000.0,94.1086424720408,123.73096446700508,2.0,,5.0,,5.0,18.0,,,0.1,0.0,1.29,-0.0109508694637255
2020-04-30,132000.0,295000.0,91.73036831132733,116.10209139690043,1.0,,6.0,,7.0,85.0,,,0.4285714285714285,0.6666666666666666,3.35,-0.0252715807840926
2020-05-31,133000.0,300000.0,99.19177075679649,125.15644555694618,7.0,,8.0,,1.0,8.0,,,0.1428571428571428,0.625,3.66,0.0813405918108343
2020-06-30,137200.0,329900.0,94.4158706833211,123.78640776699028,9.0,,4.0,,0.2,26.0,,,,0.5,3.78,-0.0481481481481481
