period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,275000.0,335000.0,116.08776723405828,129.34362934362937,122.0,,144.0,,2.5,48.0,,,0.2333333333333333,0.3838383838383838,0.0,0.0
2019-02-28,253900.0,249950.0,116.52005735579482,112.47040252565114,111.0,,101.0,,2.5,50.0,,,0.1438848920863309,0.4567901234567901,0.0,0.0037238214846957
2019-03-31,280000.0,260000.0,116.88361979833294,115.70983533600356,105.0,,181.0,,3.1,34.0,,,0.190031152647975,0.6909090909090909,0.24,0.0031201704735519
2019-04-30,259000.0,280000.0,121.43407864302236,118.68780940594058,138.0,,250.0,,2.7,34.0,,,0.2841823056300268,0.601190476190476,0.35,0.0389315359375472
2019-05-31,272500.0,264900.0,117.72853185595568,114.50980392156865,204.0,,251.0,,1.9,19.0,,,0.2864450127877237,0.5263157894736841,0.35,-0.0305148837004792
2019-06-30,275000.0,287900.0,117.36483070641914,119.29460580912864,206.0,,223.0,,2.1,26.0,,,0.2429906542056074,0.4968553459119496,0.23,-0.0030893203525338
2019-07-31,270000.0,249450.0,121.9016659894352,117.3887015705018,177.0,,208.0,,2.4,30.0,,,0.4211764705882353,0.3977272727272727,0.45,0.0386558328905588
2019-08-31,276000.0,260000.0,119.68957871396896,116.98155807607029,200.0,,195.0,,2.1,29.0,,,0.342789598108747,0.3806451612903225,0.97,-0.0181464892830747
2019-09-30,274500.0,265900.0,121.32352941176472,121.30569033965594,171.0,,157.0,,2.4,35.0,,,0.2673267326732673,0.2790697674418604,1.34,0.0136515702983677
2019-10-31,284500.0,284900.0,119.26173347036656,124.64589235127478,158.0,,196.0,,2.5,38.0,,,0.2512437810945273,0.4124999999999999,1.36,-0.0169941968503121
2019-11-30,269000.0,269700.0,113.29427083333331,121.94570135746606,145.0,,111.0,,2.6,30.0,,,0.2459459459459459,0.3599999999999999,1.31,-0.0500366921005387
2019-12-31,255000.0,287450.0,117.26863505687837,119.18437679494544,148.0,,69.0,,2.2,47.0,,,0.1415662650602409,0.2894736842105263,1.32,0.0350800106158211
2020-01-31,290000.0,350000.0,122.54980689904926,132.62855933573798,92.0,,136.0,,3.7,60.0,,,0.1852941176470588,0.5909090909090909,1.17,0.0450348197504761
2020-02-29,300000.0,291000.0,121.87871581450652,116.26591706107216,91.0,,125.0,,3.8,69.0,,,0.1725146198830409,0.5977011494252874,1.23,-0.0054760680699852
2020-03-31,301000.0,292000.0,120.45454545454544,123.73096446700508,145.0,,199.0,,2.3,37.0,,,0.138235294117647,0.6375838926174496,1.29,-0.0116851441241684
2020-04-30,300500.0,295000.0,124.49789632452172,116.10209139690043,160.0,,129.0,,2.0,23.0,,,0.1661341853035143,0.4424778761061947,3.35,0.0335674411847086
2020-05-31,295000.0,300000.0,131.31313131313132,125.15644555694618,155.0,,209.0,,2.0,29.0,,,0.2077922077922078,0.6023391812865497,3.66,0.0547417682532138
2020-06-30,330000.0,329900.0,128.08510638297872,123.78640776699028,221.0,,211.0,,1.3,30.0,,,0.2222222222222222,0.5849999999999999,3.78,-0.0245826513911621
2020-07-31,327500.0,300000.0,124.8032564450475,121.16316639741518,222.0,,252.0,,1.5,19.0,,,0.1801242236024844,0.6162790697674418,2.32,-0.0256224164589314
2020-08-31,328500.0,319975.0,126.18296529968454,121.7557251908397,190.0,,235.0,,1.7,21.0,,,0.2232704402515723,0.645933014354067,1.92,0.011055070948766
2020-09-30,307000.0,300000.0,124.17024934230716,123.41794067244696,228.0,,176.0,,1.3,16.0,,,0.1604095563139931,0.5254237288135593,2.0,-0.0159507739622157
2020-10-31,325500.0,299000.0,125.6051192003782,129.81574539363484,202.0,,226.0,,1.5,17.0,,,0.23841059602649,0.580110497237569,2.15,0.0115556654325099
2020-11-30,308900.0,319700.0,125.66438876233865,134.5798366601366,189.0,,128.0,,1.4,27.0,,,0.1735849056603773,0.5036496350364964,2.56,0.0004718721843326
2020-12-31,320000.0,330000.0,128.06236080178175,134.77019443970664,175.0,,109.0,,1.4,25.0,,,0.0924369747899159,0.4774774774774774,2.73,0.0190823515162934
2021-01-31,307500.0,337495.0,137.26505517734245,137.0697532744441,108.0,,119.0,,2.1,21.0,,,0.1306306306306306,0.5673076923076922,2.4,0.071861039558726
2021-02-28,389950.0,359000.0,148.59546290885774,131.93322563274097,126.0,,127.0,,1.5,35.0,,,0.0364583333333333,0.6752136752136751,2.77,0.0825440074087082
2021-03-31,375000.0,366750.0,145.7227138643068,139.7919375812744,113.0,,206.0,,1.8,30.0,,,0.055,0.7073170731707316,2.87,-0.0193326834367275
2021-04-30,342500.0,312000.0,138.77723525603685,129.31034482758622,156.0,,204.0,,1.4,14.0,,,0.0657276995305164,0.7218934911242603,3.68,-0.0476622924737553
2021-05-31,362500.0,325000.0,141.54185867895546,140.81145584725536,194.0,,215.0,,1.0,8.0,,,0.0612244897959183,0.6839622641509434,3.61,0.0199213035035468
2021-06-30,350000.0,352500.0,141.27127268651373,136.28156424182666,194.0,,236.0,,1.2,9.0,,,0.2085106382978723,0.6864864864864864,3.94,-0.0019117029758347
2021-07-31,365000.0,325000.0,143.36016096579476,139.42176870748298,225.0,,241.0,,1.2,10.0,,,0.1641221374045801,0.6099999999999999,4.16,0.0147863627159101
2021-08-31,317755.0,359950.0,141.28999346349502,141.25441696113074,180.0,,171.0,,1.4,9.0,,,0.23046875,0.574074074074074,4.02,-0.0144403262967434
2021-09-30,388750.0,360000.0,144.6574336700877,143.82689859991515,196.0,,192.0,,1.3,18.0,,,0.1706349206349206,0.5689655172413793,3.64,0.0238335364313164
2021-10-31,352000.0,319500.0,149.7326203208556,148.0989224047828,185.0,,187.0,,1.4,14.0,,,0.1699604743083003,0.612121212121212,3.05,0.0350841745357006
2021-11-30,353000.0,364950.0,143.25366876310272,151.42857142857142,164.0,,131.0,,1.4,16.0,,,0.1518987341772151,0.5714285714285714,3.07,-0.0432701407607066
