period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,301000.0,319250.0,126.00074515648286,129.52488687782807,79.0,,107.0,312.0,3.9,79.0,0.9829957730307434,0.1645569620253164,0.3108974358974359,0.1764705882352941,0.47,0.0
2019-02-28,311000.0,318499.0,121.44955925563174,129.44162436548223,75.0,,134.0,346.0,4.6,90.0,0.9814977894211304,0.1866666666666666,0.2312138728323699,0.2622950819672131,0.6,-0.036120309409273
2019-03-31,315000.0,325000.0,128.99817017383347,130.0579345699442,115.0,,182.0,387.0,3.4,54.0,0.9836559636514584,0.1739130434782608,0.2532299741602067,0.2105263157894736,0.71,0.0621542882861609
2019-04-30,300000.0,349400.0,130.4722207205678,130.40908978643105,136.0,,174.0,422.0,3.1,48.0,0.9827128283170669,0.1470588235294117,0.2606635071090047,0.1981132075471698,0.71,0.0114269105115829
2019-05-31,325000.0,329000.0,125.43859649122808,131.96964698119433,177.0,,220.0,463.0,2.6,58.0,0.9844688696513662,0.1977401129943502,0.2721382289416846,0.1550387596899224,0.7,-0.0385800456337769
2019-06-30,337000.0,342400.0,130.41733547351524,134.58245010272424,147.0,,192.0,493.0,3.4,53.0,0.987427835041172,0.1904761904761904,0.2393509127789046,0.1587301587301587,0.6,0.0396906464322193
2019-07-31,328500.0,315000.0,131.21546961325967,136.65937670858392,176.0,,193.0,488.0,2.8,62.0,0.9821564127063692,0.0909090909090909,0.2889344262295082,0.1643835616438356,0.2,0.006119847003825
2019-08-31,315000.0,319500.0,129.84310187756037,129.37721129179744,174.0,,164.0,450.0,2.6,58.0,0.9852661025631868,0.1494252873563218,0.3266666666666666,0.1666666666666666,0.13,-0.0104588867436451
2019-09-30,315000.0,325000.0,133.3570412517781,136.77811550151975,137.0,,151.0,447.0,3.3,67.0,0.9806082718238788,0.1897810218978102,0.29082774049217,0.1428571428571428,0.99,0.0270629654052112
2019-10-31,299250.0,326977.0,129.17397753700885,136.00656865333536,164.0,,160.0,438.0,2.7,66.0,0.9803047809329036,0.1585365853658536,0.276255707762557,0.1171171171171171,1.31,-0.0313674004424829
2019-11-30,316000.0,348900.0,133.3925902864259,131.82035940589088,133.0,,93.0,385.0,2.9,60.0,0.9794726060686976,0.1052631578947368,0.2571428571428571,0.1714285714285714,1.56,0.0326583792637986
2019-12-31,328000.0,339500.0,129.9920874152223,137.67343086361493,121.0,,69.0,316.0,2.6,71.0,0.981392142833336,0.1818181818181818,0.1329113924050632,0.1839080459770114,0.7,-0.025492442000728
2020-01-31,348000.0,350000.0,121.42544137029016,134.71177944862154,80.0,,105.0,317.0,4.0,105.0,0.9816879748308376,0.1375,0.2492113564668769,0.3265306122448979,0.79,-0.0659012884189517
2020-02-29,329500.0,365000.0,130.5584843810336,136.9460758142018,104.0,,139.0,321.0,3.1,80.0,0.9827181208716111,0.173076923076923,0.1370716510903426,0.3378378378378378,0.75,0.0752152342019658
2020-03-31,320000.0,344999.5,134.12043228170782,138.29900302265622,140.0,,174.0,349.0,2.5,74.0,0.9843504099594128,0.2142857142857142,0.1318051575931232,0.2268041237113402,1.05,0.0272823931555357
2020-04-30,349000.0,339900.0,138.22336896424622,136.74884437596302,133.0,,114.0,327.0,2.5,45.0,0.985731401413064,0.2105263157894736,0.1926605504587156,0.1682242990654205,1.89,0.0305914364630182
2020-05-31,319849.0,364900.0,135.93638392857142,139.57848655409632,107.0,,219.0,393.0,3.7,61.0,0.98826264964483,0.2149532710280373,0.1374045801526717,0.2999999999999999,2.84,-0.016545574404762
2020-06-30,345000.0,350000.0,137.44341232100157,138.88927122324068,208.0,,177.0,363.0,1.7,43.0,0.9869441879557592,0.1971153846153846,0.1515151515151515,0.2025316455696202,3.18,0.011086276895684
2020-07-31,349250.0,375000.0,136.72702959165505,140.0518491067464,194.0,,217.0,365.0,1.9,53.0,0.9860299485252808,0.1855670103092783,0.1178082191780821,0.2424242424242424,2.85,-0.0052122012779586
2020-08-31,352652.5,359900.0,137.9378600123281,142.83710126974296,174.0,,163.0,313.0,1.8,49.0,0.995350588812582,0.3275862068965517,0.1373801916932907,0.2663043478260869,3.2,0.0088558233458977
2020-09-30,348895.0,348000.0,142.53980007404664,147.18674299901025,181.0,,189.0,325.0,1.8,42.0,0.9969868891013932,0.3646408839779005,0.0861538461538461,0.2430555555555555,3.83,0.0333624145053959
2020-10-31,353244.5,360000.0,140.81450787733655,151.87138483114995,160.0,,150.0,293.0,1.8,47.0,0.989469823792908,0.325,0.1228668941979522,0.25,4.05,-0.0121039330475687
2020-11-30,342000.0,369900.0,142.76591375770022,145.16641877333117,139.0,,115.0,253.0,1.8,42.0,1.0012832731493653,0.4100719424460431,0.0909090909090909,0.3253968253968254,3.11,0.0138579888519976
2020-12-31,370000.0,389900.0,146.91893781692522,154.14798206278027,171.0,,103.0,214.0,1.3,42.0,0.9958448791740964,0.3625730994152046,0.0560747663551401,0.3083333333333333,3.21,0.0290897452333995
2021-01-31,349250.0,369950.0,146.85397918146973,154.40404615953395,104.0,,108.0,185.0,1.8,48.0,1.0051945757679468,0.4134615384615384,0.054054054054054,0.4257425742574257,3.48,-0.0004421392940945
2021-02-28,375000.0,359999.5,156.85638645533322,154.17205475929566,105.0,,113.0,187.0,1.8,58.0,0.9987100320968136,0.3333333333333333,0.0855614973262032,0.573170731707317,4.51,0.0681112444457727
