period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.35,0.0
2019-02-28,,,,,,,,,,,,,,,0.35,
2019-03-31,331000.0,269000.0,174.8605896259213,240.24718766296647,3.0,2.0,2.0,4.0,1.3,55.0,1.0385400807878185,0.6666666666666666,0.25,0.0,0.7,
2019-04-30,,,,,,,,,,,,,,,0.78,0.0
2019-05-31,202500.0,,156.72378705668427,,1.5,1.0,,5.0,2.5,109.0,0.9516665302814212,0.0,0.2,0.0,0.78,-0.1037214995559435
2019-06-30,,,,,,,,,,,,,,,0.49,0.0
2019-07-31,,,,,,,,,,,,,,,0.71,0.0
2019-08-31,214000.0,,231.35135135135133,,1.0,1.0,,5.0,5.0,64.0,0.9771689497716894,0.0,,0.0,1.14,0.4761725434038648
2019-09-30,,,,,,,,,,,,,,,2.27,0.0
2019-10-31,319900.0,288000.0,217.3233695652174,237.72191308956013,1.0,,1.0,5.0,5.0,109.0,1.0,0.0,0.2,,2.29,-0.0606349680008124
2019-11-30,,,,,,,,,,,,,,,2.27,0.0
2019-12-31,309750.0,,185.2531970953024,,2.0,,,1.0,0.5,202.0,0.9923076923076924,0.0,,,1.46,-0.1475689086455607
2020-01-31,,,,,,,,,,,,,,,1.08,0.0
2020-02-29,368000.0,,223.03030303030303,,1.0,,,1.0,1.0,133.0,0.989247311827957,0.0,1.0,,1.31,0.2039214789667918
2020-03-31,,,,,,,,,,,,,,,1.64,0.0
2020-04-30,,,,,,,,,,,,,,,3.41,0.0
2020-05-31,245000.0,239000.0,302.4691358024691,237.2515341515475,1.0,1.0,1.0,2.0,2.0,48.0,0.980392156862745,0.0,,0.0,5.28,0.3561795491143316
2020-06-30,355000.0,241500.0,207.6023391812865,258.9622641509434,1.0,,1.0,2.0,2.0,130.0,1.0289855072463767,1.0,,,5.85,-0.3136412459720731
2020-07-31,360000.0,260000.0,210.52631578947367,245.42733874153072,1.0,1.0,1.0,2.0,2.0,86.0,0.9756097560975608,0.0,,0.0,5.63,0.0140845070422537
2020-08-31,307000.0,275000.0,203.98671096345515,266.59722222222223,1.0,1.0,1.0,2.0,2.0,80.0,0.9935275080906149,0.0,,0.0,5.49,-0.0310631229235879
2020-09-30,313000.0,299950.0,203.98671096345515,257.510729613734,2.0,1.0,2.0,3.0,1.5,343.0,0.9811912225705328,0.0,,0.0,6.11,0.0
2020-10-31,,,,,,,,,,,,,,,6.4,0.0
