period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,1455532.5,792500.0,892.4230825754696,724.8262164846077,2.0,,2.0,12.0,6.0,128.0,0.9503556547619048,0.0,0.0833333333333333,,1.29,0.0
2019-02-28,,,,,,,,,,,,,,,1.85,0.0
2019-03-31,1257500.0,722000.0,942.0307185374148,733.280085197018,2.0,3.0,6.0,10.0,5.0,210.0,0.9903405748269848,0.5,0.2,0.3333333333333333,3.42,0.0555875760393613
2019-04-30,1987500.0,781999.5,826.0233918128655,727.7481577954793,3.0,3.0,10.0,14.0,4.7,71.0,0.9659466310694012,0.0,0.2142857142857142,0.6666666666666666,3.55,-0.1231460125893355
2019-05-31,3300000.0,750000.0,1551.06416772554,696.3607242339833,2.0,4.0,7.0,17.0,8.5,68.0,0.9901960784313724,0.0,0.4705882352941176,0.25,4.14,0.877748479157999
2019-06-30,1405000.0,799000.0,836.2769791538682,699.9357673981442,6.0,6.0,2.0,12.0,2.0,11.0,0.9782102642028044,0.0,0.0833333333333333,0.1666666666666666,3.31,-0.4608366329678199
2019-07-31,1625000.0,699900.0,902.7777777777776,691.3257122860225,5.0,5.0,2.0,6.0,1.2,81.0,0.9821403405147082,0.2,0.1666666666666666,0.5999999999999999,3.03,0.0795200636650239
2019-08-31,1850000.0,672500.0,969.8275862068964,673.9864864864865,5.0,,1.0,7.0,1.4,34.0,0.9630496103271876,0.0,0.4285714285714285,,2.85,0.0742705570291777
2019-09-30,1630000.0,780000.0,810.9452736318408,707.5999510110769,3.0,3.0,10.0,13.0,4.3,25.0,1.1063764966858327,0.6666666666666666,0.1538461538461538,0.6666666666666666,3.54,-0.1638253178551685
2019-10-31,1610000.0,799000.0,876.9063180827886,731.907894736842,1.0,4.0,6.0,14.0,14.0,97.0,0.9763493026076407,0.0,0.3571428571428571,0.5,3.09,0.0813384658566902
2019-11-30,1395000.0,725000.0,1063.7622278889512,722.6702512781875,2.0,1.0,1.0,11.0,5.5,16.0,0.9868253968253968,0.0,0.3636363636363636,0.0,3.12,0.2130853729218103
2019-12-31,860000.0,,806.0788417931274,,3.0,2.0,,8.0,2.7,24.0,1.0162621082621082,0.3333333333333333,0.125,0.0,2.3,-0.2422377664294394
2020-01-31,1642500.0,780000.0,720.8391874487764,770.3920912627345,4.0,1.0,4.0,9.0,2.3,84.0,0.9079006103059096,0.0,,0.0,2.7,-0.1057460510373089
2020-02-29,,,,,,,,,,,,,,,3.01,0.0
2020-03-31,1407000.0,739900.0,775.553644828454,692.6751592356688,2.0,6.0,7.0,16.0,8.0,91.0,0.951653944020356,0.0,0.25,0.3333333333333333,3.98,0.0759038331050303
2020-04-30,1979578.5,727000.0,1088.507899552188,725.4901960784314,2.0,2.0,2.0,15.0,7.5,50.0,1.0107423214285711,0.5,0.1333333333333333,0.0,6.93,0.4035236721670709
2020-05-31,2150000.0,828000.0,913.216868134901,723.321668725127,4.0,1.0,4.0,17.0,4.3,21.0,1.003714834162824,0.25,0.1764705882352941,0.0,8.7,-0.1610379047220528
2020-06-30,1997500.0,799000.0,959.7862861182532,725.0143336673601,6.0,7.0,14.0,21.0,3.5,69.0,0.9947452289859224,0.3333333333333333,0.2857142857142857,0.2857142857142857,10.72,0.0509949165508327
2020-07-31,949375.0,745000.0,412.2412810953392,723.3273056057867,2.5,2.0,7.0,13.0,4.4,177.0,0.946729990861078,0.25,0.32,0.3333333333333333,9.85,-0.5704863811269878
2020-08-31,1855000.0,735000.0,944.4444444444443,729.0712201222901,5.0,6.0,8.0,25.0,5.0,28.0,0.989588259919615,0.2,0.12,0.5,10.61,1.29099919817594
2020-09-30,832500.0,748500.0,395.3574975173784,720.2414600662198,3.0,2.0,8.0,27.0,5.4,103.0,0.8360355544630156,0.0,0.1851851851851851,0.0,10.62,-0.5813861790992463
2020-10-31,400000.0,699000.0,657.8947368421053,709.5808344367422,1.0,3.0,9.0,27.0,27.0,11.0,1.000250062515629,1.0,0.074074074074074,0.6666666666666666,12.38,0.6640502354788067
2020-11-30,1965000.0,695750.0,830.1388770312188,728.9099526066351,4.0,8.0,6.0,21.0,5.3,61.0,0.9928314078132444,0.25,0.2857142857142857,0.0,12.75,0.2618110930874524
2020-12-31,1562500.0,650000.0,817.3570668962373,689.2582527192249,8.0,7.0,2.0,14.0,1.8,77.0,0.9728652934827852,0.125,0.2857142857142857,0.1428571428571428,14.41,-0.0153971949617544
2021-01-31,787500.0,699987.0,487.79761904761904,709.4748858447489,3.0,2.0,5.0,14.0,2.8,63.0,0.9659876770814018,0.0,0.4285714285714285,0.0,12.71,-0.4032013194674629
2021-02-28,1962500.0,825000.0,601.9375146751008,792.2535211267605,2.0,6.0,8.0,13.0,6.5,115.0,0.9645207748444754,0.0,0.2307692307692307,0.6666666666666666,13.7,0.2339902680343739
2021-03-31,1300000.0,659000.0,828.7292817679559,714.9901380670611,7.0,3.0,9.0,16.0,2.3,93.0,0.9566797808843912,0.1428571428571428,0.3125,0.6666666666666666,13.14,0.3767696173834043
2021-04-30,925800.0,759500.0,391.9821802935011,735.8156028368794,4.0,6.0,14.0,18.0,2.6,79.0,0.9587450539958924,0.0714285714285714,0.2222222222222222,0.1818181818181818,14.34,-0.5270081691125088
2021-05-31,2220000.0,775000.0,896.9072164948453,740.8376963350787,5.0,7.0,10.0,20.0,4.0,26.0,0.9778491895701196,0.0,0.1,0.2857142857142857,14.12,1.2881326284354966
2021-06-30,2024500.0,775000.0,1169.4314938619127,737.340177467566,14.0,6.0,8.0,19.0,1.4,27.0,1.005163881190896,0.5714285714285714,0.1578947368421052,0.5,14.57,0.3038489069494889
2021-07-31,889750.0,519999.75,548.8934492126425,415.1736592965863,4.0,3.5,3.5,9.0,1.7,49.5,0.9880461302709982,0.1428571428571428,0.1764705882352941,0.0,15.69,-0.5306322327612496
2021-08-31,1900000.0,709000.0,956.6968781470292,728.970588235294,7.0,3.0,3.0,13.0,1.9,25.0,0.9862027851945256,0.2857142857142857,0.1538461538461538,0.3333333333333333,14.04,0.7429555399492531
2021-09-30,2100000.0,799999.0,933.7016574585635,775.9784075573549,5.0,4.0,7.0,13.0,2.6,57.0,0.9894011810662512,0.2,0.0769230769230769,0.5,12.88,-0.024036056993312
2021-10-31,1382312.5,428750.0,626.0308986216902,427.034208261618,1.5,3.0,2.5,8.0,5.25,80.5,0.903094840313311,0.0,,0.1,12.73,-0.3295172032513259
2021-11-30,1212500.0,759000.0,1055.0213675213674,753.3292985785312,6.0,4.0,2.0,9.0,1.5,41.0,0.9734449198938008,0.3333333333333333,0.1111111111111111,0.0,12.97,0.685254465624892
