period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,657500.0,679000.0,304.168501247515,273.9403453689168,2.0,,1.0,2.0,1.0,80.0,1.0104974783622105,1.0,,,0.37,0.0
2019-02-28,580000.0,,311.15879828326183,,1.0,1.0,,1.0,1.0,64.0,1.0545454545454545,1.0,,0.0,0.54,0.0229816598598371
2019-03-31,,,,,,,,,,,,,,,0.69,0.0
2019-04-30,,,,,,,,,,,,,,,0.42,0.0
2019-05-31,535000.0,721000.0,267.23276723276723,315.56082148499206,1.0,,2.0,2.0,2.0,107.0,0.9224137931034482,0.0,0.5,,0.25,-0.1411691756519343
2019-06-30,,,,,,,,,,,,,,,0.1,0.0
2019-07-31,610000.0,729999.0,326.1347600619865,314.29308336035007,2.0,2.0,1.0,2.0,1.0,76.0,0.9991048513809898,0.5,,0.0,0.0,0.2204145600824243
2019-08-31,,,,,,,,,,,,,,,0.33,0.0
2019-09-30,,,,,,,,,,,,,,,0.56,0.0
2019-10-31,,,,,,,,,,,,,,,0.79,0.0
2019-11-30,,,,,,,,,,,,,,,0.66,0.0
2019-12-31,,,,,,,,,,,,,,,0.54,0.0
2020-01-31,,,,,,,,,,,,,,,0.88,0.0
2020-02-29,,,,,,,,,,,,,,,0.99,0.0
2020-03-31,,,,,,,,,,,,,,,0.92,0.0
2020-04-30,,,,,,,,,,,,,,,2.82,0.0
2020-05-31,,,,,,,,,,,,,,,4.17,0.0
2020-06-30,,,,,,,,,,,,,,,5.19,0.0
2020-07-31,,,,,,,,,,,,,,,4.18,0.0
2020-08-31,395000.0,727500.0,281.53955808980754,324.9475890985325,1.0,1.0,3.0,3.0,3.0,68.0,1.0154241645244215,1.0,,0.0,4.46,-0.1367385738450665
2020-09-30,,,,,,,,,,,,,,,4.34,0.0
2020-10-31,,,,,,,,,,,,,,,4.68,0.0
2020-11-30,,,,,,,,,,,,,,,4.63,0.0
2020-12-31,,,,,,,,,,,,,,,5.11,0.0
2021-01-31,720000.0,,309.0128755364807,,1.0,,,1.0,1.0,140.0,1.0,0.0,,,5.21,0.097582441462487
2021-02-28,,,,,,,,,,,,,,,5.06,0.0
2021-03-31,,,,,,,,,,,,,,,5.65,0.0
2021-04-30,,,,,,,,,,,,,,,5.41,0.0
2021-05-31,,,,,,,,,,,,,,,5.17,0.0
2021-06-30,,,,,,,,,,,,,,,4.88,0.0
2021-07-31,,,,,,,,,,,,,,,4.5,0.0
2021-08-31,,,,,,,,,,,,,,,4.79,0.0
2021-09-30,,,,,,,,,,,,,,,4.69,0.0
2021-10-31,,,,,,,,,,,,,,,5.3,0.0
2021-11-30,,,,,,,,,,,,,,,4.86,0.0
2021-12-31,,,,,,,,,,,,,,,4.17,0.0
2022-01-31,,,,,,,,,,,,,,,3.58,0.0
2022-02-28,,,,,,,,,,,,,,,3.78,0.0
2022-03-31,,,,,,,,,,,,,,,4.46,0.0
2022-04-30,,,,,,,,,,,,,,,4.37,0.0
2022-05-31,,,,,,,,,,,,,,,4.1,0.0
2022-06-30,,,,,,,,,,,,,,,3.8,0.0
