period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,675000.0,569000.0,218.8006482982172,309.68696472408374,1.0,,1.0,4.0,4.0,120.0,1.0150375939849623,1.0,,,0.32,0.0
2019-02-28,532000.0,385400.0,273.52185089974296,262.89264242819365,1.0,2.0,6.0,8.0,8.0,97.0,0.994392523364486,0.0,0.25,0.0,0.98,0.2500961630010474
2019-03-31,598000.0,499000.0,252.4271844660194,259.6032081046855,1.0,1.0,5.0,11.0,11.0,101.0,0.964671721245362,0.0,0.3636363636363636,0.0,1.04,-0.0771224176947223
2019-04-30,,,,,,,,,,,,,,,0.71,0.0
2019-05-31,382000.0,414999.5,258.79255994035395,280.2678115656676,4.0,3.0,3.0,14.0,3.5,54.0,0.9722100491753802,0.0,0.3571428571428571,0.0,0.39,0.0252166797637098
2019-06-30,519000.0,499000.0,265.358090544785,268.6722192369694,2.0,4.0,4.0,10.0,5.0,320.0,1.0,0.0,0.8,0.5,0.39,0.0253698584145705
2019-07-31,662625.0,439250.0,245.4723517470071,256.7640692640693,2.0,1.0,5.0,12.0,6.0,64.0,0.9321728498740304,0.0,0.0833333333333333,1.0,0.78,-0.074939259462382
2019-08-31,551000.0,427000.0,260.29061383158813,268.04915514592926,6.0,3.0,2.0,10.0,1.7,51.0,0.9826471714064364,0.3333333333333333,0.2,0.3333333333333333,1.19,0.0603663181581168
2019-09-30,638000.0,524500.0,269.3119459687632,279.5163940495215,1.0,2.0,4.0,11.0,11.0,83.0,0.968133535660091,0.0,0.3636363636363636,0.0,2.05,0.034658691699932
2019-10-31,687500.0,529999.0,196.42857142857144,249.9962962962963,1.0,,3.0,12.0,12.0,209.0,0.9822831833119016,0.0,0.4166666666666666,,1.83,-0.270628078817734
2019-11-30,540000.0,469950.0,286.32025450689287,296.5561479356966,1.0,2.0,3.0,12.0,12.0,73.0,0.9818181818181818,0.0,0.3333333333333333,0.5,1.51,0.4576303865805453
2019-12-31,650000.0,625000.0,242.6055275298581,269.1047396138093,7.0,3.0,1.0,8.0,1.1,76.0,0.9858300950364652,0.2857142857142857,,0.0,0.66,-0.1526777316271992
2020-01-31,699900.0,499914.0,242.43158988569448,301.685393258427,2.0,3.0,4.0,9.0,4.5,48.0,1.0,0.0,0.1111111111111111,0.3333333333333333,0.96,-0.0007169566412381
2020-02-29,,,,,,,,,,,,,,,1.52,0.0
2020-03-31,667000.0,,,,1.0,1.0,,6.0,6.0,71.0,1.0261538461538462,1.0,0.1666666666666666,0.0,2.49,0.0
2020-04-30,565000.0,,290.4884318766067,,1.0,1.0,,3.0,3.0,83.0,1.0,0.0,,0.0,3.81,0.1982284652489834
