period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,235000.0,292500.0,138.23529411764707,137.08080616546704,1.0,1.0,2.0,2.0,2.0,80.0,0.9832635983263596,0.0,,0.0,0.22,0.0
2019-02-28,162000.0,315000.0,109.7560975609756,115.78366445916114,1.0,1.0,1.0,2.0,2.0,57.0,0.9824135839902972,0.0,,0.0,0.22,-0.2060197197716659
2019-03-31,106500.0,169900.0,73.67307692307692,121.41666666666669,1.0,1.0,1.0,3.0,3.0,94.5,0.848928775743707,0.0,,0.0,0.51,-0.3287564102564102
2019-04-30,715000.0,,34.917224202764075,,1.0,1.0,,,,86.0,0.7953281423804227,0.0,,0.0,0.98,-0.5260517727633172
2019-05-31,144500.0,,120.41666666666669,,1.0,,,5.0,5.0,45.0,0.9917638984214138,0.0,0.2,0.0,1.5,2.448632284382285
2019-06-30,214150.0,299950.0,119.975387420237,116.01543851543852,6.0,1.0,1.0,2.0,0.2999999999999999,79.0,0.9754293337514433,0.0,,1.0,1.2,-0.0036646027385164
2019-07-31,104750.0,,88.27050405415622,,2.0,2.0,,,,66.0,0.974236117852218,0.0,,0.0,0.51,-0.2642615627072601
2019-08-31,163700.0,,126.91646489104116,,2.0,,,1.0,0.5,78.0,0.9860474038240205,0.0,,0.0,0.44,0.4378128487084955
2019-09-30,132666.66666666666,272200.0,64.43277550706084,113.57439227868343,1.0,1.0,1.0,2.0,2.0,46.5,0.9292439982554962,0.0,,0.6666666666666666,0.83,-0.4923213819233232
2019-10-31,190800.0,179500.0,136.28571428571428,126.14795918367346,3.0,,3.0,3.0,1.0,229.0,1.022171291436121,0.6666666666666666,,0.5,1.34,1.1151613167863528
2019-11-30,196500.0,,74.53488372093022,,1.0,,,2.0,2.0,70.5,0.9065217391304348,0.0,,,1.32,-0.4530983374774511
2019-12-31,205000.0,,102.5,,1.0,,,2.0,2.0,4.0,0.976190476190476,0.0,,,1.13,0.3751950078003121
2020-01-31,152500.0,,,,1.0,1.0,,,,28.0,1.0,0.0,,1.0,1.07,0.0
2020-02-29,191900.0,155750.0,137.07142857142858,110.2409615531606,1.0,,1.0,6.0,6.0,467.0,1.0543956043956044,1.0,0.1666666666666666,,1.41,0.337282229965157
2020-03-31,134750.0,330000.0,71.75925925925925,131.40535372848947,1.0,2.0,3.0,2.0,2.0,25.0,0.979729075955491,0.0,0.5,0.1666666666666666,1.9,-0.4764827359928976
