period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.16,0.0
2019-02-28,,,,,,,,,,,,,,,0.53,
2019-03-31,,,,,,,,,,,,,,,1.42,
2019-04-30,,,,,,,,,,,,,,,1.43,
2019-05-31,,,,,,,,,,,,,,,2.1,
2019-06-30,,,,,,,,,,,,,,,3.6,
2019-07-31,,,,,,,,,,,,,,,4.97,
2019-08-31,,,,,,,,,,,,,,,7.73,
2019-09-30,,,,,,,,,,,,,,,8.9,
2019-10-31,,,,,,,,,,,,,,,10.09,
2019-11-30,,,,,,,,,,,,,,,9.89,
2019-12-31,,,,,,,,,,,,,,,8.36,
2020-01-31,,,,,,,,,,,,,,,7.56,
2020-02-29,,,,,,,,,,,,,,,7.36,
2020-03-31,,,,,,,,,,,,,,,8.22,
2020-04-30,,,,,,,,,,,,,,,9.86,
2020-05-31,405000.0,829888.0,202.5,266.44444444444446,1.0,,1.0,3.0,3.0,18.0,1.0150375939849623,1.0,,,10.19,
2020-06-30,,,,,,,,,,,,,,,12.52,0.0
2020-07-31,515000.0,733944.0,,359.375,1.0,,1.0,2.0,2.0,328.0,1.0510204081632653,1.0,,,13.54,0.0
2020-08-31,670000.0,,,,1.0,1.0,,1.0,1.0,25.0,0.9571442244917492,0.0,1.0,1.0,15.89,0.0
2020-09-30,655000.0,,,,1.0,,,1.0,1.0,10.0,1.0076938579905508,1.0,,,16.51,0.0
2020-10-31,,,,,,,,,,,,,,,16.94,0.0
2020-11-30,,,,,,,,,,,,,,,17.19,0.0
2020-12-31,,,,,,,,,,,,,,,17.48,0.0
2021-01-31,,,,,,,,,,,,,,,17.25,0.0
2021-02-28,530000.0,,,,1.0,,,,,292.0,0.9217391304347826,0.0,,,14.39,0.0
2021-03-31,,,,,,,,,,,,,,,12.73,0.0
2021-04-30,,,,,,,,,,,,,,,12.24,0.0
2021-05-31,,,,,,,,,,,,,,,12.36,0.0
2021-06-30,,,,,,,,,,,,,,,12.25,0.0
2021-07-31,,,,,,,,,,,,,,,12.65,0.0
2021-08-31,769000.0,,307.6,,1.0,,,,,40.0,1.0131752305665347,1.0,,,14.84,0.5190123456790126
2021-09-30,590000.0,,,,1.0,,,,,15.0,1.0746812386156648,1.0,,,17.75,0.0
2021-10-31,,,,,,,,,,,,,,,20.12,0.0
2021-11-30,,,,,,,,,,,,,,,22.73,0.0
2021-12-31,,,,,,,,,,,,,,,21.89,0.0
2022-01-31,,,,,,,,,,,,,,,21.51,0.0
2022-02-28,650000.0,,,,1.0,,,,,43.0,1.0172143974960877,1.0,,,19.89,0.0
2022-03-31,,,,,,,,,,,,,,,19.57,0.0
2022-04-30,,,,,,,,,,,,,,,21.0,0.0
2022-05-31,,,,,,,,,,,,,,,23.71,0.0
2022-06-30,,,,,,,,,,,,,,,27.6,0.0
2022-07-31,,,,,,,,,,,,,,,27.0,0.0
2022-08-31,780000.0,,,,1.0,,,,,15.0,0.9898477157360404,0.0,,,23.13,0.0
2022-09-30,,,,,,,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,
2023-01-31,,,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,
2023-04-30,,,,,,,,,,,,,,,,
2023-05-31,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,
2023-07-31,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,16.622294774055483,0.25617992100892256
2023-11-30,,,,,,,,,,,,,,,11.539089179039003,0.015794665302023482
2023-12-31,,,,,,,,,,,,,,,29.445065593719487,0.13100084075221316
2024-01-31,,,,,,,,,,,,,,,15.597546553611757,-0.005238565506390585
2024-02-29,,,,,,,,,,,,,,,26.436303505897524,0.009749070659831723
2024-03-31,,,,,,,,,,,,,,,18.014947209358215,0.13253827554208267
2024-04-30,,,,,,,,,,,,,,,24.892722382545475,0.12874715525426988
2024-05-31,,,,,,,,,,,,,,,27.939533939361574,0.009492645914907814
2024-06-30,,,,,,,,,,,,,,,17.288670773506166,0.12965474231743523
2024-07-31,,,,,,,,,,,,,,,10.586534199714661,0.003167769025873256
2024-08-31,,,,,,,,,,,,,,,11.29898859024048,0.13269969722371047
2024-09-30,,,,,,,,,,,,,,,12.336876831054688,0.13555285174169665
2024-10-31,,,,,,,,,,,,,,,22.741399779319767,-0.008295092240527827
2024-11-30,,,,,,,,,,,,,,,12.484786291122438,-0.00716647843151917
2024-12-31,,,,,,,,,,,,,,,30.349813404083257,0.11625037001974795
2025-01-31,,,,,,,,,,,,,,,15.862883701324465,-0.009338950386017933
2025-02-28,,,,,,,,,,,,,,,15.937963690757753,-0.003187532973142319
