period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,589500.0,758000.0,383.800505050505,649.7395833333334,638.0,394.0,1053.0,3649.0,5.7,64.0,0.9650230376819908,0.1442006269592476,0.2077281446971773,0.2284263959390862,4.15,0.0
2019-02-28,578000.0,789000.0,371.62586315128686,638.9013801004294,493.0,439.0,981.0,3774.0,7.7,79.0,0.9637770014040062,0.1480730223123732,0.1650768415474297,0.2710706150341685,5.09,-0.0317212763897121
2019-03-31,579000.0,799000.0,373.36601307189545,636.8417745381425,566.0,544.0,1217.0,3996.0,7.1,75.0,0.9612523013321976,0.1431095406360423,0.2154654654654654,0.2463235294117647,3.9,0.0046825317965024
2019-04-30,585000.0,799900.0,400.0,659.7216435185185,606.0,622.0,1347.0,4269.0,7.0,72.0,0.9611754728477288,0.1534653465346534,0.2232372921058795,0.2266881028938906,4.49,0.0713347921225382
2019-05-31,600000.0,798000.0,390.104662226451,648.4962406015038,663.0,642.0,1287.0,4426.0,6.7,67.0,0.9623793936762276,0.1206636500754147,0.254405784003615,0.219626168224299,4.28,-0.0247383444338724
2019-06-30,619250.0,750000.0,387.8205128205128,576.1766194331984,709.0,591.0,1161.0,4500.0,6.3,65.0,0.9624151431450128,0.1057827926657263,0.2615555555555555,0.2030456852791878,3.99,-0.0058552220137586
2019-07-31,612900.0,749000.0,392.3076923076923,556.0975609756098,724.0,618.0,1165.0,4456.0,6.2,59.0,0.9626724071902608,0.1077348066298342,0.2394524236983842,0.1877022653721682,4.33,0.0115702479338843
2019-08-31,610000.0,720000.0,398.93617021276594,530.952380952381,815.0,579.0,1028.0,4340.0,5.3,58.0,0.965090017263421,0.1226993865030674,0.2294930875576037,0.2003454231433506,4.24,0.0168961201501876
2019-09-30,610000.0,835500.0,395.4081632653061,772.9735434843793,690.0,494.0,1096.0,4391.0,6.4,67.0,0.9652208525246576,0.1289855072463768,0.2621270781143247,0.194331983805668,4.69,-0.008843537414966
2019-10-31,615000.0,798694.0,401.9230769230769,642.7015250544663,776.0,562.0,1048.0,4255.0,5.5,69.0,0.9619730678115412,0.1301546391752577,0.2606345475910693,0.2170818505338078,4.59,0.0164764267990074
2019-11-30,620000.0,750000.0,394.00933310217295,555.2863247863247,673.0,479.0,829.0,4064.0,6.0,75.0,0.961116332170085,0.1188707280832095,0.2123523622047244,0.1753653444676409,4.21,-0.0196896975448328
2019-12-31,599999.5,728250.0,386.5546218487394,530.1724137931035,770.0,411.0,571.0,3714.0,4.8,76.0,0.96534082878437,0.1285714285714285,0.1448572967151319,0.1338199513381995,4.25,-0.0189201387559528
2020-01-31,599950.0,769498.0,383.0769230769231,613.2329113381745,714.0,394.0,974.0,3716.0,5.2,80.0,0.9632211286537324,0.1246498599439775,0.2230893433799784,0.2284263959390862,4.31,-0.0089966555183942
2020-02-29,598450.0,750000.0,400.6410256410256,575.9615384615385,558.0,405.0,1039.0,3837.0,6.9,79.0,0.964091868658175,0.1362007168458781,0.1939014855355746,0.2765432098765431,4.37,0.0458500669344039
2020-03-31,623500.0,750000.0,398.8919667590028,558.0357142857143,552.0,383.0,799.0,3797.0,6.9,91.0,0.9645286435121811,0.1050724637681159,0.1725046089017645,0.216710182767624,5.41,-0.0043656509695289
2020-04-30,619500.0,735000.0,413.6014496673338,515.4639175257732,320.0,185.0,215.0,3476.0,10.9,89.0,0.9689417798729592,0.1625,0.0546605293440736,0.0756756756756756,10.72,0.0368758564576907
2020-05-31,600000.0,749000.0,387.03208556149735,514.3360160965793,354.0,175.0,592.0,3543.0,10.0,78.0,0.971340463519802,0.155367231638418,0.0987863392605136,0.2514285714285714,11.27,-0.0642390497596335
2020-06-30,618000.0,775000.0,397.80287114845936,572.3443223443224,489.0,320.0,1248.0,3919.0,8.0,78.0,0.9610613543886108,0.1083844580777096,0.1454452666496555,0.3312499999999999,12.04,0.0278291800312524
2020-07-31,610000.0,760000.0,380.59095452273857,581.016533986528,456.0,721.0,1607.0,4177.0,9.2,86.0,0.9586182485002412,0.1118421052631579,0.2700502753172133,0.3550624133148405,13.3,-0.0432674519820077
2020-08-31,600000.0,760000.0,380.8775199206845,565.0168918918919,467.0,857.0,1390.0,4181.0,9.0,90.0,0.9666656427123858,0.1241970021413276,0.2547237502989715,0.2602100350058342,15.15,0.0007529485252881
2020-09-30,620000.0,799000.0,391.6666666666666,636.1003861003861,664.0,850.0,1311.0,4146.0,6.2,70.0,0.9636827283346416,0.1325301204819277,0.2616980221900627,0.208235294117647,14.69,0.0283270767679564
2020-10-31,630000.0,778000.0,403.19472616632856,606.6666666666665,894.0,790.0,1184.0,4012.0,4.5,53.0,0.9668529865242012,0.1308724832214765,0.2699401794616151,0.2189873417721519,15.34,0.0294333434033924
2020-11-30,640000.0,750000.0,416.2946428571429,563.7579599663409,801.0,612.0,845.0,3787.0,4.7,55.0,0.9687257913064752,0.1385767790262172,0.2133614998679693,0.184640522875817,14.82,0.0324902977163701
2020-12-31,640000.0,739499.5,409.8890240194588,543.9838435374148,1044.0,539.0,608.0,3331.0,3.2,58.0,0.9674611620270211,0.1245210727969348,0.1708195737015911,0.1855287569573283,14.57,-0.0153872238031231
2021-01-31,640000.0,750000.0,418.66987179487177,596.1343283582089,851.0,557.0,901.0,2988.0,3.5,56.0,0.9641352680235228,0.1304347826086956,0.1997991967871485,0.2459605026929982,15.28,0.0214225003863388
2021-02-28,636735.0,769000.0,419.28205128205127,587.6869693426204,753.0,489.0,753.0,2751.0,3.7,57.0,0.9662379178648604,0.1367861885790172,0.1712104689203925,0.2822085889570552,14.96,0.0014622009569378
2021-03-31,643500.0,775000.0,419.22007120605247,593.75,932.0,765.0,1217.0,2739.0,2.9,69.0,0.9639853276684912,0.1244635193133047,0.2292807594012413,0.3751633986928104,14.67,-0.0001478243006332
2021-04-30,680000.0,800000.0,431.0672514619882,624.8118708865661,831.0,843.0,1322.0,2852.0,3.4,71.0,0.9661863826118317,0.138387484957882,0.2208976157082749,0.3606168446026097,14.15,0.0282600501971497
2021-05-31,680000.0,825000.0,428.2615788083308,643.8492063492064,812.0,923.0,1234.0,2874.0,3.5,60.0,0.9692285272088028,0.167487684729064,0.2341684064022268,0.3651137594799566,13.68,-0.006508665745639
2021-06-30,676500.0,790705.5,452.6315789473685,580.2098340119011,935.0,932.0,1294.0,2897.0,3.1,41.0,0.97640032474993,0.202139037433155,0.2381774249223334,0.3175965665236051,13.66,0.0569044746130367
2021-07-31,681000.0,780000.0,446.1698457792208,597.4025974025974,973.0,837.0,1122.0,2870.0,2.9,35.0,0.9840265708948868,0.2672147995889003,0.2327526132404181,0.3070489844683392,13.6,-0.0142759221156751
2021-08-31,693000.0,750000.0,448.2372642340913,560.374149659864,1117.0,769.0,1097.0,2863.0,2.6,36.0,0.981672047269911,0.2658907788719785,0.2364652462451973,0.3146944083224967,14.23,0.004633702780294
2021-09-30,710000.0,849000.0,480.2884615384616,767.6175354251011,927.0,756.0,1268.0,3063.0,3.3,34.0,0.9810985289851846,0.2491909385113268,0.2442050277505713,0.2685185185185185,14.51,0.0715049815394901
2021-10-31,712673.0,848000.0,475.0128637992832,673.4143049932524,1071.0,730.0,1047.0,3021.0,2.8,39.0,0.9835310721586202,0.2296918767507002,0.2413108242303873,0.3027397260273972,15.13,-0.0109842275250161
2021-11-30,699900.0,799000.0,473.33333333333326,611.5978551044832,965.0,710.0,848.0,2816.0,2.9,37.0,0.9783403920531136,0.233160621761658,0.2006392045454545,0.280281690140845,15.73,-0.0035357578582537
2021-12-31,690000.0,799000.0,469.6969696969697,645.3360215053764,991.0,569.0,596.0,2502.0,2.5,42.0,0.9821617262147294,0.2411705348133198,0.1542765787370103,0.2407732864674868,15.24,-0.0076824583866835
2022-01-31,722500.0,800000.0,475.6871035940803,675.1587829105276,923.0,512.0,975.0,2641.0,2.9,43.0,0.9790606393780588,0.2307692307692307,0.1601666035592578,0.330078125,15.59,0.0127531882970741
2022-02-28,710000.0,819500.0,466.4099446020808,668.6847016632207,813.0,587.0,988.0,2743.0,3.4,45.0,0.9796779775845436,0.2521525215252152,0.1618665694495078,0.4207836456558773,16.14,-0.01950264979207
2022-03-31,730000.0,848000.0,487.3853211009175,676.8707482993198,920.0,817.0,1385.0,2985.0,3.2,47.0,0.9792962020460207,0.2445652173913043,0.1845896147403685,0.4369645042839657,16.2,0.0449719752796693
2022-04-30,725000.0,875000.0,493.19727891156464,687.5,814.0,792.0,1283.0,3230.0,4.0,47.0,0.9861291494769208,0.2702702702702702,0.1956656346749225,0.3585858585858585,18.93,0.0119247699079629
2022-05-31,742000.0,865000.0,503.47222222222223,687.6806358381502,879.0,828.0,1315.0,3508.0,4.0,35.0,0.988000628785116,0.291240045506257,0.218072976054732,0.3635265700483091,18.73,0.0208333333333332
2022-06-30,750000.0,835000.0,522.8924418604652,645.5638246238473,1017.0,718.0,1324.0,3870.0,3.8,29.0,0.9904850650058132,0.3500491642084562,0.2661498708010335,0.2896935933147632,16.93,0.0385725741780274
2022-07-31,760000.0,809509.0,509.6774193548387,586.6339869281046,965.0,638.0,1077.0,4055.0,4.2,28.0,0.9903015694124104,0.3378238341968912,0.2318125770653514,0.2445141065830721,17.63,-0.0252729269878276
2022-08-31,750000.0,769000.0,516.0920390648121,550.7462686567164,948.0,643.0,1020.0,4110.0,4.3,31.0,0.987206416245898,0.311181434599156,0.2267639902676399,0.2332814930015552,15.77,0.0125856462664033
2022-09-30,750000.0,890000.0,487.0896464646464,728.9707977207978,813.0,514.0,1065.0,4023.0,4.9,38.0,0.9785103505418536,0.2484624846248462,0.2513049962714392,0.2490272373540856,17.64,-0.0561961634841715
2022-10-31,738000.0,850000.0,488.42139595564254,657.3464912280701,758.0,451.0,939.0,4097.0,5.4,44.0,0.971801731506124,0.2071240105540897,0.2653160849402001,0.2261640798226164,18.54,0.0027340952546663
2022-11-30,750000.0,825000.0,479.6245421245421,600.0,658.0,381.0,825.0,4143.0,6.3,46.0,0.9695684053455548,0.1671732522796352,0.2404055032585083,0.1522309711286089,18.97,-0.0180107872094518
2022-12-31,725000.0,750000.0,471.79487179487177,570.4594474577347,649.0,386.0,489.0,3767.0,5.8,55.0,0.9663735845289688,0.1432973805855161,0.1303424475710114,0.116580310880829,16.75,-0.0163245823389021
2023-01-31,750000.0,799000.0,479.1769383249588,635.3503184713376,570.0,329.0,896.0,3777.0,6.6,58.0,0.9674166283201308,0.1578947368421052,0.2303415409054805,0.1489361702127659,17.74,0.0156467714496411
2023-02-28,725000.0,844000.0,474.53703703703695,678.2028875379939,474.0,395.0,998.0,3910.0,8.199999999999998,70.0,0.9655978219864464,0.1434599156118143,0.1805626598465473,0.240506329113924,18.98,-0.0096830646819969
2023-03-31,689000.0,850000.0,485.8686461388074,676.470588235294,616.0,559.0,1413.0,4216.0,6.8,78.0,0.9629807433950918,0.1607142857142857,0.2255692599620493,0.2504472271914132,18.89,0.0238792933266576
2023-04-30,700000.0,899000.0,484.18972332015807,710.7508834315995,600.0,543.0,1421.0,4678.0,7.8,82.0,0.9689896435844942,0.1683333333333333,0.2265925609234715,0.2062615101289134,19.33,-0.0034555076397534
2023-05-31,700000.0,885000.0,468.88888888888886,746.8560581372611,688.0,615.0,1776.0,5404.0,7.9,72.0,0.9696101013707428,0.1729651162790697,0.2635085122131754,0.2032520325203252,19.16,-0.0316009070294784
2023-06-30,715000.0,848444.0,472.77777777777777,665.8863399374347,799.0,664.0,1616.0,5911.0,7.4,54.0,0.9724302250741612,0.1689612015018773,0.2480121806800879,0.1746987951807229,18.36,0.0082938388625593
2023-07-31,718888.0,803500.0,496.0,618.5316747884073,694.0,563.0,1541.0,6521.0,9.4,48.0,0.9741404043177424,0.1959654178674351,0.2013494862751111,0.1811722912966252,16.97,0.0491186839012927
2023-08-31,745000.0,800000.0,491.11928533893854,585.5034722222222,850.0,570.0,1641.0,7192.0,8.5,48.0,0.9712145215225136,0.1941176470588235,0.1618464961067853,0.2,16.4,-0.0098401505263335
2023-09-30,745000.0,975000.0,542.0918367346939,864.4536652835407,862.0,502.0,2457.0,8652.0,10.0,53.0,0.983015936263448,0.1937354988399072,0.2434119278779473,0.1832669322709163,17.3,0.1037885355297691
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
