period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,422000.0,,383.6363636363636,,1.0,,,,,86.0,0.9612756264236902,0.0,,,0.0,0.0
2019-02-28,,,,,,,,,,,,,,,0.0,0.0
2019-03-31,,,,,,,,,,,,,,,0.32,0.0
2019-04-30,,,,,,,,,,,,,,,0.32,0.0
2019-05-31,,,,,,,,,,,,,,,0.32,0.0
2019-06-30,,,,,,,,,,,,,,,0.0,0.0
2019-07-31,,,,,,,,,,,,,,,0.0,0.0
2019-08-31,865000.0,,288.33333333333326,,1.0,1.0,,4.0,4.0,43.0,0.9612179131014555,0.0,,0.0,0.0,-0.2484202211690365
2019-09-30,,,,,,,,,,,,,,,0.36,0.0
2019-10-31,178000.0,92325.0,149.57750582750583,81.03603603603604,2.0,1.0,2.0,3.0,1.5,67.0,0.9876792927640384,0.5,0.6666666666666666,0.0,0.36,-0.4812340838352398
2019-11-30,,,,,,,,,,,,,,,0.96,0.0
2019-12-31,,,,,,,,,,,,,,,0.59,0.0
2020-01-31,,,,,,,,,,,,,,,0.92,0.0
2020-02-29,416000.0,99900.0,378.1818181818182,73.78472222222224,1.0,2.0,3.0,7.0,7.0,6.0,1.0024096385542167,1.0,0.1428571428571428,1.0,0.32,1.5283334956657253
2020-03-31,547500.0,119900.0,365.0,85.36324786324785,1.0,1.0,2.0,6.0,6.0,12.0,0.9956355701036552,0.0,,1.0,0.66,-0.0348557692307692
2020-04-30,,,,,,,,,,,,,,,1.61,0.0
2020-05-31,,,,,,,,,,,,,,,2.46,0.0
2020-06-30,488000.0,179400.0,279.83333333333337,115.37396121883656,2.0,3.0,9.0,7.0,3.5,78.0,0.9676677726554898,0.0,0.1428571428571428,0.6666666666666666,2.55,-0.2333333333333332
2020-07-31,490000.0,122400.0,360.0,95.32180371519624,3.0,5.0,2.0,4.0,1.3,25.0,0.9909655418551144,0.0,,0.2,1.86,0.286480047647409
2020-08-31,485000.0,124900.0,440.9090909090909,90.90909090909088,3.0,7.0,4.0,1.0,0.2999999999999999,7.0,1.0025449224405267,0.3333333333333333,,0.4285714285714285,1.94,0.2247474747474747
2020-09-30,384500.0,149900.0,270.0,104.12946428571428,2.0,1.0,1.0,1.0,0.5,9.0,0.9738704332930836,0.0,1.0,1.0,2.1,-0.3876288659793814
2020-10-31,,,,,,,,,,,,,,,2.36,0.0
2020-11-30,,,,,,,,,,,,,,,1.87,0.0
2020-12-31,372500.0,,310.4166666666667,,1.0,2.0,,,,17.0,0.993335982229286,0.0,,0.0,1.92,0.1496913580246914
2021-01-31,,,,,,,,,,,,,,,1.45,0.0
2021-02-28,,,,,,,,,,,,,,,1.52,0.0
2021-03-31,453000.0,239000.0,408.25,121.55776075473544,4.0,6.0,4.0,1.0,0.2999999999999999,5.0,1.053296727590196,0.5,1.0,0.8333333333333333,1.18,0.3151677852348993
2021-04-30,715657.0,139900.0,477.1046666666666,95.4109768907563,1.0,4.0,4.0,1.0,1.0,2.0,1.11838881075168,1.0,,0.75,1.24,0.1686580934884669
2021-05-31,485499.5,135000.0,485.4995,88.5470843183609,2.0,4.0,3.0,,,12.0,1.0764903670906725,1.0,,0.75,1.06,0.017595370407891
2021-06-30,440000.0,141450.0,366.6666666666666,105.00933963092444,1.0,1.0,3.0,2.0,2.0,14.0,0.978865406006674,0.0,,1.0,1.44,-0.2447640694446305
2021-07-31,800000.0,132450.0,439.1666666666666,93.51613298981722,3.0,3.0,3.0,2.0,0.6999999999999998,7.0,0.971472323782461,0.3333333333333333,0.5,1.0,1.44,0.1977272727272727
2021-08-31,515000.0,110000.0,349.1666666666667,79.5116772823779,3.0,3.0,2.0,1.0,0.2999999999999999,32.0,0.9918055665758944,0.3333333333333333,1.0,0.3333333333333333,1.82,-0.2049335863377607
2021-09-30,830000.0,129900.0,553.3333333333334,89.6531100478469,1.0,1.0,3.0,3.0,3.0,13.0,1.0001204964453547,1.0,,1.0,1.52,0.5847255369928401
2021-10-31,655000.0,120000.0,,91.40625,1.0,2.0,2.0,3.0,3.0,27.0,0.9925746325200788,0.0,0.3333333333333333,0.0,1.74,0.0
2021-11-30,495000.0,,412.5,,3.0,2.0,,,,20.0,0.9818897446780962,0.0,,0.0,1.42,-0.2545180722891567
2021-12-31,,,,,,,,,,,,,,,1.05,0.0
2022-01-31,722579.5,136950.0,502.5795,89.6687746897677,2.0,2.0,2.0,,,11.0,1.196058109354925,0.5,,1.0,0.87,0.2183745454545453
2022-02-28,,,,,,,,,,,,,,,0.53,0.0
2022-03-31,800000.0,224900.0,,128.60708273208274,1.0,2.0,3.0,1.0,1.0,3.0,1.0001250156269534,1.0,,1.0,0.78,0.0
2022-04-30,702500.0,139500.0,666.1363636363636,95.76225168032364,2.0,2.0,1.0,,,17.0,1.1766312399499474,1.0,,0.5,1.18,0.3254348090926184
2022-05-31,,,,,,,,,,,,,,,2.0,0.0
2022-06-30,,,,,,,,,,,,,,,2.86,0.0
2022-07-31,595000.0,139000.0,371.875,114.1367411386959,1.0,1.0,2.0,4.0,4.0,13.0,1.0,0.0,0.25,0.0,2.9,-0.4417434322756738
2022-08-31,622500.0,124900.0,426.25,86.92261547690462,2.0,3.0,2.0,3.0,1.5,40.0,0.9517308970823978,0.0,,0.6666666666666666,3.24,0.1462184873949579
2022-09-30,,,,,,,,,,,,,,,3.25,0.0
2022-10-31,775000.0,132450.0,310.0,101.1904761904762,1.0,,1.0,4.0,4.0,1.0,0.9699624530663328,0.0,0.25,,3.02,-0.2727272727272727
2022-11-30,,,,,,,,,,,,,,,3.61,0.0
2022-12-31,,,,,,,,,,,,,,,3.22,0.0
2023-01-31,,,,,,,,,,,,,,,3.31,0.0
2023-02-28,,,,,,,,,,,,,,,2.03,0.0
2023-03-31,445000.0,,445.0,,1.0,1.0,,3.0,3.0,19.0,0.9910913140311804,0.0,,0.0,3.07,0.435483870967742
2023-04-30,446450.0,144500.0,446.45,110.05873715124817,2.0,2.0,3.0,4.0,2.0,4.0,0.9923316292509446,0.0,,1.0,2.94,0.003258426966292
2023-05-31,870000.0,147000.0,580.0,110.07492480175006,1.0,1.0,1.0,4.0,4.0,9.0,1.0236498411577832,1.0,,1.0,3.87,0.2991376413932132
2023-06-30,680000.0,,,,1.0,1.0,,2.0,2.0,49.0,0.9078771695594124,0.0,0.5,0.0,2.89,0.0
2023-07-31,,,,,,,,,,,,,,,2.56,0.0
2023-08-31,575000.0,181448.5,,120.57291666666669,1.0,2.0,1.0,1.0,1.0,15.0,1.150230046009202,1.0,,1.0,1.98,0.0
2023-09-30,710000.0,159900.0,645.4545454545455,128.34975484838077,1.0,1.0,3.0,3.0,3.0,10.0,0.9466666666666664,0.0,,1.0,1.77,0.1128526645768026
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
