period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,249217.3,252365.0,131.56779285894362,134.45770083072793,38.0,28.1,42.6,80.3,5.44,84.6,0.9711952103304208,0.2813147241386778,0.1773276300619967,0.3071757417700622,1.84,0.0
2019-02-28,233125.0,267130.0,137.46346391597075,135.76370867081192,31.2,40.125,44.6,82.9,4.66,55.3,0.985421018952074,0.2957638229576382,0.172915637814295,0.4997936468724512,2.23,0.0448108988447346
2019-03-31,241069.25,254574.3,143.52612748042796,128.01108912382205,38.2,50.4,67.6,89.2,6.25,71.9,0.981950271457195,0.2629533730158729,0.2166642606354635,0.3467883106681604,2.14,0.0441038177836345
2019-04-30,274863.63636363635,259301.85,142.90038769627824,136.53578195447096,44.27272727272727,66.44444444444444,70.4,83.0,4.281818181818182,65.81818181818181,0.9720483001532072,0.2877654179559193,0.2402588221369728,0.4325232240670707,1.95,-0.0043597621919747
2019-05-31,233456.04545454544,284915.0,124.05686497169825,142.2257489046744,53.36363636363637,55.3,72.7,92.36363636363636,3.0181818181818185,49.81818181818182,0.9816810699756114,0.2344110290569319,0.2837403727583544,0.3325117120892039,2.47,-0.1318647417852371
2019-06-30,270902.5,268520.0,147.19923123617235,144.13025053432398,63.0,53.9,66.7,105.0,3.98,47.0,0.9857255497368652,0.2780826954185891,0.2546977694585838,0.3590439242405534,1.92,0.1865464379561234
2019-07-31,252686.36363636365,272230.0,137.98366395412174,139.0415062725465,51.0,56.9,66.5,94.8181818181818,3.718181818181818,61.72727272727273,1.0031641163073564,0.344997489718585,0.2739924855284807,0.2545703650906786,2.13,-0.0626060829574903
2019-08-31,253792.5,244823.95,147.1821989944127,130.3107508312176,67.9,55.0,71.7,110.7,2.58,50.4,0.9836038807568952,0.2994750621894449,0.3300793294717996,0.2717540005214424,2.34,0.0666639425037254
2019-09-30,244417.66666666663,258447.22222222225,122.8403415867976,147.6172339747959,43.333333333333336,43.4,63.55555555555556,105.63636363636364,3.409090909090909,64.0,0.9546611458231647,0.2203995487083722,0.3208980378913181,0.312190103803007,1.7,-0.1653858793653377
2019-10-31,247475.0,263215.0,146.15703208618166,142.8456263393387,53.3,48.4,54.7,111.1,4.48,62.5,0.9777522834232538,0.227365120770357,0.3003029319485015,0.2818261826482311,2.47,0.1898129734758897
2019-11-30,241208.9,274819.5,127.36627923734817,132.2938402921753,49.7,37.2,38.4,99.3,3.08,56.0,0.975717434235416,0.3011563138576561,0.1919319527848641,0.2010046113306983,2.1,-0.1285655064325164
2019-12-31,248815.35,249895.0,134.1163196947931,148.2646458868947,45.5,36.44444444444444,27.0,78.5,2.94,79.0,0.9783072199095054,0.2484072994123112,0.1703348681730627,0.1271419980408932,2.66,0.0529970766035032
2020-01-31,229503.45454545456,261620.0,135.466148515136,132.84440201389293,34.81818181818182,35.888888888888886,40.7,68.36363636363636,3.790909090909091,128.63636363636363,0.9844313417407808,0.3254537129537129,0.2494088069715517,0.309003376528129,1.99,0.0100646127437338
2020-02-29,228572.22222222225,278166.6666666667,133.69609889632304,141.83101306899718,38.11111111111112,46.5,57.77777777777778,86.22222222222223,3.688888888888889,86.22222222222223,0.9674709423749044,0.2295247878706149,0.2345594135089933,0.5192234848484848,2.38,-0.0130663611405118
2020-03-31,254000.0,244115.0,134.82837529620485,146.22208681791778,40.7,54.333333333333336,59.7,79.6,4.79,87.7,0.9710362120021984,0.2874907298985167,0.2188540092003089,0.3987071345480666,2.83,0.0084690309532506
2020-04-30,272351.5,264095.0,133.60169631787798,137.3030174901432,39.1,40.11111111111112,44.6,82.1,4.87,100.5,0.9686254743944837,0.3062020202020202,0.1490442865041883,0.2681038723733221,6.23,-0.0090980772825599
2020-05-31,291584.1,286779.25,138.05468475230893,163.09300280404284,43.8,46.6,56.3,83.0,4.96,49.9,0.9935760854971774,0.3937590689478588,0.2444962014326566,0.3508475975975976,5.51,0.0333303285598707
2020-06-30,232113.63636363635,297090.0,134.48979750263354,164.48599142966833,49.54545454545455,64.0,70.2,72.81818181818181,3.1818181818181817,73.72727272727273,0.9745118829672316,0.4160130277786924,0.3707293148978332,0.357732292807594,3.89,-0.025822283800592
2020-07-31,253566.86363636365,287505.0,135.45512968482234,152.79605845335382,57.90909090909091,62.2,70.1,79.2,2.64,55.36363636363637,0.9878116175963,0.3990908378088589,0.200758402510559,0.396501824714812,5.12,0.0071777354127542
2020-08-31,280933.2727272727,291604.45454545453,149.65322441886315,154.60434679411418,56.72727272727273,58.7,65.45454545454545,76.0,2.190909090909091,138.0909090909091,0.990611905811379,0.3610276818237176,0.2849722800494866,0.3421125254577822,6.45,0.1048176969530574
2020-09-30,280074.95,276665.0,158.9388163992509,161.38055319343985,63.6,60.8,65.6,80.6,2.25,39.5,1.006928226580352,0.4320203272966154,0.2590517991708467,0.3436768552184943,5.67,0.0620473900007552
2020-10-31,248620.8333333333,287460.0,148.57492434549462,162.74022479348372,53.5,47.75,63.7,72.63636363636364,1.827272727272728,39.0,0.959206037868789,0.2830292890349862,0.2282896390550728,0.2529982006873906,7.32,-0.0652068027719697
2020-11-30,289350.0,275050.0,172.58177209747527,159.3161101467728,55.2,43.9,39.6,68.6,2.6900000000000004,40.7,0.9995667367902769,0.4186324581178942,0.2160185889177906,0.3084550178162513,6.62,0.1615807503031625
