period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,60000.0,99900.0,32.436708860759495,68.310546875,17.0,14.0,21.0,102.0,6.0,40.0,0.9181093935664772,0.0588235294117647,0.196078431372549,0.2857142857142857,0.0,0.0
2019-02-28,90000.0,122400.0,40.13761467889909,79.07801018704073,15.0,13.0,15.0,93.0,6.2,56.0,0.9501540475930194,0.2666666666666666,0.096774193548387,0.3076923076923077,0.19,0.2374132915641085
2019-03-31,70000.0,126875.0,40.65040650406504,82.88690476190477,25.0,19.0,29.0,88.0,3.5,44.0,0.9314910701874404,0.28,0.0568181818181818,0.3684210526315789,0.63,0.0127758420441344
2019-04-30,92500.0,135000.0,41.81914947539156,85.19781718963165,10.0,26.0,23.0,76.0,7.599999999999999,56.0,0.897092738140555,0.2999999999999999,0.0789473684210526,0.5384615384615384,1.01,0.0287510770946324
2019-05-31,69250.0,142500.0,31.91098292048411,88.499238385377,18.0,18.0,39.0,86.0,4.8,57.0,0.980867882353784,0.3888888888888889,0.1046511627906976,0.4444444444444444,1.24,-0.2369289351697098
2019-06-30,65000.0,139450.0,34.55528846153846,79.58141321044548,31.0,16.0,25.0,86.0,2.8,43.0,0.9464522317843496,0.2580645161290322,0.0930232558139534,0.625,1.11,0.0828650608363721
2019-07-31,90500.0,139900.0,43.71980676328502,91.70731707317071,19.0,26.0,29.0,78.0,4.1,66.0,0.9484849847100948,0.2105263157894736,0.2051282051282051,0.3846153846153846,0.73,0.2652131905061961
2019-08-31,86000.0,139900.0,44.4609375,82.19741480611046,24.0,15.0,23.0,76.0,3.2,41.0,0.96987786407525,0.3333333333333333,0.131578947368421,0.4,0.64,0.0169518301104973
2019-09-30,105000.0,124850.0,46.46017699115044,77.94565946217777,19.0,19.0,30.0,74.0,3.9,26.0,0.9776158767160252,0.263157894736842,0.1216216216216216,0.5789473684210527,0.69,0.0449662018744081
2019-10-31,76000.0,129000.0,42.59525521207764,83.67062107466853,17.0,23.0,22.0,69.0,4.1,55.0,0.9680989012712256,0.4117647058823529,0.2028985507246376,0.4782608695652174,1.25,-0.083187840197186
2019-11-30,120000.0,135000.0,56.56108597285068,81.29300626610447,25.0,20.0,24.0,57.0,2.3,19.0,0.9404893681967544,0.28,0.0701754385964912,0.55,1.11,0.327872921320427
2019-12-31,116500.0,124900.0,53.58538964048376,70.35714285714286,24.0,16.0,21.0,53.0,2.2,22.0,0.9808568122456008,0.3333333333333333,0.150943396226415,0.5625,1.34,-0.052610311156247
2020-01-31,103500.0,92500.0,51.48505879194816,58.56225296442688,14.0,14.0,33.0,65.0,4.6,18.0,0.9915067323650862,0.4285714285714285,0.1384615384615384,0.5,1.58,-0.0391959611122954
2020-02-29,110750.0,119900.0,49.650816008278646,80.84532374100718,20.0,20.0,26.0,63.0,3.2,9.0,0.9697625565623498,0.2999999999999999,0.0952380952380952,0.4,2.08,-0.0356267007692798
2020-03-31,60000.0,139900.0,33.333333333333336,84.9,13.0,16.0,17.0,57.0,4.4,72.0,0.8703816488743413,0.0,0.0526315789473684,0.4375,1.95,-0.3286448035864018
2020-04-30,87500.0,146700.0,48.41997961264016,97.54359826561992,11.0,5.0,8.0,59.0,5.4,86.0,0.9804108369933902,0.1818181818181818,0.0169491525423728,0.4,1.78,0.4525993883792047
2020-05-31,107250.0,159900.0,46.42944936086529,116.01281024819856,16.0,6.0,2.0,47.0,2.9,45.0,1.0144933538847134,0.4375,0.0425531914893617,0.3333333333333333,1.39,-0.0411096879366557
2020-06-30,93750.0,155000.0,53.524374176548086,103.22233376899716,16.0,11.0,22.0,46.0,2.9,22.0,0.9031612809418816,0.1875,0.108695652173913,0.8181818181818182,0.93,0.1528108757124955
2020-07-31,94500.0,158350.0,45.46287046287046,99.8628437911726,12.0,14.0,28.0,51.0,4.3,17.0,0.941586225650532,0.3333333333333333,0.0392156862745098,0.8571428571428571,0.9,-0.1506136939983093
2020-08-31,110000.0,149900.0,45.7240524877342,91.93117059891108,12.0,24.0,40.0,65.0,5.4,32.0,0.9689216271148,0.6666666666666666,0.1076923076923077,0.7916666666666666,1.12,0.0057449523579256
2020-09-30,104000.0,159900.0,61.60830090791181,94.61750284950672,9.0,31.0,39.0,66.0,7.3,8.0,1.008816888000044,0.3333333333333333,0.2272727272727272,0.5483870967741935,1.71,0.3473937141603682
2020-10-31,135000.0,146950.0,64.1903067361668,93.63146229582112,22.0,28.0,37.0,66.0,3.0,11.0,1.004405192545733,0.4545454545454545,0.0303030303030303,0.4642857142857143,1.44,0.0419100314438862
2020-11-30,134500.0,150000.0,67.3076923076923,96.48275862068964,25.0,22.0,25.0,63.0,2.5,12.0,0.9798297454156608,0.4799999999999999,0.1904761904761904,0.5,1.38,0.0485647402237614
2020-12-31,145000.0,139000.0,54.71380471380471,83.08531746031746,23.0,18.0,25.0,60.0,2.6,23.0,0.9415738871397588,0.217391304347826,0.1666666666666666,0.3333333333333333,1.42,-0.1871091871091871
2021-01-31,140000.0,149900.0,60.129509713228494,84.21478174603175,27.0,11.0,20.0,58.0,2.1,23.0,0.9962981670593296,0.4814814814814814,0.3103448275862069,0.5454545454545454,1.63,0.0989824236817762
2021-02-28,153400.0,149900.0,62.54738438210766,81.31510416666667,21.0,18.0,31.0,66.0,3.1,34.0,1.009688965663062,0.4285714285714285,0.1666666666666666,0.5555555555555555,1.89,0.0402111156470519
2021-03-31,126000.0,174950.0,59.6,104.38885317382676,31.0,27.0,30.0,61.0,2.0,48.0,0.9908495400281389,0.3548387096774193,0.2131147540983606,0.4814814814814814,2.58,-0.0471224242424241
2021-04-30,132500.0,159900.0,61.314829916669005,102.39059430838932,18.0,22.0,27.0,52.0,2.9,80.0,0.9921370615161368,0.2777777777777777,0.1538461538461538,0.5454545454545454,2.76,0.0287723140380704
2021-05-31,126000.0,169450.0,54.99117954304343,105.67307692307692,28.0,28.0,38.0,56.0,2.0,44.0,0.995769567574414,0.5,0.1785714285714285,0.7142857142857143,2.32,-0.1031341093536399
2021-06-30,160000.0,169900.0,69.44444444444444,101.96752359662196,25.0,26.0,40.0,64.0,2.6,19.0,0.992615568711605,0.32,0.203125,0.5769230769230768,2.25,0.2628287849342814
