period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,213374.54545454544,243140.625,113.74660604674057,136.88124575439014,27.181818181818183,25.88888888888889,39.625,82.81818181818181,3.972727272727273,73.72727272727273,0.9658122698924884,0.1915180753386398,0.2558354222586718,0.2583616921697881,3.5,0.0
2019-02-28,248309.4,243509.88888888888,131.1961845801699,137.9385856515582,26.0,22.11111111111111,39.0,95.2,3.55,93.8,0.9558208826081156,0.1815462315462315,0.1908226116516188,0.3596307906652734,3.82,0.1534074654171129
2019-03-31,212845.0,265883.3333333333,125.21436571721374,141.54471339725438,34.7,38.875,54.66666666666666,98.7,3.5,94.0,0.9815911692558048,0.1801612589480236,0.2990515125656314,0.3101696832579185,3.5,-0.0455944575072673
2019-04-30,269171.3181818182,249178.5,134.54077212573645,132.46167354805348,38.54545454545455,37.2,57.7,98.0,3.036363636363636,69.63636363636364,0.9799089255861468,0.1669163983958199,0.1805245291307637,0.3189063747043373,2.88,0.0744835175668712
2019-05-31,228540.45454545456,241788.4090909091,125.71279664347186,130.0160626897633,44.27272727272727,43.9,53.54545454545455,101.54545454545456,3.690909090909091,71.63636363636364,0.9894819393944404,0.3558498779019889,0.2360772101859742,0.278799747259857,3.3,-0.0656156148265175
2019-06-30,213340.8333333333,238830.9090909091,126.0006238526808,122.2163706426866,37.0,42.4,54.09090909090909,98.66666666666669,3.45,74.75,0.9808606435143348,0.293565666359784,0.2540427467944157,0.3121974584451594,3.02,0.0022895617382949
2019-07-31,248257.5,262496.6666666667,123.90284611238816,139.6591493471297,43.16666666666666,42.45454545454545,65.44444444444444,100.66666666666669,2.6666666666666665,105.16666666666669,0.9846984578082324,0.2847088702413955,0.2605712121018548,0.1922833137786408,2.08,-0.0166489472523989
2019-08-31,258179.42307692303,201207.91666666663,123.41455559458046,116.18725320206156,34.69230769230769,31.0,42.75,91.3076923076923,2.3692307692307693,59.15384615384615,0.9769783890322176,0.1795818671489512,0.3192356099025588,0.1819698018516916,2.24,-0.0039409144594207
2019-09-30,258825.0,248418.9,141.18408498446195,140.61961903901175,43.0,37.55555555555556,45.7,116.9,2.7,61.8,0.97957998805404,0.2914943248338794,0.2558546562298955,0.2497405618178565,2.29,0.1439824444067585
2019-10-31,228893.6,257371.11111111112,129.57351436384062,139.91894428937255,43.4,33.8,52.888888888888886,114.6,2.62,49.7,0.9733748277731272,0.238876118551414,0.3406724839774036,0.2761158886158886,2.0,-0.082237106412519
2019-11-30,198487.38461538465,232151.0909090909,112.2596619841369,133.3502837478456,28.923076923076923,32.0,34.36363636363637,85.84615384615384,3.269230769230769,349.84615384615387,0.990580164908864,0.1997701443855289,0.2232168347273209,0.2457790396721694,2.84,-0.1336218475257733
2019-12-31,211347.7272727273,240805.8571428572,122.43106091106948,129.3799270494272,35.18181818181818,32.111111111111114,41.285714285714285,108.44444444444444,2.7222222222222223,88.45454545454545,0.977119507701346,0.3383105995260033,0.2079106515595939,0.1364384072717405,2.43,0.0906059999394073
2020-01-31,262738.9,262389.5625,137.25998380878542,147.23898345338745,29.7,38.0,46.5,95.8,4.19,110.5,0.966975513576968,0.0797549019607843,0.2096985003760007,0.1943599781977505,2.2,0.1211205946217133
2020-02-29,224982.8125,290526.4285714286,117.33216587541207,131.78552874871033,42.0,45.66666666666666,61.85714285714285,118.5,6.925,465.875,0.971427193468159,0.1575735578784359,0.1436119813422444,0.2581630256048861,2.95,-0.1451830124148525
2020-03-31,229561.2272727273,263504.8888888889,138.20544358621086,144.1975704399772,35.63636363636363,28.90909090909091,50.55555555555556,106.55555555555556,3.7666666666666666,70.72727272727273,0.9780864971785812,0.2438425634445622,0.275498853028861,0.2468842833559703,2.93,0.1778990232990573
