period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,59000.0,,,,1.0,,,1.0,1.0,149.0,0.8550724637681159,0.0,,,0.0,0.0
2019-02-28,,,,,,,,,,,,,,,0.0,
2019-03-31,200750.0,,79.73094666329625,,2.0,1.0,,,,39.0,1.0315789473684212,0.5,,0.0,0.0,
2019-04-30,,,,,,,,,,,,,,,0.0,0.0
2019-05-31,,,,,,,,,,,,,,,0.0,0.0
2019-06-30,25000.0,,,,1.0,,,1.0,1.0,100.0,,0.0,,,0.34,0.0
2019-07-31,217000.0,,113.02083333333331,,1.0,,,,,34.0,0.9644444444444444,0.0,,,0.62,0.417527798968953
2019-08-31,,,,,,,,,,,,,,,0.91,0.0
2019-09-30,,,,,,,,,,,,,,,0.58,0.0
2019-10-31,,,,,,,,,,,,,,,0.42,0.0
2019-11-30,174950.0,,102.22991400206048,,1.0,1.0,,,,51.0,0.9874212912908068,0.0,,0.0,0.5,-0.0954772585992803
2019-12-31,110000.0,,,,1.0,1.0,,,,42.0,0.9174311926605504,0.0,,0.0,1.25,0.0
2020-01-31,182600.0,,97.54273504273505,,1.0,,,,,3.0,1.14125,1.0,,,1.51,-0.0458493876775731
2020-02-29,,,,,,,,,,,,,,,2.4,0.0
2020-03-31,,,,,,,,,,,,,,,2.1,0.0
2020-04-30,,,,,,,,,,,,,,,2.83,0.0
2020-05-31,,,,,,,,,,,,,,,2.85,0.0
2020-06-30,220000.0,259900.0,99.63768115942028,136.23504196654403,1.0,1.0,2.0,1.0,1.0,2.0,0.9569377990430622,0.0,,1.0,3.28,0.0214772132006284
2020-07-31,255000.0,254900.0,122.00956937799045,135.59413998914812,1.0,1.0,1.0,1.0,1.0,38.0,0.9811465948441708,0.0,,0.0,3.08,0.2245324053936497
2020-08-31,,,,,,,,,,,,,,,2.54,0.0
