period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,230000.0,,160.76058953426124,,2.0,1.0,,,,20.0,0.9884615384615384,0.0,,0.0,0.65,0.0
2019-02-28,,,,,,,,,,,,,,,0.85,0.0
2019-03-31,,,,,,,,,,,,,,,1.74,0.0
2019-04-30,,,,,,,,,,,,,,,1.48,0.0
2019-05-31,,,,,,,,,,,,,,,1.75,0.0
2019-06-30,370000.0,279450.0,109.7597152180362,126.99296660320655,1.0,1.0,1.0,,,21.0,1.028063350930814,1.0,,0.0,1.16,-0.3172473705401269
2019-07-31,,,,,,,,,,,,,,,0.77,0.0
2019-08-31,,,,,,,,,,,,,,,0.77,0.0
2019-09-30,324000.0,294900.0,163.96761133603238,127.91834387579068,1.0,,1.0,3.0,3.0,9.0,1.0156739811912223,1.0,0.3333333333333333,,0.52,0.4938778859831487
2019-10-31,,,,,,,,,,,,,,,0.82,0.0
2019-11-30,220000.0,,130.17751479289942,,1.0,1.0,,3.0,3.0,65.0,0.9777777777777776,0.0,,0.0,0.4,-0.2060778727445392
2019-12-31,287500.0,325000.0,172.77644230769232,129.00703674745895,1.0,1.0,1.0,3.0,3.0,,1.0,0.0,,1.0,0.57,0.3272372159090908
2020-01-31,,,,,,,,,,,,,,,0.88,0.0
2020-02-29,267750.0,,124.58071165111738,,2.0,1.0,,1.0,0.5,71.0,0.9596743826803508,0.5,,0.0,1.21,-0.2789485071740546
2020-03-31,264900.0,,159.19471153846155,,1.0,,,1.0,1.0,171.0,1.0,0.0,,,1.64,0.277843973024324
2020-04-30,,,,,,,,,,,,,,,2.3,0.0
2020-05-31,,,,,,,,,,,,,,,3.58,0.0
2020-06-30,,,,,,,,,,,,,,,4.11,0.0
2020-07-31,,,,,,,,,,,,,,,4.49,0.0
2020-08-31,249900.0,,154.25925925925927,,1.0,,,1.0,1.0,115.0,1.0204164965291955,1.0,,,4.34,-0.0310026145435734
