period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,174750.0,189945.0,98.9671599334176,107.88290387001176,519.0,525.0,845.0,2156.0,4.2,51.0,0.9734684815488012,0.1984585741811175,0.2115027829313543,0.459047619047619,4.3,0.0
2019-02-28,181000.0,192565.5,102.7172112254012,107.09481339602291,660.0,613.0,799.0,2044.0,3.1,56.0,0.9805217285367848,0.2272727272727272,0.1824853228962818,0.5334420880913538,4.19,0.0378918753908521
2019-03-31,185000.0,205000.0,105.04230118443316,111.3396235606838,869.0,678.0,1056.0,2090.0,2.4,34.0,0.9793505335860232,0.2301495972382048,0.2224880382775119,0.5722713864306784,3.55,0.02263583611056
2019-04-30,185166.5,194900.0,104.78221266411752,109.3608521662874,877.0,925.0,1219.0,2119.0,2.4,29.0,0.9835911709269788,0.2383124287343215,0.2534214252005663,0.5686486486486486,4.25,-0.0024760360100924
2019-05-31,187000.0,199900.0,108.19051167411824,109.87791342952276,1072.0,883.0,1231.0,2210.0,2.1,22.0,0.9863822940223376,0.2537313432835821,0.2665158371040724,0.566251415628539,4.23,0.0325274578895
2019-06-30,200000.0,195000.0,109.14733315044872,109.21717171717172,1012.0,940.0,1190.0,2227.0,2.2,19.0,0.985999636611412,0.2786561264822134,0.2698697799730579,0.5212765957446808,4.06,0.0088438575760925
2019-07-31,192500.0,190000.0,109.04134484325309,109.33557611438184,1101.0,873.0,1180.0,2308.0,2.1,24.0,0.9860823042379177,0.2688465031789282,0.2954939341421143,0.4994272623138602,3.94,-0.0009710572318751
2019-08-31,198000.0,189000.0,109.23128000945717,108.69985500241664,1004.0,847.0,1146.0,2368.0,2.4,26.0,0.9820453506280032,0.247011952191235,0.2994087837837837,0.4805194805194805,3.1,0.0017418637533965
2019-09-30,188000.0,191638.0,106.57861920779668,108.47156230556028,906.0,771.0,904.0,2267.0,2.5,23.0,0.9836129672340956,0.2704194260485651,0.2792236435818262,0.4513618677042801,4.82,-0.0242848092728641
2019-10-31,185700.0,194900.0,107.50228728270814,111.99571651090343,868.0,666.0,922.0,2245.0,2.6,31.0,0.9807860700889116,0.2407834101382488,0.2739420935412026,0.4759759759759759,4.55,0.0086665419553857
2019-11-30,190000.0,196286.0,106.05810694998029,112.71818178345262,788.0,642.0,794.0,2151.0,2.7,35.0,0.9796249787041138,0.2474619289340101,0.2315202231520223,0.5031152647975077,3.9,-0.0134339498184812
2019-12-31,190000.0,199999.0,109.60334029227558,114.25778211153384,807.0,519.0,643.0,2019.0,2.5,26.0,0.9800346827679932,0.2391573729863692,0.1471025260029717,0.4258188824662813,3.89,0.0334272734470673
2020-01-31,185000.0,201510.0,106.56836461126004,116.38168781025924,591.0,629.0,932.0,1995.0,3.4,39.0,0.9786847928829692,0.2013536379018612,0.1744360902255639,0.5103338632750397,4.01,-0.0276905400229798
2020-02-29,189000.0,200000.0,106.41891891891892,113.70526334059588,689.0,735.0,930.0,1891.0,2.7,38.0,0.9773879898546072,0.2133526850507982,0.1560021152829191,0.5863945578231292,5.12,-0.0014023457419681
2020-03-31,202500.0,219787.5,112.7514600908501,118.81318528610764,869.0,731.0,1082.0,1985.0,2.3,24.0,0.9903714571679844,0.2738780207134637,0.1768261964735516,0.6238030095759233,4.68,0.0595057837108454
2020-04-30,197346.0,209838.5,112.96436694465504,116.12522031413286,841.0,824.0,986.0,1945.0,2.3,19.0,0.987190334039474,0.2711058263971462,0.174293059125964,0.5546116504854369,7.52,0.0018882846717318
2020-05-31,200000.0,220000.0,113.9240506329114,119.07781852294048,875.0,1064.0,1168.0,1763.0,2.0,20.0,0.9891955639456158,0.2788571428571428,0.2308564946114577,0.5648496240601503,7.24,0.0084954549316116
2020-06-30,210000.0,214900.0,118.2770262663461,118.3632734530938,1127.0,1060.0,1281.0,1736.0,1.5,17.0,0.9917251389981252,0.318544809228039,0.2667050691244239,0.6443396226415093,6.82,0.0382094527823713
2020-07-31,213934.0,210000.0,117.25704113447196,117.32060546198102,1279.0,1080.0,1246.0,1653.0,1.3,18.0,0.9910892600404556,0.2924159499609069,0.2800967937084089,0.6092592592592592,6.12,-0.0086236961147234
2020-08-31,216500.0,215900.0,117.80104712041884,120.88709677419357,1225.0,1063.0,1111.0,1484.0,1.2,16.0,0.9913889561291028,0.3061224489795918,0.2702156334231806,0.6011288805268109,6.95,0.0046394312928552
