period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,133000.0,189945.0,90.25641025641026,107.88290387001176,7.0,5.0,12.0,34.0,4.9,17.0,0.9791815894613703,0.1428571428571428,0.2058823529411764,0.8,4.3,0.0
2019-02-28,150000.0,192565.5,98.66777685262282,107.09481339602291,9.0,7.0,11.0,34.0,3.8,51.0,0.9817901061466014,0.1111111111111111,0.2647058823529411,0.8571428571428571,4.19,0.0931941185375824
2019-03-31,119000.0,205000.0,89.56412476151255,111.3396235606838,12.0,13.0,17.0,30.0,2.5,10.0,0.9824669525763567,0.25,0.2333333333333333,0.3846153846153846,3.55,-0.0922657060035733
2019-04-30,125000.0,194900.0,75.44018362698425,109.3608521662874,14.0,11.0,15.0,31.0,2.2,47.0,0.950651407228989,0.2142857142857142,0.1290322580645161,0.5454545454545454,4.25,-0.1576964121754878
2019-05-31,118000.0,199900.0,81.02391237739302,109.87791342952276,12.0,16.0,17.0,28.0,2.3,14.0,0.9827544431705758,0.1666666666666666,0.1785714285714285,0.625,4.23,0.0740153122905644
2019-06-30,130500.0,195000.0,84.87592444088034,109.21717171717172,18.0,14.0,15.0,27.0,1.5,10.0,0.9631688690839268,0.2222222222222222,0.4074074074074073,0.5,4.06,0.0475416694956105
2019-07-31,126500.0,190000.0,93.58602749907098,109.33557611438184,12.0,12.0,22.0,34.0,2.8,17.0,0.985811430903112,0.3333333333333333,0.2352941176470588,0.6666666666666666,3.94,0.1026215987109229
2019-08-31,136000.0,189000.0,86.05472197705207,108.69985500241664,15.0,15.0,18.0,36.0,2.4,6.0,0.9823709529088248,0.2666666666666666,0.3888888888888889,0.5333333333333333,3.1,-0.08047467900156
2019-09-30,113250.0,191638.0,80.97325185333598,108.47156230556028,10.0,5.0,5.0,30.0,3.0,8.0,0.9779308179662736,0.1,0.2666666666666666,0.4,4.82,-0.0590492887196956
2019-10-31,125000.0,194900.0,104.17626097525988,111.99571651090343,12.0,10.0,15.0,28.0,2.3,46.0,0.960000395903092,0.0833333333333333,0.3571428571428571,0.5,4.55,0.2865515289413187
2019-11-30,140000.0,196286.0,90.33203623699072,112.71818178345262,12.0,2.0,5.0,29.0,2.4,79.0,0.9849605253689944,0.25,0.1034482758620689,0.5,3.9,-0.1328923173923177
