period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,500000.0,479000.0,182.328190743338,242.18181818181816,3.0,5.0,3.0,5.0,1.7,13.0,0.9937702262645732,0.3333333333333333,0.4,0.4,1.26,0.0
2019-02-28,650000.0,454950.0,165.31458131700543,242.42424242424244,3.0,6.0,9.0,8.0,2.7,48.0,0.9727198474637632,0.3333333333333333,0.125,1.0,1.69,-0.093313104007501
2019-03-31,647000.0,474950.0,178.88226045135036,246.6212899586788,4.0,2.0,8.0,13.0,3.3,9.0,1.0047592713077425,0.25,0.0769230769230769,1.0,2.14,0.0820718839575784
2019-04-30,475000.0,455000.0,210.4024855610561,248.91774891774887,8.0,9.0,6.0,8.0,1.0,3.0,1.0009324714772403,0.25,0.375,0.4444444444444444,1.23,0.1762065451888568
2019-05-31,443000.0,498500.0,192.13281232813424,253.05496668060127,5.0,6.0,5.0,7.0,1.4,5.0,1.0071598935289925,0.4,0.1428571428571428,0.8333333333333333,1.18,-0.0868320218946284
2019-06-30,464000.0,459900.0,198.8365493757094,254.56618521418835,5.0,1.0,6.0,10.0,2.0,21.0,0.9801520143642688,0.0,0.2,1.0,0.8,0.0348911618288614
2019-07-31,428000.0,483700.0,206.5094089281133,250.61262376237624,6.0,3.0,3.0,7.0,1.2,7.0,0.9823000399683428,0.1666666666666666,0.2857142857142857,1.0,0.84,0.0385887784539336
2019-08-31,582000.0,469500.0,201.86738821758024,254.35540069686408,5.0,2.0,6.0,11.0,2.2,38.0,0.9807576715575396,0.0,,1.0,0.75,-0.022478494973316
2019-09-30,710000.0,449950.0,178.18854136883672,253.77890580936267,3.0,6.0,4.0,8.0,2.7,2.0,0.9847933857572236,0.3333333333333333,0.375,0.6666666666666666,0.92,-0.1172990202024191
2019-10-31,494950.0,429450.0,415.2542372881356,255.68181818181816,6.0,4.0,4.0,7.0,1.2,12.0,0.9879270508562764,0.1666666666666666,,0.75,0.87,1.33042054274742
2019-11-30,500000.0,428945.0,188.82151610889,241.78403755868544,3.0,6.0,6.0,5.0,1.7,119.0,0.9708668103729832,0.0,0.2,0.6666666666666666,1.07,-0.5452869612071629
2019-12-31,489750.0,499000.0,249.63933238015807,271.92386131883075,4.0,2.0,4.0,6.0,1.5,10.0,0.9920985464052172,0.5,,0.5,1.23,0.3220915578084624
2020-01-31,509500.0,449000.0,216.61863592699328,248.6413043478261,6.0,4.0,8.0,9.0,1.5,10.0,0.9857163823151716,0.1666666666666666,,1.0,1.45,-0.1322736130494048
2020-02-29,460000.0,498888.0,214.60921903399785,252.59241349666885,5.0,2.0,3.0,10.0,2.0,11.0,0.9651932805294098,0.2,,0.5,2.06,-0.0092762881845155
2020-03-31,335888.0,475000.0,208.8855721393035,261.0900832702498,1.0,2.0,6.0,13.0,13.0,135.0,0.94616338028169,0.0,0.0769230769230769,0.5,2.15,-0.0266700886404495
2020-04-30,,,,,,,,,,,,,,,2.59,0.0
2020-05-31,590000.0,464950.0,277.80049321295337,258.4717607973422,2.0,5.0,5.0,12.0,6.0,102.0,0.999554367201426,0.5,0.1666666666666666,0.4,2.72,0.3299170946459206
2020-06-30,458250.0,529900.0,188.28126556019777,268.1159420289855,4.0,7.0,4.0,6.0,1.5,115.0,0.9843938841359328,0.0,0.1666666666666666,0.2857142857142857,3.31,-0.3222428679567998
2020-07-31,625000.0,525000.0,295.9280303030303,276.1370348493798,3.0,5.0,8.0,9.0,3.0,14.0,0.975513963032604,0.3333333333333333,,0.8,2.95,0.5717338069857802
2020-08-31,487500.0,539000.0,221.7925386715196,283.0494728304947,7.0,5.0,6.0,9.0,1.3,47.0,0.9908269933288184,0.2857142857142857,0.1111111111111111,0.4,2.12,-0.250518653321201
2020-09-30,485000.0,516240.0,391.414380321665,290.2361697066814,3.0,8.0,4.0,4.0,1.3,6.0,1.0070175438596491,0.3333333333333333,0.25,0.375,1.82,0.7647770419426043
2020-10-31,490000.0,545000.0,233.9743589743589,300.435736677116,11.0,4.0,5.0,5.0,0.5,29.0,0.9996434312906562,0.3636363636363636,0.2,0.75,1.89,-0.4022336154791289
2020-11-30,592500.0,562450.0,253.2467532467533,296.6625463535229,4.0,2.0,4.0,7.0,1.8,14.0,1.0277691036077774,1.0,0.1428571428571428,0.5,2.38,0.0823696851094117
2020-12-31,620000.0,535000.0,173.31316841048607,299.0487462037812,2.0,2.0,2.0,7.0,3.5,89.0,1.0234262297958967,0.5,,0.0,2.56,-0.3156351811483371
2021-01-31,830000.0,549950.0,586.2269090190655,299.42174308480844,3.0,7.0,7.0,7.0,2.3,65.0,0.9788702015814577,0.0,0.2857142857142857,0.8571428571428571,3.36,2.382471824821804
2021-02-28,659500.0,590000.0,179.6875,318.1818181818182,2.0,3.0,5.0,8.0,4.0,41.0,0.9838461538461538,0.0,,0.6666666666666666,3.9,-0.693484728804634
2021-03-31,608750.0,625000.0,244.2218921685498,327.6766205389658,6.0,7.0,11.0,12.0,2.0,7.0,0.9907496947496948,0.1666666666666666,0.0833333333333333,0.8571428571428571,4.49,0.3591479216336684
2021-04-30,612000.0,612450.0,304.8659587863815,338.46153846153845,7.0,8.0,6.0,10.0,1.4,5.0,1.0569511815691812,0.8571428571428571,0.4,0.75,4.09,0.2483154400260652
2021-05-31,645000.0,650000.0,235.96927497789568,356.25774473358115,8.0,4.0,8.0,13.0,1.6,8.0,1.021955246667487,0.75,,0.75,3.81,-0.2259900845694664
2021-06-30,785000.0,675000.0,311.1111111111111,352.54901960784315,7.0,5.0,11.0,17.0,2.4,5.0,1.0446228501367063,0.7142857142857143,0.1176470588235294,0.8,3.56,0.3184390685620164
2021-07-31,679000.0,649000.0,468.01292234775127,351.5914137675796,3.0,8.0,11.0,19.0,6.3,14.0,1.000873322258877,0.6666666666666666,0.1578947368421052,0.75,3.74,0.5043272504034864
2021-08-31,767000.0,650000.0,263.3676247587538,351.9290928050052,6.0,6.0,3.0,13.0,2.2,8.0,1.0126340859618914,0.3333333333333333,0.2307692307692307,0.1666666666666666,4.16,-0.4372642032241544
2021-09-30,609000.0,699000.0,282.7371034575912,369.8722259583053,10.0,5.0,5.0,9.0,0.9,32.0,0.9869825854179884,0.2,0.2222222222222222,0.5999999999999999,4.43,0.0735454052736359
2021-10-31,667500.0,659000.0,318.79387014437265,358.4077563004649,4.0,4.0,7.0,11.0,2.8,59.0,0.9423583121628512,0.0,0.0909090909090909,0.25,5.25,0.1275275379348637
2021-11-30,797500.0,669900.0,310.1974115784885,366.1648822269808,4.0,3.0,2.0,9.0,2.3,12.0,1.0093770163014326,0.5,0.2222222222222222,0.3333333333333333,5.36,-0.0269655704546358
2021-12-31,825000.0,774950.0,345.05208333333326,360.16018018018013,7.0,5.0,2.0,5.0,0.6999999999999998,35.0,1.0004743349002896,0.2857142857142857,0.2,0.4,5.79,0.1123628710422863
2022-01-31,741062.5,685000.0,454.54545454545456,364.2435934769948,2.0,6.0,7.0,4.0,2.0,32.0,1.0,0.0,,0.8333333333333333,5.96,0.3173241852487138
2022-02-28,720000.0,761070.0,324.9108911487215,397.489539748954,8.0,7.0,8.0,4.0,0.5,3.0,1.0169500583926954,0.625,0.25,1.0,5.96,-0.2851960394728128
2022-03-31,724500.0,740000.0,382.0960698689957,393.5483870967743,10.0,7.0,13.0,10.0,1.0,7.0,0.9804102536802992,0.2999999999999999,0.2,0.5714285714285714,6.35,0.1760026526599223
2022-04-30,683000.0,729000.0,353.3976510067114,401.8174659622028,4.0,5.0,9.0,14.0,3.5,16.0,1.026600100741742,0.5,0.2857142857142857,0.5999999999999999,6.22,-0.0751078619367212
2022-05-31,900000.0,749950.0,677.6262831818387,401.2038523274479,6.0,6.0,7.0,15.0,2.5,6.0,1.0,0.0,0.1333333333333333,0.1666666666666666,6.8,0.9174611977513396
2022-06-30,1975000.0,722400.0,811.7958913187541,388.5365916739677,2.0,4.0,9.0,20.0,10.0,109.0,0.9465133260313982,0.0,0.25,0.25,5.9,0.1979994157058271
2022-07-31,611500.0,727000.0,324.1500586166472,386.26868229809406,2.0,7.0,6.0,19.0,9.5,32.0,1.0087813917279207,0.5,0.263157894736842,0.2857142857142857,5.38,-0.6007000502428403
2022-08-31,758630.0,649900.0,297.6914878987899,380.7692307692308,6.0,2.0,4.0,20.0,3.3,28.0,0.972105872735916,0.1666666666666666,0.3499999999999999,0.5,4.4,-0.0816244514370063
2022-09-30,782500.0,692950.0,279.13943355119824,373.9464863455544,2.0,2.0,3.0,18.0,9.0,42.0,1.0,0.0,0.1666666666666666,0.0,5.42,-0.0623197340257811
2022-10-31,853000.0,699900.0,272.33115468409585,376.506844747388,6.0,6.0,4.0,15.0,2.5,45.0,0.9802281188585624,0.3333333333333333,0.2666666666666666,0.3333333333333333,6.22,-0.024390243902439
2022-11-30,,,,,,,,,,,,,,,8.4,0.0
2022-12-31,1056250.0,675000.0,287.64978213507624,323.4757362090419,2.0,2.0,2.0,11.0,5.5,39.0,0.9951496674057648,0.5,0.0909090909090909,1.0,7.89,0.0562499999999999
2023-01-31,847259.0,699900.0,249.4747899159664,374.8696558915537,3.0,,1.0,8.0,2.7,6.0,1.0104666005431753,1.0,0.25,,7.99,-0.132713440405748
2023-02-28,737891.5,734500.0,308.51063829787233,365.85886840432295,4.0,2.0,2.0,7.0,1.8,115.0,0.95734777156038,0.25,0.1428571428571428,0.5,8.17,0.2366405375139977
2023-03-31,660000.0,745000.0,365.0442477876106,387.42023701002734,1.0,2.0,2.0,5.0,5.0,5.0,1.0,0.0,0.2,0.5,9.45,0.1832468721391515
2023-04-30,1089000.0,799900.0,,391.937624873416,1.0,3.0,5.0,7.0,7.0,7.0,1.0,0.0,0.2857142857142857,1.0,10.42,0.0
2023-05-31,1275000.0,780000.0,294.0210249671485,403.36322869955154,5.0,5.0,8.0,9.0,1.8,5.0,0.995481638575734,0.0,0.3333333333333333,0.5999999999999999,9.34,-0.1945605861505992
2023-06-30,815000.0,735000.0,413.3858267716536,395.1184668989546,3.0,3.0,7.0,13.0,4.3,8.0,0.992107744107744,0.0,0.3076923076923077,0.6666666666666666,9.11,0.4059736946289538
2023-07-31,,,,,,,,,,,,,,,8.69,0.0
2023-08-31,820000.0,809949.5,468.564650059312,413.8523632678212,8.0,4.0,11.0,17.0,2.1,30.0,0.9955143297288463,0.25,0.2941176470588235,0.75,8.42,0.1334802010958593
2023-09-30,850000.0,734000.0,,407.7791718946048,1.0,4.0,4.0,15.0,15.0,29.0,1.0,0.0,0.2666666666666666,0.5,7.58,0.0
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
