period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,134100.0,162400.0,112.54546066810344,104.09928212545104,18.0,11.0,30.0,117.0,6.5,87.0,0.9648956912645112,0.0555555555555555,0.1623931623931624,0.0909090909090909,0.0,0.0
2019-02-28,168500.0,174900.0,96.44342592592592,107.1871341610406,20.0,15.0,29.0,118.0,5.9,132.0,0.9746038837028046,0.1499999999999999,0.1101694915254237,0.3333333333333333,0.0,-0.1430713833022766
2019-03-31,124266.25,177000.0,92.1000507969018,117.39393432145356,15.0,6.0,37.0,60.5,2.4,47.5,0.9670476000722392,0.1428571428571428,0.2583333333333333,0.0454545454545454,0.0,-0.0450354711824535
2019-04-30,164950.0,179450.0,105.82853134851618,116.21129326047358,30.0,18.0,48.0,140.0,4.7,60.0,0.9713211058906596,0.3333333333333333,0.1857142857142857,0.0555555555555555,0.16,0.149060510095573
2019-05-31,146499.5,127499.5,86.78490105524666,92.70337667585362,22.5,15.0,27.0,75.5,2.75,84.5,0.9728602339087709,0.198170731707317,0.3146853146853146,0.0178571428571428,0.16,-0.1799479785895803
2019-06-30,141600.0,133675.0,77.50859405595926,75.65469063091192,18.0,16.5,15.5,65.5,2.75,44.5,0.987219316689474,0.303030303030303,0.2539682539682539,0.064516129032258,0.16,-0.1068884896622992
2019-07-31,127225.0,165750.0,97.80312299174452,111.59438276763602,21.0,14.5,20.5,61.5,2.5,67.0,0.9926575935758066,0.35,0.226890756302521,0.0555555555555555,0.48,0.2618358542426031
2019-08-31,128950.0,97400.0,82.79123331102429,73.21642055570325,22.0,13.5,21.0,63.5,2.45,148.0,0.9780667679035528,0.1428571428571428,0.1869918699186991,0.0576923076923076,0.48,-0.1534909031686787
2019-09-30,171000.0,149999.0,110.62179487179488,118.42485549132948,26.0,20.0,35.0,122.0,4.7,61.0,0.9628075461397844,0.0769230769230769,0.2459016393442622,0.1,0.54,0.3361534844663889
2019-10-31,127862.5,156175.0,102.15094150641023,116.18128836967426,14.5,10.5,16.5,64.5,2.9,51.0,0.957488203745664,0.0576923076923076,0.2142857142857142,0.0277777777777777,0.06,-0.0765749043866259
2019-11-30,156000.0,162200.0,113.28517924023542,104.94929453262787,22.0,15.0,24.0,128.0,5.8,59.0,0.976642277998863,0.1363636363636363,0.203125,0.1333333333333333,0.3,0.1089978963446605
2019-12-31,159050.0,107200.0,108.05008569683784,90.41767185120712,9.333333333333334,5.333333333333333,4.5,38.333333333333336,4.366666666666666,68.66666666666667,0.9954000706632664,0.1153846153846153,0.1132075471698113,0.0238095238095237,0.51,-0.0462116366722243
2020-01-31,111500.0,146000.0,93.8095238095238,78.8988864279562,10.0,6.5,12.5,55.5,3.95,86.0,0.9657695628007223,0.2549019607843137,0.2075471698113207,0.0454545454545454,0.73,-0.1317959332977262
2020-02-29,166000.0,169900.0,105.47653561455206,110.35055350553506,10.0,10.0,34.0,58.0,3.55,169.5,0.9848310297791668,0.1052631578947368,0.1304347826086956,0.2,0.86,0.1243691613733977
