period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,75000.0,107450.0,29.276693455797933,57.32978536242084,11.0,8.0,9.0,34.0,3.1,105.0,0.9290719032865096,0.0909090909090909,0.2058823529411764,0.125,2.31,0.0
2019-02-28,432500.0,345950.0,147.51100838301608,201.64672639945337,5.0,8.0,7.5,19.0,2.55,66.5,0.9599813458590404,0.0555555555555555,0.1621621621621621,0.625,2.01,4.038513266729686
2019-03-31,81250.0,99000.0,37.17948717948718,67.11087420042644,12.0,9.0,11.0,34.0,2.8,42.0,0.887453212831502,0.0833333333333333,0.1176470588235294,0.2222222222222222,3.69,-0.7479544910780509
2019-04-30,105000.0,112900.0,44.1777578385923,63.540983606557376,10.0,10.0,18.0,36.0,3.6,34.0,0.926509987271349,0.1,0.1111111111111111,0.5,2.86,0.1882293487621376
2019-05-31,312500.0,99900.0,117.61657849047428,67.53119105960783,7.0,8.0,11.0,36.0,3.3,57.0,0.8664787967909743,0.0,0.25,0.625,2.43,1.6623483002509496
2019-06-30,450000.0,350200.0,163.5106155647977,182.1946474515627,3.5,5.5,9.0,20.0,3.75,6.5,0.967292149296352,0.0,0.0769230769230769,0.5833333333333333,1.18,0.3902004093584506
2019-07-31,528300.0,354475.0,162.0967119266437,188.70522638610075,5.0,13.0,8.0,18.5,2.35,18.33333333333333,0.9440899890361236,0.0769230769230769,0.3357142857142857,0.4615384615384615,1.97,-0.0086471672390815
2019-08-31,331000.0,98250.0,168.78547691089784,65.68980803330507,6.0,6.5,13.0,16.0,1.8,22.5,0.948497446067666,0.0,0.2258064516129032,0.2083333333333333,2.49,0.0412640386393594
2019-09-30,83450.0,116975.0,43.727806220291576,78.5828001218769,7.0,6.0,7.5,20.5,3.9,82.5,0.9392866331221262,0.0384615384615384,0.1388888888888889,0.3333333333333333,3.8,-0.740926725328533
2019-10-31,80250.0,112900.0,39.85519136891332,60.92023360159533,5.5,12.0,34.0,29.0,4.7,73.0,0.9112879558440956,0.0,0.1851851851851851,0.5833333333333333,2.24,-0.0885618371035773
2019-11-30,360000.0,378329.75,197.42622555683133,186.2863809291224,3.0,4.5,4.0,26.0,6.0,35.0,0.9822450086865742,0.5,0.26,0.125,2.31,3.953588698882072
2019-12-31,115000.0,97900.0,43.468774092864784,57.06558485463151,6.0,7.0,11.0,49.0,4.5,64.0,0.9578378312897312,0.0,0.1020408163265306,0.2857142857142857,2.19,-0.7798226959449629
2020-01-31,172125.0,114900.0,106.7359464348522,74.95,6.5,9.0,4.0,19.0,2.05,63.0,0.8781184842812344,0.0416666666666666,0.3243243243243243,0.1111111111111111,2.21,1.4554625397722556
2020-02-29,101125.0,99950.0,56.64209480960674,65.26548672566372,4.5,4.5,15.0,35.0,4.4,58.0,0.8743647943192554,0.0625,0.1142857142857142,0.4375,2.31,-0.4693250333974501
2020-03-31,96000.0,112450.0,38.80718954248366,63.06256860592755,15.0,8.0,15.0,35.0,2.3,61.0,0.980063689402756,0.2,0.1142857142857142,0.625,3.28,-0.3148701566753884
2020-04-30,361875.0,159900.0,191.8706344291228,93.09210526315788,3.5,2.0,3.0,18.5,3.9,15.5,1.0115406123455584,0.5,,0.3333333333333333,4.5,3.9442032956051847
2020-05-31,316225.0,382400.0,175.91634415039178,200.3906561428685,4.5,3.0,4.5,20.0,3.8,36.5,0.9509767818967544,0.0,0.054054054054054,0.7999999999999999,3.56,-0.0831512874609509
2020-06-30,599791.6666666666,382450.0,198.72514599220835,213.5227244860592,3.333333333333333,5.0,6.5,12.0,2.6666666666666665,36.0,0.9895640314381774,0.0833333333333333,0.125,0.3333333333333333,4.18,0.129657093273364
2020-07-31,325250.0,412450.0,153.6434103065488,196.3753741132132,4.333333333333333,4.333333333333333,6.5,9.666666666666666,1.5333333333333332,36.0,0.9297448551394542,0.0333333333333333,0.3461538461538461,0.3,3.68,-0.2268547116197722
2020-08-31,101450.0,146000.0,38.32512466917146,93.20241780404297,7.0,14.0,22.0,14.5,1.6,167.0,0.9804312815977886,0.0769230769230769,0.3571428571428571,0.5,3.74,-0.7505579667054688
2020-09-30,397500.0,361675.0,147.57807261474832,200.75217284642883,10.5,9.0,13.5,17.0,1.1,28.0,0.9759692047714548,0.5789473684210527,0.6212121212121212,0.59375,3.68,2.850687346451332
2020-10-31,87500.0,124900.0,48.36415362731152,82.15995213402473,14.0,18.0,25.0,36.0,2.6,19.0,0.8984469093915761,0.0,0.1666666666666666,0.5,5.07,-0.6722808966778835
2020-11-30,480500.0,125000.0,170.6188147039378,70.17676288652851,8.0,17.0,20.0,38.0,2.7,24.5,0.9789416839242048,0.3214285714285714,0.131578947368421,0.588235294117647,5.54,2.527794904025538
2020-12-31,159250.0,119900.0,48.08474469134576,73.01344409225052,10.5,16.0,9.0,28.0,1.4,52.0,0.9743723883198296,0.55,0.25,0.25,6.6,-0.7181744300897668
2021-01-31,90000.0,114000.0,48.766157461809634,71.84216250016992,15.0,12.0,9.0,20.0,1.3,50.0,0.916277126557781,0.2,0.3499999999999999,0.4166666666666666,7.29,0.0141710801385728
2021-02-28,117000.0,131000.0,51.9538188277087,84.32539682539682,19.0,7.0,4.0,13.0,0.6999999999999998,60.0,0.9458782227380648,0.1578947368421052,0.3076923076923077,0.1428571428571428,6.76,0.0653662607802434
2021-03-31,116000.0,134900.0,59.41329372447085,85.17608517608518,14.0,8.0,17.0,20.0,1.4,39.0,0.9355715532736284,0.1428571428571428,0.1499999999999999,0.625,8.32,0.1435789527137465
2021-04-30,442500.0,413450.0,143.7225013106464,217.20608654655365,4.5,7.5,6.5,7.5,2.25,22.5,0.991334761287975,0.5,0.1666666666666666,0.9642857142857144,6.95,1.4190293501848177
2021-05-31,116450.5,159975.0,52.526159583388505,110.11859899433377,6.5,12.0,12.5,12.5,2.4,6.0,0.921630966110569,0.2083333333333333,0.2348484848484848,0.75,6.54,-0.6345307164543652
2021-06-30,342666.6666666667,389700.0,143.66563537008437,234.57526329869384,4.666666666666667,11.5,13.0,9.666666666666666,2.6333333333333333,27.33333333333333,0.9886450341248266,0.4444444444444444,0.5869565217391304,0.3636363636363636,5.29,1.7351254405341847
2021-07-31,414883.3333333333,416750.0,148.6414986701251,225.7307693988861,7.333333333333333,10.0,9.0,12.5,1.6,13.666666666666666,1.0040241339425964,0.4444444444444444,0.25,0.4019607843137254,5.61,0.0346350279746636
2021-08-31,316633.3333333333,429922.0,184.73709049935903,233.2963787416585,5.0,6.5,6.5,8.0,2.1666666666666665,54.66666666666666,0.9607781969235644,0.0256410256410256,0.256578947368421,0.1666666666666666,5.79,0.2428365708915492
2021-09-30,357500.0,342600.0,141.39894582869758,192.98419569494524,4.0,4.333333333333333,5.333333333333333,8.666666666666666,1.6333333333333335,38.66666666666666,0.9342307966420644,0.4074074074074074,0.4242424242424242,0.2121212121212121,6.65,-0.2345936300799964
2021-10-31,174200.0,135000.0,76.2098963356604,89.14543524416136,5.0,7.0,15.0,21.0,2.3,28.0,0.9874759364974796,0.5,0.4285714285714285,0.3461538461538461,7.71,-0.4610292467951818
2021-11-30,432125.0,131000.0,188.93715359831924,79.07503379900857,10.5,17.0,17.0,17.0,1.0,57.0,0.9707611160579602,0.2426470588235293,0.3529411764705882,0.588235294117647,6.91,1.4791682272622526
2021-12-31,384250.0,139950.0,203.3922912603788,85.95978839893459,9.5,13.0,9.0,12.0,0.6999999999999998,22.5,1.0241950932683954,0.6666666666666666,0.1666666666666666,0.3076923076923077,6.42,0.0765076502252766
2022-01-31,150000.0,136900.0,82.0079522862823,92.65174850675228,11.0,14.0,14.0,12.0,1.1,26.0,0.9641156644207796,0.2727272727272727,0.25,0.6428571428571429,9.33,-0.5967991127977543
2022-02-28,145000.0,146000.0,55.00901975172752,88.08876811594203,10.0,13.0,10.0,7.0,0.6999999999999998,35.0,0.9417139790339772,0.2999999999999999,0.1428571428571428,0.6153846153846154,6.61,-0.3292233470274195
2022-03-31,175250.0,157425.0,80.22200710925338,100.72924753842904,8.0,5.5,8.5,7.0,0.95,44.0,0.9537737710019532,0.3928571428571428,0.0833333333333333,0.45,9.03,0.4583427858071232
2022-04-30,145950.0,164975.0,90.1708925383521,96.95823621805656,4.5,5.5,11.0,6.5,1.25,30.0,1.0066441519887943,0.25,0.3333333333333333,0.3499999999999999,10.26,0.1240169099178665
2022-05-31,127450.0,155000.0,66.34493727545089,101.05050505050504,5.0,5.0,14.0,16.0,1.8,18.5,1.0182293088200898,0.2222222222222222,0.125,0.3888888888888888,11.16,-0.2642311126372337
2022-06-30,413333.3333333333,353816.6666666667,148.30677711166535,205.7550087780612,5.333333333333333,6.333333333333333,8.666666666666666,9.333333333333334,1.933333333333333,22.33333333333333,1.044955121544107,0.4358974358974359,0.217391304347826,0.5317460317460317,11.13,1.2353895142884124
2022-07-31,503225.0,407450.0,187.22586456576943,251.65145331746857,6.5,5.5,6.5,12.5,1.35,14.0,0.997338929467693,0.4833333333333333,0.6666666666666666,0.4107142857142857,8.76,0.2624228522261025
2022-08-31,391666.6666666667,367450.0,144.2812833175672,186.7719852599378,4.0,7.5,8.666666666666666,12.333333333333334,2.2333333333333334,43.66666666666666,0.9543039322329736,0.4074074074074074,0.5909090909090909,0.6346153846153846,8.33,-0.2293731229272358
2022-09-30,409000.0,139950.0,173.81146927665327,90.81951052683485,2.5,4.666666666666667,12.0,15.5,3.5,34.0,0.9878578009756552,0.5166666666666666,0.2333333333333333,0.1515151515151515,8.58,0.2046709405411186
2022-10-31,457500.0,444925.0,146.6937596227322,232.8705858299195,5.5,12.0,6.0,13.0,1.75,20.5,1.0127087549550151,0.55,0.2,0.5833333333333333,8.16,-0.1560179530543994
2022-11-30,494250.0,134950.0,205.8922747655932,85.53030303030302,6.5,3.5,6.0,18.0,1.5,10.0,1.0040755891755186,0.625,0.1111111111111111,0.3333333333333333,10.14,0.4035516936446928
2022-12-31,375333.3333333333,465000.0,140.61638716730485,270.2102519973808,4.333333333333333,5.0,4.0,8.0,1.2,62.333333333333336,1.015134308581122,0.393939393939394,0.1333333333333333,0.5999999999999999,8.21,-0.3170390325358465
2023-01-31,176000.0,155000.0,86.93361433087459,98.54014598540144,6.0,6.0,7.0,15.0,2.5,113.0,0.9497185873240171,0.0,0.1333333333333333,0.6666666666666666,10.67,-0.3817675444367568
