period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,114500.0,142400.0,68.76876876876877,77.03581267217632,35.0,26.0,42.0,123.0,3.5,65.0,0.9099122808774444,0.0571428571428571,0.1300813008130081,0.2307692307692307,2.88,0.0
2019-02-28,127490.0,169450.0,80.07269797407628,100.23006134969324,38.0,20.0,56.0,144.0,3.8,64.0,0.9636989508208476,0.2368421052631578,0.1944444444444444,0.4,4.79,0.1643759137715021
2019-03-31,135000.0,189000.0,71.68643630737493,97.47967479674796,41.0,43.0,59.0,145.0,3.5,48.0,0.9502662617133008,0.2195121951219512,0.1655172413793103,0.1860465116279069,7.12,-0.1047330972838759
2019-04-30,141900.0,166450.0,89.48399738732854,94.15281379230568,51.0,28.0,64.0,156.0,3.1,49.0,0.950712507201457,0.1764705882352941,0.1923076923076923,0.3571428571428571,6.44,0.2482695750649644
2019-05-31,169000.0,189900.0,93.1055900621118,93.70604781997189,69.0,54.0,53.0,137.0,2.0,49.0,0.9931682068571612,0.2898550724637681,0.1824817518248175,0.1666666666666666,7.6,0.0404719590152786
2019-06-30,163620.0,149200.0,97.15231752055108,95.40149285977864,48.0,41.0,58.0,145.0,3.0,53.0,0.9848441559063636,0.2916666666666666,0.2137931034482758,0.2682926829268292,7.11,0.0434638506209956
2019-07-31,170000.0,169000.0,93.02325581395348,101.46103896103897,41.0,33.0,51.0,149.0,3.6,60.0,0.962158994994048,0.1707317073170731,0.2080536912751677,0.2121212121212121,6.65,-0.0425009079760156
2019-08-31,145000.0,150000.0,91.36640149742628,89.87417615338526,61.0,45.0,41.0,126.0,2.1,52.0,0.9582691080309966,0.1311475409836065,0.3015873015873015,0.1111111111111111,5.29,-0.0178111839026674
2019-09-30,166475.0,179900.0,97.25432274737572,104.0383014154871,40.0,39.0,53.0,131.0,3.3,59.0,0.9702698642857006,0.275,0.2061068702290076,0.2564102564102563,5.1,0.0644429588278716
2019-10-31,135000.0,164950.0,91.66666666666669,88.12075271958747,41.0,39.0,56.0,135.0,3.3,66.0,0.9733067995808132,0.1463414634146341,0.1703703703703703,0.2307692307692307,4.28,-0.0574540639722855
2019-11-30,172000.0,163995.0,89.82511923688395,100.775,33.0,16.0,46.0,151.0,4.6,47.0,0.9833378847717068,0.2727272727272727,0.1655629139072847,0.25,5.68,-0.0200896083249025
2019-12-31,148500.0,167495.0,82.87884271872323,100.09219477264593,32.0,32.0,40.0,143.0,4.5,58.0,0.9563110123768668,0.125,0.1258741258741258,0.125,4.55,-0.0773311138039485
2020-01-31,166250.0,179900.0,93.7472228225324,107.74671365974471,24.0,24.0,40.0,144.0,6.0,56.0,0.9759858743210348,0.125,0.2291666666666666,0.0833333333333333,4.35,0.1311357609166261
2020-02-29,163500.0,164490.0,97.93388429752063,102.3117569352708,41.0,37.0,55.0,141.0,3.4,59.0,0.976066989367432,0.1707317073170731,0.1063829787234042,0.2432432432432432,1.84,0.044659045344882
