period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,377850.0,254105.75,161.81936942127268,118.88114264216468,34.0,46.0,63.5,192.0,5.35,133.5,0.930913285568203,0.0833333333333333,0.1791443850267379,0.3043478260869565,0.0,0.0
2019-02-28,279950.0,304500.0,149.52707110241357,141.71240256535117,66.0,66.0,122.0,391.0,5.9,73.0,0.9909443551048662,0.1363636363636363,0.1841432225063938,0.4090909090909091,0.0,-0.0759630837941157
2019-03-31,298255.0,294950.0,140.94775212636696,139.4159960552904,92.0,76.0,117.0,380.0,4.1,58.0,0.9828079083194028,0.1847826086956521,0.1526315789473684,0.3684210526315789,0.0,-0.0573763594297281
2019-04-30,226448.3333333333,236826.25,108.84711240103398,100.80271458088754,32.333333333333336,45.5,73.0,195.5,9.5,112.0,0.9935547991085032,0.3684210526315789,0.1595744680851063,0.1166666666666666,0.0,-0.2277485042581813
2019-05-31,303462.5,272988.75,139.29132209981788,163.5968322092665,64.5,47.0,85.0,207.5,5.8,246.5,0.954659576323371,0.0748031496062992,0.193467336683417,0.1290322580645161,0.0,0.2796969899083394
2019-06-30,159000.0,243345.0,84.51086956521739,134.12410815701497,56.0,95.0,68.5,207.0,10.3,136.5,0.8569478353643796,0.0990990990990991,0.2090680100755667,0.2105263157894736,0.12,-0.3932797227335105
2019-07-31,219450.0,282871.25,134.96294075295367,128.25425049436072,47.0,84.0,60.5,200.5,12.05,395.5,0.958492217428952,0.053763440860215,0.2125984251968504,0.1904761904761904,0.12,0.5969891381699983
2019-08-31,232500.0,296900.0,181.72014659906208,144.92753623188406,68.0,113.0,161.0,200.0,10.4,71.5,0.9467135948137624,0.0962962962962962,0.1989528795811518,0.2654867256637168,0.12,0.3464447765086589
2019-09-30,258333.25,313122.5,108.11256067772608,137.3067554069305,49.5,40.5,53.5,185.5,4.2,129.5,0.9800388494500604,0.3906249999999999,0.2549019607843137,0.1,0.0,-0.4050601284388129
2019-10-31,247700.0,392117.5,123.81198476035244,143.87903091060986,47.5,74.0,68.0,191.5,4.0,118.0,0.9403301922210696,0.0714285714285714,0.2452316076294278,0.2297297297297297,0.0,0.1452136919541193
2019-11-30,265945.0,237562.5,130.57558673134915,134.27179668551122,52.0,68.0,50.0,187.5,11.25,139.5,0.9629759487415316,0.1116504854368932,0.1825842696629213,0.25,0.0,0.0546280070066573
2019-12-31,221166.66666666663,307950.0,125.1644415545776,250.585684504197,36.0,26.666666666666668,45.0,168.0,10.5,45.0,0.9979338273216776,0.3619047619047619,0.1226415094339622,0.0614035087719298,0.0,-0.0414407111790707
2020-01-31,549780.0,361283.75,219.5583245593085,207.34878182827265,33.5,54.0,58.5,183.0,5.6,89.5,0.9491362679836322,0.09375,0.1719197707736389,0.2407407407407407,0.0,0.7541589434853244
2020-02-29,284250.0,301452.25,124.32943143812707,152.38316407746072,45.0,82.0,66.5,182.5,10.95,178.5,0.980785783265062,0.0730337078651685,0.1527377521613832,0.2439024390243902,0.33,-0.4337293669566948
2020-03-31,438725.0,325772.5,304.3665062090307,121.48645916451504,41.5,51.5,82.0,187.0,10.7,49.0,0.99392294038382,0.0914634146341463,0.1484593837535014,0.2450980392156862,0.33,1.448064812075487
2020-04-30,302500.0,273062.5,170.96669188263132,147.34808238119496,42.0,45.0,60.0,180.0,4.75,96.5,0.9765903259862216,0.1049382716049382,0.1337209302325581,0.6179775280898876,1.11,-0.4382867746781047
2020-05-31,312500.0,271250.0,152.70484981822142,121.1173959067485,47.5,46.0,77.5,193.0,3.9,207.5,0.9476974795338686,0.1141304347826086,0.1066666666666666,0.3888888888888888,1.58,-0.1068152039635104
2020-06-30,291500.0,365577.75,145.63477896836773,272.96686728841337,71.5,153.0,81.5,167.0,3.15,217.5,0.9615032878903296,0.0785714285714285,0.1428571428571428,0.3137254901960784,1.98,-0.0462989280187882
2020-07-31,299950.0,452600.0,129.95095625767266,266.9349730892019,79.0,57.0,65.0,158.0,1.85,116.5,0.9703404273666578,0.0960264900662251,0.1414473684210526,0.1769911504424778,1.28,-0.1076928383576675
2020-08-31,341188.25,348726.25,168.31396011200368,164.8055795200783,66.0,76.0,85.5,140.0,2.55,123.0,0.9914618640151366,0.19921875,0.126865671641791,0.2417218543046357,1.05,0.2952114009708642
2020-09-30,382187.5,310445.0,152.6576038525105,155.4801205888242,61.5,56.0,118.0,121.5,1.5,45.5,0.9916907227104782,0.0860655737704918,0.1611570247933884,0.2657657657657657,1.76,-0.0930187623716698
2020-10-31,380156.1666666667,268281.6666666667,270.1351309505264,137.19794329078397,48.333333333333336,38.333333333333336,51.66666666666666,85.33333333333333,4.233333333333333,64.0,1.0311112229954325,0.2230046948356807,0.1404255319148936,0.15929203539823,2.36,0.7695491356691035
2020-11-30,396227.5,557450.0,145.17641506923988,252.1765917905624,41.333333333333336,30.666666666666668,48.0,113.5,5.85,100.33333333333331,0.9962877660362054,0.2603305785123966,0.1352657004830917,0.1481481481481481,2.87,-0.4625785451954857
2020-12-31,332000.0,317800.0,181.21921929733293,161.63492537313434,77.0,59.0,92.0,77.5,2.8000000000000003,53.0,0.9927553846144967,0.2858719646799116,0.1205673758865248,0.1939655172413793,2.67,0.2482690057534684
2021-01-31,262495.0,372865.5,136.8551327030873,171.93864673720338,41.0,106.0,57.5,69.0,2.95,103.5,0.9385585392505194,0.1582278481012658,0.112,0.5377358490566037,1.98,-0.2448089488866844
2021-02-28,329912.5,429271.0,171.40116352931332,221.19862092068428,47.0,87.0,50.0,68.0,3.9,84.0,0.9790392783010596,0.4130434782608695,0.1219512195121951,0.5517241379310344,1.82,0.2524277324780726
2021-03-31,1283525.8333333333,344500.0,452.3407717077803,210.12393428115485,44.333333333333336,33.666666666666664,55.0,64.0,8.45,30.0,1.003401043711781,0.1246819338422391,0.0982142857142857,0.1279461279461279,2.3,1.6390764356183625
2021-04-30,270217.5,881304.25,177.33923369249885,261.3288864871963,58.0,53.0,60.0,65.5,1.95,51.5,0.9785246036315238,0.3117117117117117,0.1367521367521367,0.2598039215686274,3.15,-0.6079521352387334
2021-05-31,376772.0,453950.0,170.68750084346502,258.36226807440005,70.0,103.0,59.5,70.5,4.45,90.0,0.984188808871558,0.2318840579710144,0.104,0.524271844660194,2.75,-0.0375085236951443
2021-06-30,338426.0,321407.75,195.94024118464063,235.49160555989937,81.0,55.5,50.5,62.5,10.8,37.0,1.0005727849928068,0.2453416149068322,0.1442307692307692,0.2,1.37,0.1479472147426572
2021-07-31,340651.0,374900.0,175.66352386564526,191.91167753408416,105.0,76.0,103.0,126.0,1.2,17.0,1.0121462215881836,0.419047619047619,0.2063492063492063,0.5526315789473684,1.03,-0.1034841908757679
2021-08-31,359639.8333333333,413298.75,206.77135745357688,246.50650825318365,34.666666666666664,33.0,78.0,100.0,6.4,42.0,1.0067889444301796,0.2966666666666667,0.1123595505617977,0.1719298245614035,0.9,0.1770876098997318
2021-09-30,310250.0,772012.5,204.6102334361409,303.3870444082305,62.5,135.0,74.5,103.0,5.25,59.0,0.98038626143191,0.2439024390243902,0.1329787234042553,0.3629629629629629,1.45,-0.0104517571681618
2021-10-31,401250.0,372216.25,211.1620803834179,203.7562396902213,56.0,68.0,62.0,90.0,2.75,84.0,1.02743695730749,0.3657407407407407,0.1402439024390244,0.1518518518518518,1.55,0.032021110758968
2021-11-30,284009.0,474500.0,179.77247805044604,294.06473395371034,40.333333333333336,56.5,51.0,51.333333333333336,1.5333333333333332,84.66666666666667,0.988084241894848,0.1971014492753623,0.1773049645390071,0.1875,1.85,-0.1486517005135398
2021-12-31,384675.25,357440.0,220.0759619196194,204.11853932477817,75.0,86.0,78.0,66.0,3.15,156.5,0.9680164090779366,0.1925675675675675,0.1239669421487603,0.2674418604651162,1.84,0.2241916243590065
2022-01-31,426820.0,364212.0,222.81857109851768,213.18253138075315,38.0,98.0,99.0,63.0,5.75,71.5,1.042536925846902,0.6799999999999999,0.1034482758620689,0.5204081632653061,1.67,0.0124621024257978
2022-02-28,329166.6666666667,318558.3333333333,173.4408480006189,189.61639939427684,31.33333333333333,31.33333333333333,45.333333333333336,75.5,1.45,80.33333333333333,0.991473837091404,0.1511627906976743,0.0620689655172413,0.3791208791208791,1.39,-0.2216050612588604
2022-03-31,411099.5,410000.0,209.067393648692,221.11451942740285,144.0,126.0,162.0,169.0,1.2,18.0,1.0147801807759829,0.4652777777777777,0.0769230769230769,0.4444444444444444,1.29,0.2054103520523951
2022-04-30,373467.5,491225.0,287.48001961520805,212.76018629335283,68.5,146.0,73.5,84.5,2.6,97.5,1.010659204577184,0.2830882352941176,0.1818181818181818,0.4041095890410959,1.41,0.3750590878761195
2022-05-31,459000.0,607000.0,355.1332371332371,242.3780800537816,57.0,113.0,79.0,103.5,5.4,174.5,1.0008570697407395,0.2743362831858406,0.2222222222222222,0.4867256637168141,1.77,0.2353318940515687
2022-06-30,337200.0,638000.0,149.03032997431336,316.31997624771066,86.5,60.5,93.0,128.0,1.0,41.5,0.8862955962804271,0.1783625730994151,0.3058823529411764,0.1848739495798319,2.32,-0.5803537534888605
2022-07-31,842375.0,443725.0,252.828545207861,215.11621289461988,64.5,51.5,58.5,130.0,3.75,169.0,0.9577529567925472,0.1181102362204724,0.3815261044176707,0.6372549019607843,2.63,0.6964905415658553
2022-08-31,661633.3333333334,587682.5,361.2619286476582,280.9460661717754,53.66666666666666,52.5,66.5,135.0,7.3,61.0,0.9939070693059632,0.4088050314465408,0.3463035019455252,0.1298076923076923,3.04,0.4288810954896311
2022-09-30,514500.0,523340.0,236.74987295654108,231.54470495984376,64.0,81.0,55.5,136.0,4.5,77.5,0.975192150479073,0.0793650793650793,0.3125692137320043,0.2469135802469135,2.92,-0.3446586695620361
2022-10-31,445240.0,370475.0,278.1867824932953,206.4328326361756,56.0,34.5,64.0,148.5,3.95,52.5,1.0125541851387592,0.2629969418960244,0.3626556939501779,0.0597014925373134,2.66,0.1750239990386841
2022-11-30,239871.25,378200.0,153.34682082263097,227.1305742637056,40.5,31.5,40.5,144.0,8.2,96.5,0.9736604060292096,0.1437499999999999,0.2239160839160839,0.0983606557377049,1.85,-0.4487630956142683
2022-12-31,681020.75,382445.0,247.05315519989065,210.97548930680696,43.0,64.0,64.0,127.5,4.45,74.5,0.9582862909330674,0.0654761904761904,0.2458847736625514,0.1875,1.21,0.6110745164103883
2023-01-31,442500.0,399915.0,260.665845502722,187.32900283814743,28.5,61.0,44.0,123.5,4.9,81.0,0.9738325670606162,0.3136363636363636,0.1598613251155624,0.2131147540983606,1.19,0.0551002487372294
2023-02-28,300000.0,454694.25,170.4045587843242,254.39472293119545,35.0,26.5,44.0,124.5,6.25,106.0,0.940383180683926,0.1014492753623188,0.3701388888888888,0.6538461538461539,1.34,-0.3462720117563512
2023-03-31,262500.0,337966.5,143.2578262325458,229.62743297622333,39.0,34.5,34.666666666666664,83.66666666666667,4.033333333333333,81.0,0.9327552218782232,0.0666666666666666,0.1911307053941908,0.6397058823529411,1.66,-0.1593075487266581
2023-04-30,303449.6666666667,571950.0,180.47211133723104,283.6815687713748,31.666666666666668,38.0,53.5,80.0,5.8,26.666666666666668,1.0244486599606557,0.3942652329749103,0.1490476190476189,0.1133333333333333,1.06,0.259771393182223
2023-05-31,274950.0,444900.0,157.88496240601503,225.6708312320668,55.0,72.0,133.0,263.0,2.4,116.5,0.9924221339076236,0.091743119266055,0.247148288973384,0.2638888888888889,1.54,-0.1251558967413505
2023-06-30,510015.0,442450.0,306.6777942179973,191.9782287901794,54.5,45.0,58.0,141.5,3.05,54.5,0.9819576143820656,0.0714285714285714,0.3462559745087625,0.1176470588235294,1.0,0.9424129413246364
2023-07-31,470450.0,409995.0,260.5127801910006,161.4128956400625,47.5,76.0,58.0,146.5,3.3,46.5,0.97057000651375,0.1043956043956044,0.1522017409114183,0.25,1.0,-0.150532627067811
2023-08-31,559041.0,400000.0,242.15502021251007,217.4570024570025,52.5,45.0,125.0,145.5,3.6,103.5,0.9967525842669048,0.3470873786407767,0.2163120567375886,0.1206896551724138,0.4,-0.0704677903519019
2023-09-30,442500.0,389994.5,215.517620467358,219.15458937198068,85.0,67.0,130.0,318.0,3.7,47.0,0.9893732015276184,0.1529411764705882,0.2861635220125786,0.208955223880597,0.72,-0.1100014351210875
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
