period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,379450.0,254105.75,161.66823066553715,118.88114264216468,33.5,45.0,58.0,179.5,5.2,134.0,0.9308992047415235,0.0846153846153846,0.1862464183381088,0.3111111111111111,0.0,0.0
2019-02-28,289820.0,304500.0,150.0,141.71240256535117,61.0,64.0,120.0,373.0,6.1,66.0,0.9911684899685772,0.1311475409836065,0.1903485254691688,0.421875,0.0,-0.0721739244470155
2019-03-31,304445.0,294950.0,140.94775212636696,139.4159960552904,86.0,69.0,111.0,366.0,4.3,72.0,0.9817932448950746,0.1627906976744186,0.1530054644808743,0.3768115942028985,0.0,-0.0603483191575535
2019-04-30,228000.0,236826.25,108.95905421023735,100.80271458088754,31.666666666666668,44.0,70.5,188.0,9.45,111.66666666666669,0.9939617253043846,0.3691756272401433,0.1634349030470914,0.1149425287356321,0.0,-0.2269542964221954
2019-05-31,304437.5,272988.75,139.15942195920883,163.5968322092665,62.0,44.0,79.5,198.0,5.8,247.0,0.9545564177569574,0.0737704918032786,0.1978891820580474,0.1206896551724138,0.0,0.2771717134282354
2019-06-30,162300.0,243345.0,84.51086956521739,134.12410815701497,52.0,92.0,65.5,197.0,10.35,137.0,0.856829556821376,0.1067961165048543,0.2015915119363395,0.217391304347826,0.12,-0.3927046521507564
2019-07-31,219987.5,282871.25,135.10289674328678,128.25425049436072,44.5,80.0,59.5,192.5,12.05,395.5,0.9589016539671916,0.0511363636363636,0.2027397260273972,0.2,0.12,0.5986452090523966
2019-08-31,232500.0,296900.0,181.67069673110527,144.92753623188406,66.5,108.0,151.0,190.5,10.4,71.0,0.946758880323851,0.0984848484848484,0.2038567493112947,0.25,0.12,0.3446839491258535
2019-09-30,259452.5,313122.5,107.81910719096648,137.3067554069305,46.0,37.5,47.0,174.5,4.25,129.5,0.9799296310173088,0.3895131086142321,0.2686567164179104,0.081081081081081,0.0,-0.4065134931994461
2019-10-31,258450.0,392117.5,123.663951975952,143.87903091060986,42.0,60.0,57.5,177.5,4.1,122.0,0.9389720699894724,0.06875,0.247787610619469,0.1666666666666666,0.0,0.1469576700994337
2019-11-30,271765.0,237562.5,130.79326647366142,134.27179668551122,48.5,64.0,42.5,168.5,11.15,142.0,0.9626325988507408,0.109375,0.1981132075471698,0.203125,0.0,0.0576507089074413
2019-12-31,221732.16666666663,307950.0,125.13729915032516,250.585684504197,34.333333333333336,24.666666666666668,44.5,152.0,10.45,45.0,0.9979819240218396,0.3633333333333333,0.1153846153846153,0.0619047619047619,0.0,-0.0432435665522218
2020-01-31,557682.5,361283.75,220.34838291460807,207.34878182827265,31.0,40.0,52.0,169.5,5.6,89.0,0.9488506941633345,0.1016949152542372,0.1645962732919254,0.275,0.0,0.7608529544009701
2020-02-29,284625.0,301452.25,124.66648301406204,152.38316407746072,43.5,72.0,55.5,165.0,10.8,180.0,0.9805644654406868,0.0697674418604651,0.1634615384615384,0.2361111111111111,0.33,-0.4342300979700213
2020-03-31,439450.0,325772.5,305.29900724284937,121.48645916451504,40.0,50.0,73.5,163.0,10.45,48.5,0.99413178294682,0.0949367088607595,0.1553398058252427,0.2424242424242424,0.33,1.448926125624419
2020-04-30,311700.0,273062.5,171.0004271162606,147.34808238119496,40.5,40.0,57.5,161.0,4.6,95.5,0.9767906376881296,0.1025641025641025,0.1405228758169934,0.6329113924050632,1.11,-0.4398919647313536
2020-05-31,315250.0,271250.0,153.09002086890533,121.1173959067485,44.0,40.5,72.5,178.0,3.9,207.5,0.948922120669146,0.1176470588235294,0.1101449275362318,0.3892405063291139,1.58,-0.1047389562084442
2020-06-30,295115.0,365577.75,145.5598203248607,272.96686728841337,62.5,140.0,69.5,152.0,3.2,218.5,0.9611082295886152,0.0696721311475409,0.1438356164383561,0.2928571428571428,1.98,-0.0491880561600609
2020-07-31,304950.0,452600.0,130.00412712406438,266.9349730892019,72.0,55.0,61.5,142.5,1.85,116.5,0.9702176229075624,0.0948905109489051,0.1428571428571428,0.1788990825688073,1.28,-0.1068680434345075
2020-08-31,347891.0,348726.25,168.11486981687335,164.8055795200783,61.5,72.0,75.5,121.0,2.35,123.0,0.9916016801344604,0.2048319327731091,0.1212121212121212,0.2447552447552447,1.05,0.2931502525026721
2020-09-30,386725.0,310445.0,153.00929112391378,155.4801205888242,55.5,46.5,96.0,103.0,1.45,45.0,0.990764558532174,0.0772727272727272,0.1707317073170731,0.266304347826087,1.76,-0.0898527221858125
2020-10-31,381233.3333333333,268281.6666666667,270.50439485363114,137.19794329078397,44.333333333333336,34.0,47.0,75.66666666666667,3.866666666666666,64.0,1.0316539043646475,0.2282051282051282,0.1538461538461538,0.1599999999999999,2.36,0.767895223006847
2020-11-30,402843.3333333333,557450.0,145.12170379479423,252.1765917905624,35.333333333333336,26.33333333333333,43.5,103.5,5.4,100.33333333333331,0.9970622392348484,0.2605177993527508,0.1375661375661375,0.1428571428571428,2.87,-0.4635144324611842
2020-12-31,335934.5,317800.0,181.0664963360537,161.63492537313434,74.0,56.0,81.0,66.0,2.4,54.0,0.9928771602479836,0.2770114942528735,0.1083333333333333,0.1954545454545454,2.67,0.247687228039207
2021-01-31,268650.5,372865.5,138.80989780069007,171.93864673720338,36.5,88.0,51.0,60.5,2.6500000000000004,103.5,0.9384338049419372,0.1642857142857142,0.1181818181818181,0.534090909090909,1.98,-0.2333761319208205
2021-02-28,334600.0,429271.0,171.68231512625437,221.19862092068428,40.0,81.0,41.5,54.5,3.15,85.0,0.9786601683190944,0.4038461538461538,0.1414141414141414,0.5432098765432098,1.82,0.2368160905410656
2021-03-31,1290133.3333333333,344500.0,452.57547040739126,210.12393428115485,38.0,30.666666666666668,46.0,47.0,6.85,29.0,1.0035917526190354,0.1220238095238094,0.1111111111111111,0.1259259259259259,2.3,1.6361216650332877
2021-04-30,271787.25,881304.25,184.9486399319184,261.3288864871963,49.0,43.5,54.5,54.5,2.0,42.0,0.9743785974844962,0.3537234042553191,0.1546391752577319,0.2710843373493976,3.15,-0.5913418821275607
2021-05-31,377500.0,453950.0,158.32762085032033,258.36226807440005,61.0,95.0,50.5,55.0,7.9,67.0,0.9883206148637074,0.2438016528925619,0.0947368421052631,0.5052631578947367,2.75,-0.1439373606175074
2021-06-30,348375.0,321407.75,196.67801312720528,235.49160555989937,71.5,47.5,39.0,44.0,10.25,36.5,1.0012685431352226,0.2570422535211267,0.2058823529411764,0.1968085106382978,1.37,0.2422217429335378
2021-07-31,367997.0,374900.0,180.39068627450985,191.91167753408416,85.0,60.0,85.0,89.0,1.0,19.0,1.014195688182948,0.4941176470588235,0.1573033707865168,0.5833333333333333,1.03,-0.0828121384476325
2021-08-31,372250.0,413298.75,209.1781859391156,246.50650825318365,29.0,27.666666666666668,58.5,70.5,6.2,39.66666666666666,1.008261751197862,0.3192771084337349,0.1596638655462184,0.160337552742616,0.9,0.1595841795335171
2021-09-30,317250.0,772012.5,204.35224769428424,303.3870444082305,53.5,106.0,54.0,68.5,5.05,59.5,0.9808750849089916,0.2619047619047619,0.1512605042016806,0.3679245283018867,1.45,-0.0230709441482392
2021-10-31,417250.0,372216.25,210.48607801251177,203.7562396902213,46.5,48.5,54.5,69.5,2.7,84.0,1.0278725538931448,0.3609550561797752,0.1300813008130081,0.1822916666666666,1.55,0.0300159669758264
2021-11-30,299666.6666666667,474500.0,182.80675340274843,294.06473395371034,31.0,47.0,36.5,35.333333333333336,1.5,84.66666666666667,0.9888170156028848,0.2199233716475095,0.1612903225806451,0.1935483870967741,1.85,-0.131501925785885
2021-12-31,415326.5,357440.0,221.7101613645914,204.11853932477817,52.5,65.0,62.0,46.0,3.15,156.0,0.9677874303161093,0.203883495145631,0.1358024691358024,0.3076923076923077,1.84,0.2128116562309565
2022-01-31,436375.0,364212.0,222.81857109851768,213.18253138075315,32.0,78.0,86.0,47.5,5.65,71.5,1.0437501831571456,0.7142857142857142,0.1176470588235294,0.5769230769230768,1.67,0.0049993637057688
2022-02-28,342750.0,318558.3333333333,175.01787357475897,189.61639939427684,26.666666666666668,26.666666666666668,32.666666666666664,51.5,1.25,79.33333333333333,0.9923910377028746,0.1712962962962962,0.0618556701030927,0.3874458874458875,1.39,-0.2145274394683375
2022-03-31,448900.0,410000.0,219.05341698795644,221.11451942740285,106.0,95.0,128.0,118.0,1.1,13.0,1.017579053589469,0.5283018867924528,0.0847457627118644,0.4947368421052631,1.29,0.2516059789424174
2022-04-30,389950.0,491225.0,290.4479779586292,212.76018629335283,57.0,108.0,58.0,62.5,2.55,96.5,1.011322647719795,0.2831858407079646,0.1983471074380165,0.4074074074074073,1.41,0.3259230645765185
2022-05-31,467975.0,607000.0,356.83861066653617,242.3780800537816,48.5,91.0,66.5,82.0,5.3,174.5,1.0024216478522958,0.2760416666666666,0.2064516129032258,0.5054945054945054,1.77,0.2285801167373369
2022-06-30,380775.0,638000.0,153.99617456788638,316.31997624771066,59.0,48.0,70.5,97.5,1.1,40.0,0.88802728147088,0.2327586206896551,0.3195876288659793,0.1702127659574468,2.32,-0.5684430721209286
2022-07-31,855347.5,443725.0,257.69601286908284,215.11621289461988,52.0,41.5,48.0,101.0,3.7,169.0,0.9572967052674968,0.1274509803921568,0.387434554973822,0.6280487804878049,2.63,0.6733923007644731
2022-08-31,671333.3333333334,587682.5,361.5480830736496,280.9460661717754,41.0,43.5,48.0,101.5,7.3,61.66666666666666,0.9928833328201996,0.4214876033057851,0.3210526315789473,0.1395348837209302,3.04,0.4030022391433998
2022-09-30,543750.0,523340.0,236.6388019143485,231.54470495984376,50.5,64.0,48.5,108.5,4.55,75.5,0.9735859851067844,0.0808080808080808,0.2844827586206896,0.28125,2.92,-0.3454845621014019
2022-10-31,453250.0,370475.0,278.66879451056786,206.4328326361756,48.5,27.5,50.5,118.0,3.7,51.5,1.0122864057226648,0.2730496453900709,0.3431372549019608,0.0660377358490566,2.66,0.1776124298137382
2022-11-30,252380.75,378200.0,154.65706100605783,227.1305742637056,31.5,25.0,30.0,115.5,7.75,98.5,0.974890520372677,0.1451612903225806,0.1809360730593607,0.0729166666666666,1.85,-0.445014784387016
2022-12-31,726245.0,382445.0,250.15541772157232,210.97548930680696,31.0,46.0,46.0,101.0,4.35,76.5,0.9581256238270176,0.0749999999999999,0.2322703474535934,0.2391304347826087,1.21,0.6174846210983789
2023-01-31,464725.0,399915.0,263.2542446117632,187.32900283814743,23.0,38.0,35.0,105.0,4.75,80.5,0.9709455780106566,0.3295454545454545,0.165,0.2368421052631578,1.19,0.0523627551603544
2023-02-28,429995.0,444388.5,215.655818829956,219.880291461802,54.0,40.0,67.0,202.0,3.7,70.0,0.9879487710450569,0.1851851851851851,0.2722772277227723,0.25,1.34,-0.1808078188900751
2023-03-31,269966.6666666667,337966.5,145.8391188428968,229.62743297622333,29.33333333333333,26.5,30.0,74.0,4.166666666666667,79.0,0.9301729803754026,0.0620155038759689,0.1898584905660377,0.6057692307692307,1.66,-0.323741322473239
2023-04-30,313333.0,571950.0,181.2410288232537,283.6815687713748,24.33333333333333,33.0,44.5,69.66666666666667,5.9,30.666666666666668,1.0244692464770102,0.3990610328638497,0.1568483063328424,0.1153846153846153,1.06,0.2427463239029381
2023-05-31,288750.0,444900.0,159.49813737012903,225.6708312320668,39.5,63.0,107.0,216.0,2.8,112.5,0.988600291217864,0.0769230769230769,0.2361111111111111,0.2698412698412698,1.54,-0.1199667183214258
2023-06-30,522632.5,442450.0,308.9986273600832,191.9782287901794,48.0,36.5,37.0,107.5,2.85,54.5,0.9812339922071736,0.0652173913043478,0.3511016346837241,0.125,1.0,0.9373180932077316
2023-07-31,496770.0,409995.0,261.99410095579447,161.4128956400625,36.5,57.0,47.0,113.0,3.3,46.0,0.9690345673637462,0.1159420289855072,0.1677897574123989,0.2456140350877192,1.0,-0.1521188841706836
2023-08-31,578250.0,400000.0,243.22641484688305,217.4570024570025,45.5,28.5,93.0,115.5,3.5,101.0,0.9967441019340824,0.3398876404494382,0.2297297297297297,0.1296296296296296,0.4,-0.0716340025994632
2023-09-30,450000.0,389994.5,215.96901408450705,219.15458937198068,69.0,53.0,100.0,244.0,3.5,50.0,0.9911391772766088,0.1739130434782608,0.3073770491803278,0.2075471698113207,0.72,-0.1120659562389027
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
