period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.0,0.0
2019-02-28,,,,,,,,,,,,,,,0.0,
2019-03-31,,,,,,,,,,,,,,,0.0,
2019-04-30,60000.0,,13.380909901873329,,1.0,,,,,149.0,1.001669449081803,1.0,,,0.0,
2019-05-31,,,,,,,,,,,,,,,0.0,0.0
2019-06-30,,,,,,,,,,,,,,,0.0,0.0
2019-07-31,,,,,,,,,,,,,,,0.7,0.0
2019-08-31,310000.0,308500.0,128.099173553719,136.65184557617704,1.0,1.0,2.0,3.0,3.0,37.0,1.000322684737012,1.0,,0.0,0.7,8.573278236914598
2019-09-30,,,,,,,,,,,,,,,0.81,0.0
2019-10-31,,,,,,,,,,,,,,,0.1,0.0
2019-11-30,,,,,,,,,,,,,,,0.1,0.0
2019-12-31,,,,,,,,,,,,,,,0.0,0.0
2020-01-31,,,,,,,,,,,,,,,0.28,0.0
2020-02-29,310000.0,,140.52583862194015,,1.0,,,,,251.0,0.8051948051948052,0.0,,,0.83,0.0970081595648231
2020-03-31,,,,,,,,,,,,,,,0.83,0.0
2020-04-30,,,,,,,,,,,,,,,2.16,0.0
2020-05-31,225000.0,337250.0,84.36445444319459,144.2282724775974,3.0,,1.0,3.0,1.0,162.0,0.9106318483801096,0.0,,,2.43,-0.39965165644617
2020-06-30,305000.0,,121.7418944691672,,2.0,1.0,,1.0,0.5,166.0,1.0149295868207786,0.5,,0.0,3.02,0.4430472557745288
2020-07-31,,,,,,,,,,,,,,,1.97,0.0
2020-08-31,,,,,,,,,,,,,,,1.15,0.0
2020-09-30,190000.0,182700.0,77.88269362627103,121.51942999379315,1.5,1.0,1.0,1.0,0.75,529.0,0.9058802787843322,0.0,,0.0,1.07,-0.3602638272891679
2020-10-31,,,,,,,,,,,,,,,0.5,0.0
2020-11-30,174900.0,,40.29953917050691,,1.0,,,,,274.0,0.8749374687343671,0.0,,,1.09,-0.4825610505475217
2020-12-31,,,,,,,,,,,,,,,0.59,0.0
2021-01-31,,,,,,,,,,,,,,,1.28,0.0
2021-02-28,,,,,,,,,,,,,,,2.03,0.0
2021-03-31,,,,,,,,,,,,,,,2.36,0.0
2021-04-30,105000.0,,39.56292388847023,,1.0,,,,,73.0,0.9545454545454544,0.0,,,3.25,-0.0182785038538547
2021-05-31,,,,,,,,,,,,,,,2.69,0.0
2021-06-30,462500.0,292450.0,166.35748325651096,156.1261222653153,2.5,4.0,1.0,1.0,0.6499999999999999,110.0,0.9948961810959696,0.125,,0.0,3.27,3.204883433931239
2021-07-31,,,,,,,,,,,,,,,1.99,0.0
2021-08-31,150000.0,,70.6547338671691,,1.0,,,,,37.0,0.8828722778104767,0.0,,,1.36,-0.5752837054031124
2021-09-30,230000.0,,84.3108504398827,,1.0,1.0,,3.0,3.0,62.0,0.9387755102040816,0.0,0.3333333333333333,0.0,0.71,0.1932795698924732
2021-10-31,430000.0,379000.0,189.3939393939394,156.06595995288575,3.0,2.0,1.0,1.0,0.2999999999999999,64.0,0.9653564267277353,0.3333333333333333,,0.0,1.47,1.246376811594203
2021-11-30,,,,,,,,,,,,,,,1.82,0.0
2021-12-31,284900.0,,158.984375,,1.0,,,,,18.0,1.0,0.0,,,1.93,-0.1605625
2022-01-31,,,,,,,,,,,,,,,1.21,0.0
2022-02-28,,,,,,,,,,,,,,,1.24,0.0
2022-03-31,,,,,,,,,,,,,,,1.77,0.0
2022-04-30,,,,,,,,,,,,,,,2.06,0.0
2022-05-31,,,,,,,,,,,,,,,2.82,0.0
2022-06-30,,,,,,,,,,,,,,,2.53,0.0
2022-07-31,,,,,,,,,,,,,,,2.66,0.0
2022-08-31,2975000.0,,995.9825912286576,,1.0,,,,,284.0,0.9153846153846152,0.0,,,1.72,5.264657084878043
2022-09-30,,,,,,,,,,,,,,,1.46,0.0
2022-10-31,,,,,,,,,,,,,,,2.15,0.0
2022-11-30,,,,,,,,,,,,,,,2.23,0.0
2022-12-31,,,,,,,,,,,,,,,2.35,0.0
2023-01-31,,,,,,,,,,,,,,,2.01,0.0
2023-02-28,,,,,,,,,,,,,,,2.13,0.0
2023-03-31,,,,,,,,,,,,,,,2.82,0.0
2023-04-30,425500.0,399900.0,156.72427783187277,181.72727272727272,2.0,2.0,1.0,2.0,1.0,40.0,1.0640160040010005,1.0,,0.0,1.72,-0.8426435570138474
2023-05-31,,,,,,,,,,,,,,,2.22,0.0
2023-06-30,,,,,,,,,,,,,,,1.59,0.0
2023-07-31,,,,,,,,,,,,,,,2.11,0.0
2023-08-31,,,,,,,,,,,,,,,1.79,0.0
2023-09-30,330000.0,,87.27849775191747,,1.0,1.0,,,,43.0,1.1578947368421053,1.0,,0.0,2.07,-0.4431079922056098
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
