period_begin,occupancy,age_median,airport_distance,airport_volume,railroad_distance,asset_value_momentum,rank_desirability,rank_fiscal_health_tax,CPI,Inflation,Avg_household_size,Median_household_income,Employment_in_industry,Employment_in_services,Employment_in_agriculture,Labor_force_participation_rate,Real_GDP_per_capita,Real_GDP_per_worker,Prop_GVA_industries,Prop_GVA_construction,Male_15_64,Female_15_64,Prop_further_educ,Pop_growth,Real_GDP_growth,Unemp_growth,remote_work_share
2019-01-31,0.90396096,36.59417934,10.25260685,172868553.0,1.64750182,0.06758586,31.0,3.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,4.95
2019-02-28,0.90426299,36.59417934,10.25260685,172868553.0,1.64750182,0.06758586,31.0,10.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,5.12
2019-03-31,0.90426299,36.59417934,10.27050784,172868553.0,1.65032874,0.06758586,31.0,10.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,4.27
2019-04-30,0.90178978,36.59417934,10.27050784,172868553.0,1.65032874,0.0656091,31.0,10.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,4.43
2019-05-31,0.90178978,36.59417934,10.27050784,172868553.0,1.65032874,0.0656091,31.0,10.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,4.67
2019-06-30,0.90217197,36.59417934,10.27050784,172868553.0,1.65032874,0.04014059,31.0,10.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,4.83
2019-07-31,0.90217197,36.59417934,10.27050784,172868553.0,1.65032874,0.04014059,31.0,10.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,4.21
2019-08-31,0.90301023,36.63063083,10.6942216,269208069.0,2.22964134,0.05716501,25.0,3.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,4.62
2019-09-30,0.90301023,36.63063083,10.6942216,269208069.0,2.22964134,0.05716501,25.0,3.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,5.23
2019-10-31,0.9030103,36.63063083,10.6942216,269208069.0,2.22964134,0.05343835,25.0,3.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,5.1
2019-11-30,0.9030103,36.63063083,10.6942216,269208069.0,2.22964134,0.05343835,25.0,3.0,117.92,1.67,2.63,70262.0,13.39,86.51,0.09,68.54,61232.1,136305.37,32.92,5.06,1.33,1.34,65.12,1.56,3.88,-3.7,4.89
