period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,140500.0,170700.0,87.7762588288904,105.06514793391376,102.0,98.0,178.0,460.0,4.5,49.0,0.9662562029284016,0.1274509803921568,0.1782608695652173,0.2448979591836734,7.44,0.0
2019-02-28,153500.0,172000.0,97.04455227172474,101.94391230310772,121.0,112.0,156.0,443.0,3.7,47.0,0.9790707453148366,0.1322314049586776,0.1760722347629796,0.2946428571428571,6.68,0.1055899803260218
2019-03-31,152500.0,179900.0,94.69384116320802,104.92677543855784,154.0,111.0,190.0,457.0,3.0,40.0,0.9746431727821728,0.1428571428571428,0.2669584245076586,0.3153153153153153,7.14,-0.0242230094682154
2019-04-30,163925.0,194900.0,101.93798877744884,109.72408060222948,154.0,142.0,204.0,463.0,3.0,46.0,0.9844285811691544,0.2272727272727272,0.2116630669546436,0.2605633802816901,8.46,0.0765007261850883
2019-05-31,179000.0,179900.0,103.16586373021336,103.37899430677592,181.0,160.0,226.0,478.0,2.6,48.0,0.9738246288573732,0.1270718232044199,0.2594142259414226,0.30625,9.57,0.0120453127189434
2019-06-30,169900.0,178400.0,103.58057525610718,107.124842370744,168.0,153.0,211.0,477.0,2.8,32.0,0.981801883233737,0.1666666666666666,0.2452830188679245,0.2549019607843137,8.67,0.0040198522156351
2019-07-31,175000.0,178500.0,102.6504774383102,104.97900419916016,226.0,161.0,213.0,473.0,2.1,40.0,0.9753630094933,0.1504424778761062,0.281183932346723,0.2111801242236024,7.33,-0.0089794617909513
2019-08-31,192000.0,181200.0,105.75589459084604,110.2727578935036,175.0,152.0,196.0,462.0,2.6,43.0,0.977572159120579,0.1485714285714285,0.2705627705627705,0.2763157894736842,2.31,0.0302523400770551
2019-09-30,172000.0,189900.0,109.1825307950728,107.22743596254398,153.0,123.0,167.0,465.0,3.0,39.0,0.9663446221792322,0.1045751633986928,0.2193548387096774,0.1869918699186991,4.54,0.032401373157344
2019-10-31,184500.0,180000.0,102.7690371302706,108.6709486166008,133.0,103.0,174.0,487.0,3.7,52.0,0.9687038709009071,0.1052631578947368,0.2217659137577002,0.2524271844660194,2.88,-0.0587410240273676
2019-11-30,176700.0,159950.0,101.86682175050888,104.02123193141075,126.0,87.0,116.0,473.0,3.8,36.0,0.9764973282344064,0.1349206349206349,0.2093023255813953,0.2183908045977011,4.05,-0.0087790584105412
