period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,115000.0,272450.0,121.05263157894736,144.14531186690152,5.0,4.0,5.0,10.0,2.0,16.0,0.9556054630629246,0.0,0.1,0.25,0.98,0.0
2019-02-28,155000.0,293950.0,152.25287066562356,174.31905171396295,3.0,2.5,6.0,14.0,4.65,41.0,0.9807894457268956,0.1666666666666666,0.4375,0.25,2.09,0.2577411054986296
2019-03-31,219125.0,323474.75,138.5091845337144,174.2574483402877,3.5,3.5,5.5,14.0,4.0,106.5,0.9288097878083792,0.0,0.3020833333333332,0.4166666666666666,3.32,-0.0902688144520632
2019-04-30,229875.0,319448.0,152.66721252370206,170.2817484054595,4.5,4.5,10.0,19.5,4.45,52.0,0.969013425450692,0.0,0.227142857142857,0.35,3.05,0.1022172503408354
2019-05-31,236000.0,303225.0,159.27084006586756,171.1480730577171,6.0,8.0,7.0,16.5,2.75,46.0,0.9747032487954076,0.1666666666666666,0.1860902255639097,0.3333333333333332,3.0,0.0432550475835815
2019-06-30,213250.0,322350.0,160.86519112337896,174.8649493809072,5.0,4.5,4.5,13.5,3.55,29.5,0.9956328689077184,0.375,0.3382352941176471,0.25,2.32,0.0100103136070108
2019-07-31,215500.0,291375.0,142.97502085929187,172.16763995115696,7.0,3.5,6.0,14.0,2.05,54.5,0.9502662219973264,0.0,0.1769230769230769,0.2999999999999999,2.36,-0.1112121904008794
2019-08-31,162750.0,321100.0,156.02412699578804,175.1313717330461,4.0,2.0,6.0,17.5,9.35,23.5,0.9852996937341564,0.0,0.2039473684210526,0.3333333333333333,2.16,0.0912684331715423
2019-09-30,80000.0,269900.0,102.49671484888304,150.55762081784383,3.0,4.0,4.0,17.0,5.7,98.0,0.9519895439067544,0.0,0.2352941176470588,0.25,2.51,-0.3430713773412108
2019-10-31,204625.0,350725.0,148.72718229190014,180.60633510075087,4.5,5.5,9.5,19.5,5.2,57.0,0.9685508858224146,0.0,0.4239130434782608,0.4166666666666666,2.35,0.4510434067196924
