period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,193799.0,235000.0,217.9735682819384,120.13163470218686,13.0,12.0,29.0,84.0,6.5,84.0,0.9678111370593748,0.0769230769230769,0.2023809523809523,0.1666666666666666,2.49,0.0
2019-02-28,215000.0,236450.0,211.37393054856568,120.94607384011437,11.0,15.0,44.0,101.0,9.2,136.0,0.9627190974641276,0.0,0.1782178217821782,0.1333333333333333,2.38,-0.030277238590857
2019-03-31,182500.0,239900.0,184.971098265896,121.66616746301534,25.0,23.0,42.0,115.0,4.6,34.0,0.9632898945518916,0.08,0.208695652173913,0.217391304347826,2.6,-0.1249105422515826
2019-04-30,214900.0,245000.0,168.96086287513072,121.97560975609755,18.0,19.0,37.0,123.0,6.8,27.0,0.9758960778847304,0.0555555555555555,0.2195121951219512,0.2105263157894736,2.43,-0.0865553350813247
2019-05-31,225000.0,244700.0,228.19179664933569,121.44613413777428,29.0,24.0,31.0,118.0,4.1,40.0,0.9738090662805372,0.0344827586206896,0.2288135593220339,0.2083333333333333,2.91,0.3505600809933076
2019-06-30,195900.0,244900.0,184.21052631578948,123.13850897972998,25.0,25.0,31.0,116.0,4.6,46.0,0.9639389942878256,0.16,0.2327586206896551,0.16,2.9,-0.1927381745502999
2019-07-31,201750.0,237999.0,197.623595505618,122.81447569217354,16.0,14.0,31.0,120.0,7.5,58.0,0.9744359842041256,0.1875,0.1833333333333333,0.4285714285714285,2.39,0.0728138041733548
2019-08-31,223500.0,239900.0,175.77197149643706,122.8040001724212,25.0,21.0,31.0,118.0,4.7,73.0,0.950632685953048,0.12,0.1949152542372881,0.2857142857142857,2.85,-0.1105719383015665
2019-09-30,185000.0,239900.0,145.12024294649626,123.66205135758824,18.0,9.0,28.0,124.0,6.9,31.0,0.955318547567062,0.0,0.2419354838709677,0.2222222222222222,3.83,-0.1743834826962848
2019-10-31,156000.0,239500.0,138.29787234042553,122.84081693014195,15.0,10.0,28.0,129.0,8.599999999999998,55.0,0.9689626548382668,0.2,0.3023255813953488,0.2,3.38,-0.0470118466421396
2019-11-30,239000.0,238200.0,217.04394141145136,124.6137601930742,15.0,12.0,25.0,126.0,8.4,41.0,0.9605427800685185,0.0666666666666666,0.1587301587301587,0.25,3.44,0.5693946532828023
2019-12-31,285000.0,232000.0,253.55871886121,122.2796485744056,19.0,9.0,18.0,119.0,6.3,100.0,0.9765031173228104,0.0526315789473684,0.1176470588235294,0.2222222222222222,3.05,0.1682367967163727
2020-01-31,289000.0,249900.0,188.57142857142856,126.87454811591869,13.0,17.0,29.0,110.0,8.5,66.0,0.9825866719248604,0.0769230769230769,0.3454545454545454,0.2941176470588235,2.9,-0.2563007518796993
2020-02-29,211500.0,250000.0,181.02396670493687,127.35215053763442,22.0,14.0,54.0,126.0,5.7,80.0,0.9726995600142164,0.0909090909090909,0.1349206349206349,0.2142857142857142,3.48,-0.040024418988971
2020-03-31,252000.0,250000.0,201.4098690835851,126.2332168947673,21.0,17.0,33.0,128.0,6.1,81.0,0.9526753295884712,0.0952380952380952,0.2109375,0.2941176470588235,3.9,0.1126143833312225
2020-04-30,160000.0,244990.0,193.7984496124031,128.6638824389405,17.0,17.0,12.0,110.0,6.5,56.0,0.9630393068866516,0.2352941176470588,0.1545454545454545,0.1764705882352941,7.4,-0.0377906976744186
2020-05-31,222500.0,255000.0,173.2793838598058,128.6764705882353,14.0,14.0,40.0,124.0,8.9,74.0,0.9328395179561932,0.0,0.2016129032258064,0.2857142857142857,6.04,-0.105878379283402
2020-06-30,199500.0,254945.0,184.0,128.89079051466575,25.0,21.0,49.0,138.0,5.5,90.0,0.9518052610030104,0.04,0.217391304347826,0.0952380952380952,5.7,0.0618689650285684
2020-07-31,189000.0,253130.0,180.12422360248448,131.17494385523088,21.0,19.0,36.0,140.0,6.7,45.0,0.9685043710198245,0.0476190476190476,0.2,0.3157894736842105,5.9,-0.0210640021604104
2020-08-31,151050.0,262000.0,151.9452786902255,132.94457667460046,28.0,24.0,47.0,153.0,5.5,32.0,0.9519669732089135,0.2142857142857142,0.2418300653594771,0.0416666666666666,6.96,-0.156441728650817
2020-09-30,205000.0,260000.0,209.46372239747635,133.04393564356437,17.0,16.0,34.0,151.0,8.9,65.0,0.959776355516948,0.0,0.1920529801324503,0.25,6.6,0.3785470940792774
2020-10-31,163000.0,265000.0,175.0,134.88975356679637,15.0,16.0,34.0,158.0,10.5,41.0,0.9713285009489712,0.1333333333333333,0.1835443037974683,0.25,6.61,-0.1645331325301204
2020-11-30,279250.0,259945.0,204.37294678580105,135.69296375266526,20.0,18.0,34.0,162.0,8.099999999999998,77.0,0.9660505556797476,0.05,0.1728395061728395,0.1666666666666666,6.7,0.1678454102045774
2020-12-31,180000.0,269900.0,187.69551616266943,137.80551222048882,19.0,20.0,19.0,121.0,6.4,58.0,0.9618011305913629,0.0526315789473684,0.256198347107438,0.1,6.7,-0.0816029268326344
2021-01-31,239500.0,269990.0,230.42124167405487,142.64764169639318,26.0,15.0,29.0,120.0,4.6,71.0,0.9510491707147342,0.0,0.1833333333333333,0.2,7.44,0.2276331709189925
2021-02-28,293500.0,285000.0,257.62751202393366,143.61078546307152,20.0,16.0,28.0,115.0,5.8,97.0,0.968743331752112,0.2,0.0869565217391304,0.125,8.58,0.1180718850060003
2021-03-31,252500.0,280000.0,196.8735313389496,145.02118162684462,22.0,27.0,40.0,117.0,5.3,59.0,0.9635654486912046,0.0454545454545454,0.1623931623931624,0.2962962962962962,8.23,-0.2358210123123031
2021-04-30,210250.0,285000.0,193.05503439649783,148.25799021019293,34.0,27.0,39.0,112.0,3.3,46.0,0.9901213104151844,0.1764705882352941,0.2321428571428571,0.2222222222222222,7.29,-0.019395684714354
2021-05-31,281000.0,299700.0,212.12121212121207,148.99858792549082,37.0,26.0,36.0,102.0,2.8,64.0,0.978733679835595,0.1081081081081081,0.0980392156862745,0.1538461538461538,6.69,0.098760323885447
2021-06-30,249250.0,295000.0,224.7557003257329,153.85996763626315,35.0,27.0,48.0,106.0,3.0,55.0,0.9807329363501452,0.2,0.160377358490566,0.2592592592592592,5.52,0.0595625872498839
2021-07-31,268500.0,302900.0,236.61758265367675,155.55555555555554,40.0,30.0,43.0,107.0,2.7,36.0,0.9934950436872227,0.275,0.2242990654205607,0.2999999999999999,6.19,0.0527767807924457
2021-08-31,197500.0,300000.0,220.42391629136023,156.70456548563368,36.0,36.0,34.0,95.0,2.6,40.0,0.987280391431872,0.1666666666666666,0.3684210526315789,0.3333333333333333,6.3,-0.0684381362564177
2021-09-30,280000.0,305000.0,228.30734720607808,160.3905160390516,42.0,25.0,43.0,94.0,2.2,38.0,0.9704301899604104,0.1904761904761904,0.1702127659574468,0.2399999999999999,7.73,0.0357648618505506
2021-10-31,233000.0,310000.0,207.65027322404373,161.6198201773455,31.0,30.0,36.0,92.0,3.0,54.0,0.97625746084926,0.064516129032258,0.1195652173913043,0.2666666666666666,7.33,-0.0904792343953283
