period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,146437.5,151086.25,93.13256048387096,188.33464926295028,304.25,1368.0,666.75,2009.75,3.725,86.25,0.9646491815708144,0.3626479493531516,0.3689526184538653,0.3969298245614035,3.28,0.0
2019-02-28,146961.25,273816.6666666667,204.1009063442717,141.29054595553214,382.0,382.75,900.3333333333334,2733.6666666666665,6.3,92.0,0.989371833289692,0.4063525935653316,0.1439855028137998,0.3565815324165029,3.37,1.191509664116006
2019-03-31,163000.0,209300.0,100.65029916592415,132.7443426496785,504.25,939.5,1073.0,2109.25,2.625,223.25,0.9440165170172704,0.0293240556660039,0.4681268229119095,0.2263999999999999,3.11,-0.5068601067544989
2019-04-30,195750.0,181525.0,120.01357808488628,122.37812227067724,551.25,718.0,875.5,2196.75,7.825,55.25,0.9806575232276036,0.1158629056718228,0.2283086320976365,0.1468401486988847,3.42,0.1923817323885084
2019-05-31,181250.0,214783.3333333333,123.7278526289701,149.34884686086025,830.0,733.6666666666666,1212.0,3070.0,6.733333333333333,67.33333333333333,0.9540185420852724,0.0505497452400107,0.1868121390432603,0.145719489981785,3.84,0.0309487859903376
2019-06-30,202960.0,181975.0,133.10817143663746,122.51867943839396,458.0,407.6,802.0,1887.2,3.92,308.8,0.970136676819522,0.0284210526315789,0.3961384617724444,0.2335879743716116,3.22,0.0758141243734074
2019-07-31,224287.5,221962.5,117.26032329003114,124.93503880097953,594.0,685.6666666666666,799.0,2386.25,2.975,35.0,0.9573026082827318,0.1927845651385024,0.2731160182264283,0.237575954861111,3.25,-0.1190599192788871
2019-08-31,164627.0,192975.0,118.30700444013164,122.93336519154082,462.0,476.25,716.5,1869.2,5.26,180.6,0.981676161274968,0.3202696824706393,0.1749383441663209,0.4169299631384939,3.4,0.0089261322221638
2019-09-30,178333.33333333334,199409.0,117.2472228648916,104.8950116061208,634.3333333333334,818.5,833.3333333333334,3048.333333333333,2.9,40.66666666666666,0.984635015634138,0.285781295807681,0.3148700279163637,0.1750305997552019,4.0,-0.0089578937464884
2019-10-31,219687.5,233075.0,140.89085208226282,134.38383479428256,966.0,845.5,1357.5,4520.5,3.7,57.5,1.00773433136791,0.2998442367601246,0.3094736842105262,0.1889086595492289,3.81,0.2016561982420399
2019-11-30,197691.66666666663,203500.0,128.3207190654334,125.8120363514016,597.6666666666666,728.0,1065.5,2839.6666666666665,4.766666666666667,39.0,0.9883129849177308,0.3756524981357196,0.2549562567911191,0.1816930488644184,3.69,-0.0892189438210653
2019-12-31,235980.0,204380.0,107.3306238101924,102.39967457820016,442.0,303.5,333.4,1958.25,9.875,52.8,0.9717759306241168,0.0220308250226654,0.1370847761959728,0.5723738626964433,3.84,-0.1635752621097588
2020-01-31,1406633.0,214950.0,252.8026861940416,115.533098315707,447.3333333333333,707.0,1413.0,2652.333333333333,5.966666666666666,236.0,0.9495094290365385,0.0323383084577114,0.259114747220474,0.1970983722576079,3.77,1.3553639885770865
2020-02-29,175280.0,228238.0,114.2928541641152,109.97816292958916,344.8,522.3333333333334,591.4,1663.0,6.48,123.8,0.968092202764282,0.2885780885780885,0.2668745261830367,0.1554845580404685,4.04,-0.5478969947479577
2020-03-31,256691.4,185480.0,140.7583442219929,106.11711466213993,405.8,351.2,605.6,1710.2,6.94,63.8,0.9716727281520596,0.422441917943648,0.2844417575815248,0.4418338108882521,4.56,0.2315585716310437
2020-04-30,170960.0,298422.125,98.42532383570146,146.04450129662695,321.2,480.3333333333333,568.0,1715.2,6.5,59.2,0.928388580167493,0.0947017104714225,0.1868041720379702,0.2742234585071859,10.69,-0.3007496331409465
2020-05-31,165690.0,238623.5,105.9964627338251,146.85647226970855,315.2,412.2,741.0,1675.6,4.66,85.4,0.962617220218984,0.262108626198083,0.2306861804222648,0.4844768856447688,8.86,0.0769226719615565
2020-06-30,233534.16666666663,242350.0,121.73070051936752,132.25084612544845,381.1666666666667,454.2,787.0,1610.8,2.74,73.83333333333333,0.9928745592702508,0.2426707710348871,0.2017720849391672,0.11653603034134,8.17,0.148441159070126
2020-07-31,185866.66666666663,226283.3333333333,117.3361971135904,143.58272939710167,933.6666666666666,757.3333333333334,1108.3333333333333,2658.6666666666665,4.2,81.0,0.9780135970141974,0.2156160458452722,0.2126150025255705,0.3228108903605591,8.5,-0.0361002063327314
2020-08-31,283875.0,211787.5,133.66971915316913,142.95832677254714,591.0,552.5,767.0,1951.0,2.25,54.5,0.9735926264208622,0.1451377485860244,0.2062114746325272,0.3287205770690964,9.5,0.1392027561943789
2020-09-30,215440.0,248725.0,132.6681338905876,128.5960616717456,472.0,516.5,719.5,1907.25,2.45,97.8,0.9776070026754712,0.144408877507469,0.2747044211108973,0.1746779290228488,10.5,-0.0074929854639241
2020-10-31,256937.5,307472.5,133.83491098146789,214.51894555051288,611.5,546.0,758.75,1866.5,1.95,90.5,0.971035799243714,0.039543960558751,0.4789476656166825,0.2409603869184707,9.97,0.0087947049277299
2020-11-30,209442.25,219152.0,130.2380037342722,129.2806723091879,533.75,920.0,787.3333333333334,1777.0,2.325,62.5,0.957481997371307,0.142235294117647,0.416025641025641,0.2191408374116367,8.97,-0.0268757024667034
2020-12-31,252100.0,365750.0,128.46173115588678,142.88019246822137,536.4,351.8,503.0,1601.75,2.725,56.4,0.9971745338268728,0.2636363636363636,0.2546657780922693,0.1803194523673702,9.64,-0.0136386655772887
2021-01-31,224933.3333333333,237133.3333333333,143.64475796810123,170.0136110927343,565.0,630.3333333333334,931.0,2075.6666666666665,2.2,46.66666666666666,0.9843040595510476,0.2393639482713117,0.2823485214404551,0.3275008837044892,9.41,0.1181910493934572
2021-02-28,317773.75,294449.1666666667,127.97356059035206,169.52876442669324,420.5,585.6666666666666,788.6666666666666,1483.75,2.075,69.75,0.9789619522787972,0.2060143626570915,0.1700185905019435,0.3388571428571428,10.7,-0.1090968970912897
2021-03-31,157120.0,352212.5,97.53879076716018,143.450026820148,554.6,657.75,834.75,1412.25,2.375,64.0,0.944466847098718,0.0379746835443038,0.4708318542184357,0.2361036980556614,9.93,-0.2378207629981842
2021-04-30,295448.0,245700.0,140.80335259795663,144.32311098222505,568.8,564.4,746.4,1156.4,1.7,18.6,1.0244347586844935,0.6291005291005292,0.2328767123287671,0.5806780464675201,8.86,0.4435626225270261
2021-05-31,235250.0,254937.5,131.93305491294626,163.6347807403619,573.2,948.6666666666666,898.0,1173.4,3.3,64.8,0.9041110805109508,0.2576923076923076,0.214017094017094,0.5973916108565386,9.36,-0.0629977732869628
2021-06-30,247600.0,299475.0,138.81986880134085,179.84421707279125,792.5,960.6666666666666,989.0,1578.25,1.425,22.25,1.002842525066234,0.2860943934114666,0.2700555996822875,0.4510786360473208,8.87,0.0521993058747767
2021-07-31,215100.0,272190.0,143.60967920823393,159.59725091665808,572.0,548.4,755.0,1355.6,3.3200000000000003,19.0,1.0488542850540152,0.5419649122807018,0.3295290660344742,0.3988657153311379,8.6,0.0345037813985227
2021-08-31,246666.66666666663,258733.3333333333,166.017024605763,137.9888123898019,925.6666666666666,893.6666666666666,1078.0,2228.6666666666665,3.1,27.666666666666668,0.9873278031356212,0.2677019381244733,0.241045810489887,0.260450427989695,9.47,0.1560294927268686
2021-09-30,305600.0,165220.0,176.53535975607502,161.42852115754397,515.2,492.2,740.75,1291.4,3.5,30.2,0.958540383660242,0.1158291131021945,0.2726735138499844,0.234094616639478,10.2,0.0633569670055809
2021-10-31,201732.5,235131.16666666663,145.39080924660306,144.34983161863116,415.0,591.0,484.6666666666667,1042.1666666666667,2.9,42.333333333333336,0.9877639946024516,0.4764567373702377,0.2146671634376552,0.5307855626326964,10.31,-0.1764210328882863
2021-11-30,184862.5,273075.0,154.27671071327788,181.7806456774533,610.75,563.0,606.0,1414.0,4.15,46.0,1.0024355828862312,0.5560114895363151,0.2452660291169607,0.2816399286987522,10.76,0.0611173533782529
2021-12-31,236980.0,286712.5,176.73770815963374,125.53949973272282,551.4,900.0,508.75,1018.6,1.78,37.2,0.9771130111353126,0.1939752457226065,0.270858193553229,0.4755283648498332,10.47,0.1455890350689384
2022-01-31,162870.0,313380.0,127.69367669191524,172.31119740400547,373.6,1094.0,914.6666666666666,960.8,2.12,66.6,0.9753978604676078,0.0472864051585169,0.499845876960097,0.2602927721866422,12.32,-0.2774961380817542
2022-02-28,280000.0,253266.66666666663,168.48846102300152,206.3003178920418,738.3333333333334,774.6666666666666,911.6666666666666,1498.0,1.7666666666666666,79.33333333333333,0.965046682872006,0.2070821387254161,0.1738774903360094,0.3639954042797644,11.78,0.3194738015846414
2022-03-31,251290.0,306850.0,168.51529445759732,168.68353579998143,589.6,555.6,821.0,1088.5,1.3,98.0,0.97004783286318,0.2688601271571298,0.2732381391064025,0.5719934994582883,11.35,0.0001592597762059
2022-04-30,306107.5,235270.0,141.406762665186,152.0003132169434,459.3333333333333,678.75,699.0,929.2,3.14,38.5,0.9809853980566752,0.5637807687643992,0.388012680562421,0.2526033973412112,11.26,-0.1608668927035137
2022-05-31,300312.5,289133.3333333333,161.9405866745692,166.75079958446364,733.5,688.25,1120.6666666666667,1209.75,3.475,21.25,0.9951689169754596,0.2861168032786885,0.3065237436606731,0.3395947176684881,12.04,0.1452110466456395
