period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,271500.0,299000.0,146.77933673469386,144.95575221238937,80.0,101.0,173.0,346.0,4.3,43.0,0.9826240274340008,0.225,0.2485549132947976,0.3267326732673267,2.76,0.0
2019-02-28,306250.0,311000.0,141.95908532711164,145.23002421307507,128.0,111.0,131.0,318.0,2.5,44.0,0.978627534084394,0.1796875,0.2610062893081761,0.2612612612612612,2.63,-0.0328401225595869
2019-03-31,266000.0,315000.0,141.66666666666666,149.528706083976,149.0,124.0,209.0,358.0,2.4,39.0,0.972929109117194,0.1879194630872483,0.1871508379888268,0.3064516129032258,2.55,-0.0020598798574333
2019-04-30,287000.0,325000.0,145.44491374774236,152.35774547049454,144.0,157.0,228.0,388.0,2.7,29.0,0.9862757741294502,0.2916666666666666,0.2809278350515463,0.3312101910828025,3.56,0.0266699793958284
2019-05-31,299749.5,313000.0,145.28044400284256,151.57116451016637,168.0,161.0,215.0,409.0,2.4,31.0,0.9810795885967972,0.2142857142857142,0.3129584352078239,0.3354037267080745,2.34,-0.0011308043757725
2019-06-30,300500.0,325000.0,148.1103166496425,148.7328791657941,151.0,147.0,188.0,422.0,2.8,25.0,0.9820102259562288,0.2317880794701986,0.2867298578199052,0.3333333333333333,2.76,0.0194786894149674
2019-07-31,279500.0,310000.0,149.1968206053003,147.9482527044151,144.0,145.0,206.0,444.0,3.1,32.0,0.9787587400715458,0.2013888888888889,0.3063063063063062,0.3241379310344827,2.08,0.0073357749833724
2019-08-31,270000.0,264500.0,142.28456913827657,149.13232104121474,153.0,138.0,181.0,452.0,3.0,29.0,0.9854707124622714,0.2483660130718954,0.2964601769911504,0.1739130434782608,1.9,-0.0463297504529943
2019-09-30,265000.0,299450.0,146.59534346809554,151.83118854501788,134.0,122.0,178.0,463.0,3.5,33.0,0.9802657161709206,0.2014925373134328,0.3369330453563714,0.3360655737704917,2.38,0.0302968505715446
2019-10-31,250500.0,275000.0,145.1394470421727,144.36741767764298,138.0,125.0,175.0,454.0,3.3,37.0,0.9815496125927986,0.2028985507246376,0.2885462555066079,0.256,2.47,-0.0099313961240501
2019-11-30,307250.0,269250.0,147.23658861405983,153.68243755384944,116.0,108.0,120.0,407.0,3.5,36.0,0.9845680470702924,0.189655172413793,0.2407862407862407,0.1944444444444444,2.27,0.0144491495222369
