period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,192900.0,188500.0,104.3338683788122,106.7371761772518,69.0,64.0,93.0,109.0,1.6,36.0,,0.0,,0.109375,1.89,0.0
2019-02-28,194900.0,239900.0,107.24248927038629,112.21461187214612,75.0,69.0,96.0,130.0,1.7,32.0,,0.0,,0.072463768115942,0.48,0.0278780125453947
2019-03-31,204900.0,199949.5,107.6125946592268,101.48908536324706,109.0,106.0,105.0,126.0,1.2,33.0,,0.0,,0.0471698113207547,4.23,0.0034511077778824
2019-04-30,209925.0,221600.0,101.0228419490349,108.26198149471765,92.0,90.0,123.0,157.0,1.7,32.0,0.9139574569334727,0.0108695652173913,,0.0777777777777777,2.23,-0.0612358872217462
2019-05-31,218900.0,239000.0,107.11225364181662,111.45404663923182,119.0,116.0,123.0,159.0,1.3,34.0,0.920245644112553,0.0,,0.0344827586206896,0.94,0.0602775726291067
2019-06-30,225000.0,221370.5,111.62182380329185,111.42044444485256,118.0,112.0,124.0,165.0,1.4,35.0,0.9754064193413922,0.0,,0.0982142857142857,1.7,0.0421013470275326
2019-07-31,247000.0,217000.0,114.15752741774676,109.84271910040609,133.0,122.0,120.0,152.0,1.1,36.0,0.9814917783462388,0.0,,0.0655737704918032,0.94,0.0227169161733418
2019-08-31,219900.0,215000.0,104.74765917602996,103.33333333333331,123.0,121.0,110.0,136.0,1.1,34.0,,0.0,,0.0661157024793388,1.81,-0.0824288021523315
2019-09-30,219900.0,232250.0,104.93827160493828,109.21478246805756,99.0,95.0,104.0,140.0,1.4,32.0,,0.0,,0.0526315789473684,3.28,0.0018197297238691
2019-10-31,212000.0,239950.0,104.91004497751123,113.42921100406468,107.0,101.0,105.0,138.0,1.3,34.0,,0.0,,0.0198019801980198,2.05,-0.0002689831554812
2019-11-30,255000.0,203900.0,113.96409233399828,113.22081004259394,97.0,93.0,74.0,115.0,1.2,34.0,,0.0,,0.043010752688172,2.48,0.0863029594394693
2019-12-31,224900.0,221250.0,110.21307861866276,109.499551775296,87.0,82.0,83.0,111.0,1.3,34.0,0.99493198186183,0.0,,0.0365853658536585,2.19,-0.03291399631686
2020-01-31,204000.0,220000.0,113.15789473684212,110.1994301994302,87.0,83.0,124.0,148.0,1.7,34.0,,0.0,,0.0843373493975903,1.69,0.0267192982456141
2020-02-29,218500.0,252000.0,108.47876354558966,116.4506953943503,98.0,96.0,89.0,138.0,1.4,33.0,0.9916424504387024,0.010204081632653,,0.0625,1.7,-0.0413504616901381
2020-03-31,249950.0,210000.0,108.71673343717612,107.9136690647482,106.0,101.0,100.0,130.0,1.2,36.0,,0.0,,0.0891089108910891,1.86,0.0021937002580827
2020-04-30,199900.0,215000.0,115.0966936993138,113.91661773341164,87.0,82.0,95.0,136.0,1.6,34.0,,0.0,,0.1097560975609756,3.54,0.0586842527403976
2020-05-31,214900.0,247900.0,111.63636363636364,119.05572096980008,91.0,87.0,150.0,194.0,2.1,34.0,1.03506942733575,0.0219780219780219,,0.1264367816091954,4.49,-0.0300645479182065
2020-06-30,250950.0,262450.0,119.01887892634694,119.95674184443033,124.0,119.0,150.0,218.0,1.8,37.0,0.9913280488498236,0.0080645161290322,,0.042016806722689,2.95,0.0661300229558765
2020-07-31,234900.0,244900.0,116.46586345381526,119.05687894992708,135.0,131.0,148.0,230.0,1.7,38.0,0.9661036540401616,0.0,,0.0458015267175572,2.7,-0.0214505084870744
2020-08-31,249900.0,247000.0,119.05956112852664,121.50537634408602,135.0,138.0,126.0,216.0,1.6,37.0,0.975585654655422,0.0,,0.0652173913043478,4.82,0.0222700248621769
2020-09-30,255000.0,249500.0,119.93179234558544,120.07389162561576,111.0,106.0,131.0,231.0,2.1,41.0,0.977186334187892,0.0,0.0043290043290043,0.0188679245283018,4.26,0.0073260073260073
2020-10-31,236250.0,242500.0,118.09859306892236,121.0412147505423,132.0,130.0,120.0,210.0,1.6,38.0,0.97581317764804,0.0,,0.0384615384615384,6.35,-0.0152853487870896
2020-11-30,220000.0,259900.0,118.83513386566464,122.25187995138268,95.0,92.0,116.0,224.0,2.4,37.0,,0.0,,0.0760869565217391,3.91,0.006236660214169
2020-12-31,242750.0,257625.0,122.7188940092166,127.96038265900448,118.0,113.0,78.0,167.0,1.4,41.0,0.9907941354611348,0.0084745762711864,,0.0176991150442477,2.7,0.0326819183621427
2021-01-31,244900.0,237450.0,121.38508371385085,123.61030163164924,71.0,75.0,106.0,174.0,2.5,44.0,0.9886558951400296,0.0140845070422535,,0.0666666666666666,3.67,-0.0108688259141708
2021-02-28,227250.0,260000.0,115.6458612484968,127.80790085205268,66.0,65.0,93.0,193.0,2.9,38.0,1.0083666515000436,0.0151515151515151,,0.0461538461538461,4.33,-0.0472811179904402
2021-03-31,260000.0,249450.0,124.63840399002494,127.91723431176624,127.0,100.0,147.0,223.0,1.8,41.0,0.9828026816784328,0.0551181102362204,0.0313901345291479,0.07,3.89,0.0777593131690652
2021-04-30,249999.0,250000.0,124.00461627236008,130.30528667163068,127.0,139.0,155.0,230.0,1.8,35.0,0.971523955443973,0.0,0.0434782608695652,0.1007194244604316,3.95,-0.0050850115002722
2021-05-31,249950.0,267500.0,128.17522353516188,131.93202146690518,136.0,118.0,139.0,227.0,1.7,36.0,0.9964610205036376,0.0735294117647058,0.0308370044052863,0.0762711864406779,3.21,0.03363267746131
2021-06-30,267500.0,294250.0,131.9033530571992,132.27835529523105,161.0,151.0,131.0,194.0,1.2,38.0,0.97810367667551,0.0434782608695652,0.0360824742268041,0.0794701986754966,4.07,0.0290861948137317
2021-07-31,293000.0,285000.0,131.0298058827835,138.43111404087014,120.0,106.0,136.0,216.0,1.8,35.0,1.0021189442905425,0.0749999999999999,0.0277777777777777,0.1132075471698113,3.37,-0.0066226305409908
2021-08-31,259500.0,260100.0,138.60544217687075,135.77661431064573,138.0,135.0,144.0,207.0,1.5,35.0,0.979023990850291,0.0579710144927536,0.0676328502415458,0.1037037037037037,2.33,0.0578161300251351
2021-09-30,279900.0,273200.0,135.93835993395706,138.8898583033959,125.0,118.0,137.0,219.0,1.8,35.0,0.9810073532479262,0.048,0.0410958904109589,0.1440677966101695,3.27,-0.0192422620715736
2021-10-31,280000.0,265000.0,136.62921550622085,140.81377151799688,126.0,116.0,114.0,208.0,1.7,36.0,0.9865809752794122,0.0476190476190476,0.0144230769230769,0.0948275862068965,3.83,0.0050821237846288
2021-11-30,265500.0,239900.0,137.12347523027134,133.69379624359703,126.0,119.0,94.0,170.0,1.3,36.0,0.9739880996693224,0.0238095238095238,0.0176470588235294,0.0924369747899159,3.41,0.0036175258872652
2021-12-31,251475.0,266250.0,139.06588714701198,145.45404580837652,102.0,85.0,81.0,146.0,1.4,38.0,0.9515827427505869,0.0196078431372549,0.0547945205479452,0.1294117647058823,3.45,0.0141654221750049
2022-01-31,265850.0,274000.0,142.24730127576055,148.8095238095238,77.0,68.0,109.0,174.0,2.3,40.0,0.945516082318006,0.0389610389610389,0.0229885057471264,0.1029411764705882,5.11,0.022877027530018
2022-02-28,249900.0,310000.0,139.1207568169171,156.9678407350689,97.0,89.0,93.0,169.0,1.7,32.0,0.9967835119035104,0.0412371134020618,0.029585798816568,0.1123595505617977,3.58,-0.0219796399003896
2022-03-31,295000.0,300000.0,155.87570621468927,158.71559633027522,101.0,95.0,126.0,188.0,1.9,37.0,0.9774954089007072,0.0495049504950495,0.0159574468085106,0.1578947368421052,4.23,0.1204345762711864
2022-04-30,287450.0,280000.0,158.6411570853167,157.9275808936826,128.0,110.0,121.0,185.0,1.4,33.0,1.0256103674552195,0.0859375,0.0378378378378378,0.1454545454545454,2.31,0.0177413847082659
2022-05-31,306500.0,317950.0,157.66726250413933,158.87676016739948,124.0,118.0,126.0,186.0,1.5,34.0,1.0157625871464198,0.096774193548387,0.053763440860215,0.1016949152542372,3.18,-0.0061389780500252
2022-06-30,296000.0,295000.0,159.84848484848484,155.9515803631473,131.0,122.0,128.0,177.0,1.4,32.0,0.9831429858386636,0.0687022900763358,0.0790960451977401,0.081967213114754,4.66,0.0138343389090569
2022-07-31,312000.0,315000.0,156.9368131868132,160.5973813420622,115.0,105.0,132.0,193.0,1.7,31.0,0.9760166988342904,0.0347826086956521,0.0725388601036269,0.1428571428571428,3.19,-0.0182151971251496
2022-08-31,322000.0,300750.0,157.84464455670252,155.3379950148656,126.0,125.0,114.0,176.0,1.4,32.0,0.958546032835118,0.0476190476190476,0.1193181818181818,0.096,2.6,0.0057846935429271
2022-09-30,306000.0,299000.0,154.64787635395237,159.22273781902553,110.0,101.0,97.0,159.0,1.4,34.0,0.9547425681750092,0.0272727272727272,0.0754716981132075,0.099009900990099,3.81,-0.0202526237854194
2022-10-31,302125.0,274900.0,158.59721796611657,158.7301587301587,100.0,89.0,90.0,149.0,1.5,35.0,0.9662079851433832,0.02,0.0671140939597315,0.0786516853932584,3.19,0.0255376388300676
