period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.3,0.0
2019-02-28,,,,,,,,,,,,,,,0.49,
2019-03-31,,,,,,,,,,,,,,,0.66,
2019-04-30,,,,,,,,,,,,,,,0.93,
2019-05-31,,,,,,,,,,,,,,,1.28,
2019-06-30,,,,,,,,,,,,,,,1.32,
2019-07-31,,,,,,,,,,,,,,,1.18,
2019-08-31,657000.0,,122.94161676646706,,1.0,,,1.0,1.0,56.0,0.9733333333333332,0.0,,,1.42,
2019-09-30,,,,,,,,,,,,,,,2.17,0.0
2019-10-31,657000.0,,122.94161676646706,,1.0,,,,,131.0,0.98796992481203,0.0,,,2.51,0.0
2019-11-30,,,,,,,,,,,,,,,2.5,0.0
2019-12-31,,,,,,,,,,,,,,,2.24,0.0
2020-01-31,317600.0,,192.8354584092289,,1.0,,,,,34.0,1.0082539682539682,1.0,,,2.4,0.5685124653560414
2020-02-29,,,,,,,,,,,,,,,3.42,0.0
2020-03-31,,,,,,,,,,,,,,,3.85,0.0
2020-04-30,,,,,,,,,,,,,,,7.27,0.0
2020-05-31,,,,,,,,,,,,,,,9.28,0.0
2020-06-30,334500.0,,203.0965391621129,,1.0,,,,,61.0,0.948936170212766,0.0,,,11.36,0.053211586901763
2020-07-31,,,,,,,,,,,,,,,9.48,0.0
2020-08-31,,,,,,,,,,,,,,,8.65,0.0
2020-09-30,375500.0,389900.0,172.56433823529412,161.84971098265896,1.0,1.0,3.0,3.0,3.0,62.0,0.9753246753246751,0.0,,0.0,9.96,-0.150333437747296
2020-10-31,301000.0,,192.948717948718,,2.0,2.0,,1.0,0.5,12.0,0.9123976962715972,0.0,,1.0,11.16,0.1181262590050875
2020-11-30,,,,,,,,,,,,,,,13.09,0.0
2020-12-31,485000.0,,138.57142857142858,,1.0,,,,,45.0,0.9918200408997954,0.0,,,11.99,-0.2818224964404368
2021-01-31,,,,,,,,,,,,,,,12.78,0.0
2021-02-28,,,,,,,,,,,,,,,12.62,0.0
2021-03-31,,,,,,,,,,,,,,,13.34,0.0
2021-04-30,,,,,,,,,,,,,,,12.55,0.0
2021-05-31,,,,,,,,,,,,,,,11.42,0.0
2021-06-30,,,,,,,,,,,,,,,10.62,0.0
2021-07-31,464300.0,,297.62820512820514,,1.0,1.0,,8.0,8.0,12.0,1.1610402600650165,1.0,,0.0,10.6,1.1478324081416864
2021-08-31,742500.0,,222.7722772277228,,1.0,,,8.0,8.0,51.0,0.9580645161290322,0.0,,,11.08,-0.2515081790324196
2021-09-30,465000.0,,298.0769230769231,,1.0,,,7.0,7.0,91.0,1.0333333333333334,1.0,,,12.86,0.3380341880341879
2021-10-31,,,,,,,,,,,,,,,14.07,0.0
2021-11-30,843500.0,,507.0048309178744,,2.0,,,4.0,2.0,139.0,0.9923529411764704,0.0,,,15.13,0.7009194327567398
2021-12-31,,,,,,,,,,,,,,,14.8,0.0
2022-01-31,,,,,,,,,,,,,,,16.11,0.0
2022-02-28,,,,,,,,,,,,,,,16.44,0.0
2022-03-31,,,,,,,,,,,,,,,18.5,0.0
2022-04-30,,,,,,,,,,,,,,,18.13,0.0
2022-05-31,,,,,,,,,,,,,,,18.85,0.0
2022-06-30,,,,,,,,,,,,,,,17.64,0.0
2022-07-31,1000000.0,,249.6255616575137,,1.0,,,2.0,2.0,13.0,0.9615384615384616,0.0,0.5,,18.78,-0.5076465815807019
2022-08-31,599000.0,,128.81720430107526,,1.0,1.0,,1.0,1.0,207.0,1.0,0.0,,0.0,17.06,-0.4839582795698924
2022-09-30,,,,,,,,,,,,,,,16.46,0.0
2022-10-31,590000.0,,327.77777777777777,,1.0,,,2.0,2.0,79.0,0.9849749582637728,0.0,,,15.43,1.5445186421814134
2022-11-30,,,,,,,,,,,,,,,16.8,0.0
