period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,462295.0,425000.0,232.879590797418,233.1144657175585,8.0,6.0,6.0,7.0,0.9,14.0,0.9729948974322404,0.125,0.1428571428571428,0.6666666666666666,6.27,0.0
2019-02-28,390000.0,564850.0,245.17441860465115,213.5515896642057,3.0,1.0,6.0,9.0,3.0,17.0,1.0147622449789633,0.6666666666666666,0.2222222222222222,1.0,6.29,0.0527947844855516
2019-03-31,265625.0,584492.5,270.0153262297475,234.59458478688,6.0,12.0,8.0,5.0,0.8,18.0,0.9929423810071132,0.0,0.2,0.5,4.22,0.1013193291799043
2019-04-30,340000.0,572450.0,241.04452628054904,245.25551378812088,11.0,7.0,10.0,7.0,0.5999999999999999,13.0,1.0251717770338948,0.6363636363636364,0.1428571428571428,1.0,3.41,-0.1072931687016466
2019-05-31,376500.0,500000.0,240.17205235440983,229.608938547486,8.0,6.0,10.0,10.0,1.3,9.0,0.9859099150448494,0.5,,0.8333333333333333,4.09,-0.0036195550241358
2019-06-30,359000.0,459900.0,230.73853520780887,249.23312883435585,6.0,8.0,9.0,10.0,1.7,26.0,1.0118814260067854,0.5,0.2,0.625,5.79,-0.039278163525373
2019-07-31,427500.0,458250.0,297.46846290963936,246.56965673094703,8.0,7.0,13.0,14.0,1.8,12.0,1.0034575289917915,0.375,0.2142857142857142,0.7142857142857143,3.79,0.2892014879167532
2019-08-31,382500.0,494500.0,271.9155844155844,257.2330097087379,10.0,9.0,8.0,13.0,1.3,14.0,1.0099688070111734,0.5,0.1538461538461538,0.1111111111111111,3.74,-0.0859011346752983
2019-09-30,410000.0,549500.0,284.09090909090907,266.6151468315301,7.0,8.0,9.0,14.0,2.0,29.0,1.0021997899275323,0.2857142857142857,0.2857142857142857,0.375,5.57,0.0447761194029849
2019-10-31,337500.0,449900.0,242.0523318849576,259.67894239848914,8.0,10.0,16.0,20.0,2.5,26.0,0.9897070159900696,0.25,0.1,0.5,3.58,-0.1479757917649492
2019-11-30,340550.0,557450.0,255.2917256435477,266.7159378361876,2.0,9.0,14.0,24.0,12.0,5.0,1.0138950397652715,1.0,0.0833333333333333,0.8888888888888888,3.93,0.0546964107120542
2019-12-31,439000.0,452500.0,249.5697074010327,260.621896295038,11.0,4.0,3.0,22.0,2.0,5.0,1.007285448156624,0.5454545454545454,0.2272727272727272,0.25,3.54,-0.0224136455190262
2020-01-31,372500.0,565000.0,268.51258829786434,263.89814919842706,8.0,9.0,11.0,21.0,2.6,82.0,0.9859734206685088,0.125,0.1904761904761904,0.3333333333333333,4.89,0.0759021641452357
2020-02-29,410000.0,525000.0,280.43775649794804,247.36415247364152,5.0,8.0,11.0,19.0,3.8,19.0,1.018963395596126,0.5999999999999999,0.1578947368421052,0.5,3.24,0.0444119520640684
2020-03-31,362500.0,532450.0,260.1446212063444,244.7923149578626,8.0,6.0,9.0,20.0,2.5,11.0,1.0138970859368586,0.625,0.2,0.1666666666666666,4.02,-0.0723623507227426
2020-04-30,383000.0,574900.0,266.6151468315301,262.6738794435858,5.0,7.0,15.0,28.0,5.6,54.0,0.9926575722873447,0.2,0.1071428571428571,0.4285714285714285,6.01,0.024872801886814
2020-05-31,446200.0,539900.0,264.2967542503864,254.0872511647607,7.0,8.0,5.0,24.0,3.4,46.0,0.9875487019997627,0.1428571428571428,0.0833333333333333,0.125,5.22,-0.0086956521739129
2020-06-30,508450.0,487450.0,281.44912239089183,258.9398734177215,12.0,13.0,13.0,17.0,1.4,36.0,1.0107150042442692,0.5833333333333333,0.2941176470588235,0.4615384615384615,4.5,0.0648981414439007
2020-07-31,495000.0,594000.0,288.87015250544664,260.9592161016949,13.0,11.0,13.0,16.0,1.2,13.0,1.0069523591852958,0.3076923076923077,0.1875,0.7272727272727272,3.76,0.0263672171066431
2020-08-31,440000.0,519900.0,264.57055214723925,264.57055214723925,15.0,13.0,20.0,22.0,1.5,33.0,1.0001665899171088,0.4666666666666666,0.0909090909090909,0.4615384615384615,7.17,-0.0841194569513346
2020-09-30,485000.0,462400.0,272.23926380368096,270.97963150186325,21.0,16.0,17.0,20.0,1.0,35.0,1.004780572356078,0.5714285714285714,0.2,0.4375,7.52,0.0289855072463767
2020-10-31,487000.0,499990.0,302.09324452902,259.52822304131666,15.0,13.0,13.0,18.0,1.2,32.0,1.0080117422887367,0.4,0.3888888888888889,0.3076923076923077,6.11,0.1096608193404002
2020-11-30,492500.0,515000.0,295.4150883838384,265.223890783936,16.0,13.0,5.0,9.0,0.5999999999999999,30.0,1.0031952065476313,0.3125,0.1111111111111111,0.1538461538461538,6.37,-0.0221062743577508
2020-12-31,645605.5,576950.0,262.6343894919228,287.8538684268434,8.0,5.0,3.0,7.0,0.9,38.0,0.992529815696864,0.25,0.1428571428571428,0.2,7.69,-0.1109648768153745
2021-01-31,262000.0,504950.0,294.11764705882354,277.98990023401893,3.0,2.0,8.0,12.0,4.0,4.0,0.973948349911441,0.3333333333333333,0.0833333333333333,0.5,7.38,0.119874848178894
2021-02-28,340800.0,519950.0,261.34969325153367,276.3041556145004,5.0,11.0,11.0,10.0,2.0,32.0,0.9838470421228778,0.5999999999999999,,0.4545454545454545,7.68,-0.1114110429447855
2021-03-31,425000.0,600000.0,267.77251184834125,246.17996604414265,13.0,16.0,13.0,7.0,0.5,22.0,1.0326681120456067,0.6153846153846154,0.1428571428571428,0.625,8.36,0.0245755735042167
2021-04-30,470000.0,622450.0,299.70647006582385,278.5321321532677,18.0,13.0,19.0,12.0,0.6999999999999998,13.0,1.0254608812192008,0.611111111111111,,0.7692307692307692,7.51,0.1192577908652889
2021-05-31,440000.0,539750.0,314.4171779141104,264.37603053982366,11.0,23.0,25.0,13.0,1.2,6.0,1.0153399314432738,0.2727272727272727,0.2307692307692307,0.782608695652174,6.79,0.0490837179626308
2021-06-30,512000.0,592450.0,281.21861399397386,275.8467023172906,25.0,12.0,12.0,13.0,0.5,6.0,1.01239205789514,0.64,0.3076923076923077,0.5,5.91,-0.1055876276874587
