period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,1.53,0.0
2019-02-28,,,,,,,,,,,,,,,2.66,
2019-03-31,,,,,,,,,,,,,,,3.49,
2019-04-30,,,,,,,,,,,,,,,4.0,
2019-05-31,,,,,,,,,,,,,,,4.38,
2019-06-30,,,,,,,,,,,,,,,4.41,
2019-07-31,,,,,,,,,,,,,,,2.8,
2019-08-31,,,,,,,,,,,,,,,2.29,
2019-09-30,,,,,,,,,,,,,,,3.09,
2019-10-31,,,,,,,,,,,,,,,4.19,
2019-11-30,,,,,,,,,,,,,,,4.01,
2019-12-31,,,,,,,,,,,,,,,3.4,
2020-01-31,,,,,,,,,,,,,,,3.04,
2020-02-29,,,,,,,,,,,,,,,3.9,
2020-03-31,,,,,,,,,,,,,,,4.08,
2020-04-30,,,,,,,,,,,,,,,4.33,
2020-05-31,,,,,,,,,,,,,,,3.36,
2020-06-30,,,,,,,,,,,,,,,2.63,
2020-07-31,,,,,,,,,,,,,,,3.47,
2020-08-31,,,,,,,,,,,,,,,4.8,
2020-09-30,,,,,,,,,,,,,,,5.24,
2020-10-31,,,,,,,,,,,,,,,5.41,
2020-11-30,,,,,,,,,,,,,,,6.25,
2020-12-31,,,,,,,,,,,,,,,7.7,
2021-01-31,,,,,,,,,,,,,,,6.47,
2021-02-28,,,,,,,,,,,,,,,4.94,
2021-03-31,,,,,,,,,,,,,,,4.53,
2021-04-30,92000.0,,71.09737248840804,,1.0,1.0,,,,8.0,0.9209209209209208,0.0,,1.0,4.94,
2021-05-31,,,,,,,,,,,,,,,5.05,0.0
2021-06-30,,,,,,,,,,,,,,,4.32,0.0
2021-07-31,,,,,,,,,,,,,,,4.38,0.0
2021-08-31,,,,,,,,,,,,,,,4.34,0.0
2021-09-30,434000.0,,197.7220956719817,,1.0,,,,,97.0,0.9755001123848056,0.0,,,6.21,1.781004258690699
2021-10-31,,,,,,,,,,,,,,,9.2,0.0
2021-11-30,,,,,,,,,,,,,,,11.77,0.0
2021-12-31,,,,,,,,,,,,,,,11.86,0.0
2022-01-31,,,,,,,,,,,,,,,11.18,0.0
2022-02-28,,,,,,,,,,,,,,,11.85,0.0
2022-03-31,,,,,,,,,,,,,,,14.73,0.0
2022-04-30,,,,,,,,,,,,,,,14.64,0.0
2022-05-31,,,,,,,,,,,,,,,16.03,0.0
2022-06-30,,,,,,,,,,,,,,,13.75,0.0
2022-07-31,,,,,,,,,,,,,,,14.29,0.0
2022-08-31,,,,,,,,,,,,,,,13.86,0.0
2022-09-30,,,,,,,,,,,,,,,16.02,0.0
2022-10-31,,,,,,,,,,,,,,,17.71,0.0
2022-11-30,,,,,,,,,,,,,,,17.98,0.0
2022-12-31,,,,,,,,,,,,,,,18.27,0.0
2023-01-31,,,,,,,,,,,,,,,16.33,0.0
2023-02-28,,,,,,,,,,,,,,,14.75,0.0
2023-03-31,,,,,,,,,,,,,,,11.84,0.0
2023-04-30,,,,,,,,,,,,,,,10.52,0.0
2023-05-31,,,,,,,,,,,,,,,8.96,0.0
2023-06-30,,,,,,,,,,,,,,,8.14,0.0
2023-07-31,,,,,,,,,,,,,,,7.94,0.0
2023-08-31,,,,,,,,,,,,,,,7.44,0.0
2023-09-30,,,,,,,,,,,,,,,9.65,0.0
2023-10-31,,,,,,,,,,,,,,,13.609253668785094,-0.01995727874001405
2023-11-30,,,,,,,,,,,,,,,15.227361327409744,0.0558164532528521
2023-12-31,,,,,,,,,,,,,,,20.34051088571548,0.05164141242718048
2024-01-31,,,,,,,,,,,,,,,12.476206634044646,-0.08425193745375405
2024-02-29,,,,,,,,,,,,,,,17.35226628541946,-0.18759094543789723
2024-03-31,,,,,,,,,,,,,,,19.06585267782211,-0.0023364034506711917
2024-04-30,,,,,,,,,,,,,,,14.429923174381255,-0.032801858174502145
2024-05-31,,,,,,,,,,,,,,,16.21668688058853,0.003408036274969947
2024-06-30,,,,,,,,,,,,,,,15.772243956327436,-0.026483286309917555
2024-07-31,,,,,,,,,,,,,,,8.53244831085205,-0.07087598689490048
2024-08-31,,,,,,,,,,,,,,,17.100710538625712,-0.06412887601843203
2024-09-30,,,,,,,,,,,,,,,17.158968021869658,-0.03335558179818697
2024-10-31,,,,,,,,,,,,,,,15.791452252864836,-0.11248287206901768
2024-11-30,,,,,,,,,,,,,,,21.640400998592373,-0.05607917639563856
2024-12-31,,,,,,,,,,,,,,,15.801088829040527,-0.04951552984424539
2025-01-31,,,,,,,,,,,,,,,12.019284453392029,-0.06466423463228725
