period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,,,,,,,,,,,,,,,0.61,0.0
2019-02-28,,,,,,,,,,,,,,,0.61,
2019-03-31,360321.5,,211.79695122298511,,2.0,,,3.0,1.5,243.0,1.0,0.0,,,0.61,
2019-04-30,308995.0,,284.0027573529412,,1.0,,,3.0,3.0,236.0,0.9935690284409716,0.0,,,0.09,0.3409199505139997
2019-05-31,,,,,,,,,,,,,,,0.89,0.0
2019-06-30,418793.0,,269.2830554574472,,2.0,,,8.0,4.0,,1.0,0.0,0.5,,1.52,-0.0518294330403323
2019-07-31,452500.0,439990.0,318.2137834036568,258.15865747410305,1.0,6.0,10.0,9.0,9.0,,1.0,0.0,0.2222222222222222,0.6666666666666666,1.43,0.1817074151327051
2019-08-31,,,,,,,,,,,,,,,0.63,0.0
2019-09-30,,,,,,,,,,,,,,,0.29,0.0
2019-10-31,412000.0,,291.3719943422914,,1.0,1.0,,5.0,5.0,84.0,0.958161817716691,0.0,0.2,0.0,0.29,-0.0843514343541693
2019-11-30,455000.0,,190.1379022147932,,1.0,,,4.0,4.0,66.0,1.0111335807462387,1.0,,,1.04,-0.3474393356026272
2019-12-31,390995.0,,255.2186684073107,,1.0,,,4.0,4.0,46.0,1.0,0.0,,,1.28,0.3422819197773501
2020-01-31,408995.0,,252.77812113720643,,1.0,,,3.0,3.0,73.0,0.9927183582325028,0.0,,,1.98,-0.0095625734799671
2020-02-29,,,,,,,,,,,,,,,1.52,0.0
2020-03-31,379995.0,,275.2081977878985,,3.0,,,1.0,0.2999999999999999,199.0,0.9954401703987386,0.3333333333333333,,,1.55,0.0887342486358506
2020-04-30,443995.0,,292.2942725477288,,1.0,,,1.0,1.0,220.0,1.0230417401122134,1.0,,,1.9,0.0620841780774221
2020-05-31,,,,,,,,,,,,,,,2.8,0.0
2020-06-30,,,,,,,,,,,,,,,3.0,0.0
2020-07-31,324995.0,,322.4156746031746,,1.0,,,1.0,1.0,394.0,1.0,0.0,,,2.69,0.1030516328387081
2020-08-31,,,,,,,,,,,,,,,,
2020-09-30,,,,,,,,,,,,,,,,
2020-10-31,,,,,,,,,,,,,,,,
2020-11-30,,,,,,,,,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,,
2021-03-31,,,,,,,,,,,,,,,,
2021-04-30,,,,,,,,,,,,,,,,
2021-05-31,,,,,,,,,,,,,,,,
2021-06-30,,,,,,,,,,,,,,,,
2021-07-31,,,,,,,,,,,,,,,,
2021-08-31,,,,,,,,,,,,,,,,
2021-09-30,,,,,,,,,,,,,,,,
2021-10-31,,,,,,,,,,,,,,,,
2021-11-30,,,,,,,,,,,,,,,,
2021-12-31,,,,,,,,,,,,,,,,
2022-01-31,,,,,,,,,,,,,,,,
2022-02-28,,,,,,,,,,,,,,,,
2022-03-31,,,,,,,,,,,,,,,,
2022-04-30,,,,,,,,,,,,,,,,
2022-05-31,,,,,,,,,,,,,,,,
2022-06-30,,,,,,,,,,,,,,,,
2022-07-31,,,,,,,,,,,,,,,,
2022-08-31,,,,,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,
2023-01-31,,,,,,,,,,,,,,,,
2023-02-28,,,,,,,,,,,,,,,,
2023-03-31,,,,,,,,,,,,,,,,
2023-04-30,,,,,,,,,,,,,,,,
2023-05-31,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,
2023-07-31,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,
2023-09-30,,,,,,,,,,,,,,,,
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
