period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,415000.0,497500.0,223.26431181485992,289.9210544357603,11.0,13.0,17.0,20.0,1.8,31.0,0.9916274109586616,0.3636363636363636,0.1,0.5384615384615384,9.95,0.0
2019-02-28,609100.0,527500.0,259.5043733120268,268.84792630280606,22.0,10.0,9.0,16.0,0.6999999999999998,38.0,0.9960723097956884,0.2727272727272727,0.0625,0.1,6.82,0.1623190970495036
2019-03-31,531680.0,574995.0,274.6094752720916,257.8789836347976,8.0,23.0,33.0,23.0,2.9,36.0,0.9869074411955588,0.625,0.0434782608695652,0.8260869565217391,7.2,0.0582075044334704
2019-04-30,396500.0,388600.0,218.12719119426865,202.06563676217675,13.5,32.0,15.5,12.0,2.4,60.5,0.9913075054552996,0.25,0.25,0.6875,6.75,-0.2056822111540708
2019-05-31,411000.0,386575.0,224.87023546410643,211.83874563381087,15.0,14.5,21.0,34.0,1.2,111.0,1.0111010565778795,0.7068965517241379,0.2058823529411764,0.2884615384615384,7.37,0.0309133594620594
2019-06-30,384500.0,410000.0,218.7402554014932,217.4632475456316,15.5,20.0,13.5,20.0,2.1,80.0,1.0092104376126914,0.4568965517241379,0.1470588235294117,0.3499999999999999,7.23,-0.0272600775730129
2019-07-31,356025.0,579945.0,205.16756924131025,301.4264880952381,10.0,22.0,23.0,19.5,3.85,25.0,1.0066800412328551,0.6842105263157895,0.3939393939393939,0.4545454545454545,5.11,-0.062049329398791
2019-08-31,492000.0,540000.0,277.33118971061094,281.6623246269985,21.0,18.0,30.0,45.0,2.1,16.0,0.9927358838539396,0.1428571428571428,0.1555555555555555,0.4444444444444444,4.78,0.3517301527534531
2019-09-30,505000.0,499999.5,253.3783783783784,258.19217289719626,15.0,16.0,15.0,41.0,2.7,28.0,0.9948765477957484,0.2666666666666666,0.1707317073170731,0.375,5.23,-0.0863689776733255
2019-10-31,565000.0,499990.0,259.5499972468476,270.72671443193445,22.0,21.0,23.0,40.0,1.8,35.0,0.9981641703053202,0.3636363636363636,0.275,0.2857142857142857,5.6,0.0243573224675586
