period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,220350.0,374700.0,137.70538522458324,172.8456762419401,25.25,21.25,71.0,92.75,2.45,77.0,0.976288806668543,0.0308641975308641,0.5938566552901023,0.0584415584415584,0.34,0.0
2019-02-28,217700.0,315290.0,127.69447947556831,149.8588574175093,26.75,21.0,51.333333333333336,98.0,3.225,282.75,0.9818448676053068,0.0434782608695652,0.3327814569536423,0.3474025974025974,1.77,-0.0726979974870857
2019-03-31,225237.5,315966.6666666667,130.04866315325145,194.9264646721299,41.0,53.0,78.66666666666667,139.33333333333334,3.6,121.5,0.9424294760433104,0.0547945205479452,0.1950464396284829,0.4583333333333333,2.23,0.01843606463922
2019-04-30,230700.0,249025.0,125.36641008754032,116.90818731582132,43.0,56.333333333333336,72.25,126.25,2.475,72.0,0.9544650388879554,0.0596026490066225,0.2573529411764705,0.1984626135569531,2.48,-0.0360038538819387
2019-05-31,287333.3333333333,308933.3333333333,171.37602174661006,166.57579489304598,70.33333333333333,70.0,78.66666666666667,164.33333333333334,2.2,56.0,0.980211558849167,0.0856102003642987,0.6353383458646615,0.3219954648526077,1.32,0.3670011100018127
2019-06-30,252811.0,315550.0,144.29567748086552,152.83664641917565,53.0,42.5,75.33333333333333,165.0,2.566666666666667,63.75,1.0131548101582817,0.3091397849462365,0.3926829268292682,0.1742424242424242,1.31,-0.1580171134196619
2019-07-31,315566.6666666667,277800.0,161.30437847327354,149.4991751701633,72.66666666666667,57.66666666666666,73.66666666666667,166.0,3.133333333333333,69.0,0.9950091102336494,0.0770519262981574,0.1552631578947367,0.5232323232323232,1.33,0.1178739466721965
2019-08-31,298316.6666666667,321633.3333333333,153.31263054401697,157.7982050602795,58.333333333333336,49.66666666666666,76.33333333333333,173.0,3.8,37.0,0.9581939542440102,0.0684326710816777,0.3982843137254901,0.2838541666666667,1.63,-0.0495445195282204
2019-09-30,274587.5,276287.5,137.36346314222155,139.9654886795738,40.75,32.5,44.0,128.0,3.525,48.0,0.9886211940440124,0.0492700729927007,0.2585877862595419,0.0711206896551724,1.81,-0.1040303551325232
2019-10-31,261415.16666666663,342750.0,144.55541621585573,171.56629904759345,55.66666666666666,62.5,87.0,164.33333333333334,3.533333333333333,83.33333333333333,0.9684437742510396,0.0642857142857142,0.3222506393861892,0.1756756756756756,1.78,0.0523571036221464
