period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,258450.0,269900.0,127.77258566978192,122.41978158228304,2.0,5.0,11.0,21.0,10.5,102.0,0.9859649122807016,0.0,0.2857142857142857,0.4,0.51,0.0
2019-02-28,164750.0,279700.0,105.00202922077922,126.72684458398744,6.0,5.0,5.0,20.0,3.3,50.0,0.9805014328402076,0.0,0.2,0.2,1.39,-0.1782115962484424
2019-03-31,215000.0,274450.0,110.52303860523038,130.78781427412815,9.0,5.0,11.0,22.0,2.4,33.0,0.9913825062258989,0.2222222222222222,0.0909090909090909,0.0,2.48,0.0525800255997204
2019-04-30,203450.0,277500.0,110.2451711469208,130.4878048780488,6.0,11.0,31.0,39.0,6.5,56.0,0.9949964403567116,0.3333333333333333,0.0512820512820512,0.6363636363636364,2.93,-0.0025141134537757
2019-05-31,215000.0,274900.0,129.5961422543701,134.5243619489559,9.0,23.0,20.0,35.0,3.9,57.0,0.9871997046805928,0.1111111111111111,0.0571428571428571,0.3043478260869565,2.42,0.1755267002276297
2019-06-30,205000.0,275000.0,118.51582874529124,130.5318138651472,8.0,12.0,20.0,43.0,5.4,15.0,0.9909471354032344,0.125,0.1627906976744186,0.5,1.32,-0.0854987912165666
2019-07-31,223350.0,279000.0,122.05044751830756,131.521262604121,19.0,22.0,18.0,37.0,1.9,36.0,0.9869439502603948,0.1052631578947368,0.1621621621621621,0.3181818181818181,1.22,0.0298240227523765
2019-08-31,211867.5,277999.5,124.98172832631468,132.98426150121065,14.0,19.0,21.0,36.0,2.6,31.0,0.9870588307058816,0.1428571428571428,0.0277777777777777,0.5789473684210527,1.8,0.0240169607536049
2019-09-30,194250.0,290000.0,111.31763428120064,130.27146941493083,10.0,12.0,14.0,34.0,3.4,36.0,1.0002933917770087,0.2999999999999999,0.088235294117647,0.4166666666666666,2.85,-0.1093287333124284
2019-10-31,220000.0,289900.0,121.15563839701773,140.34267461023052,13.0,12.0,8.0,25.0,1.9,33.0,0.972089141308574,0.1538461538461538,0.28,0.5,2.62,0.0883777685300533
2019-11-30,218483.5,272400.0,133.79144765874526,134.31013431013432,16.0,4.0,10.0,24.0,1.5,56.0,1.001850601496755,0.375,0.0416666666666666,0.5,2.85,0.1042940256756432
2019-12-31,212200.0,275900.0,109.2540650406504,132.12801330008313,4.0,7.0,4.0,19.0,4.8,45.0,0.9278361344537815,0.0,0.263157894736842,0.2857142857142857,3.24,-0.1834002325819888
2020-01-31,160000.0,269900.0,88.88888888888889,133.9969372128637,14.0,12.0,23.0,26.0,1.9,275.0,0.9325319382019696,0.2857142857142857,0.1923076923076923,0.75,4.17,-0.1864019992682578
2020-02-29,210820.0,284900.0,160.47819433817904,134.18375798882713,12.0,13.0,15.0,27.0,2.3,49.0,1.0010677449494418,0.25,0.037037037037037,0.4615384615384615,4.14,0.8053796863045142
2020-03-31,222270.0,289900.0,158.47360367253253,135.70043625787687,22.0,13.0,17.0,27.0,1.2,31.0,1.010158896056784,0.4545454545454545,0.037037037037037,0.0769230769230769,4.1,-0.012491358554435
2020-04-30,230000.0,299900.0,130.98013231922414,138.63773357444242,14.0,12.0,8.0,18.0,1.3,33.0,0.9928824794988728,0.2857142857142857,0.4444444444444444,0.0,3.29,-0.1734892797044011
2020-05-31,215277.5,303900.0,129.60229117878535,141.57597173144876,12.0,10.0,12.0,18.0,1.5,49.0,0.9906429366705548,0.25,0.1111111111111111,0.2,3.1,-0.0105194667011079
2020-06-30,227500.0,299950.0,149.15179487179486,139.34845884606915,20.0,8.0,8.0,16.0,0.8,28.0,1.006173722779906,0.25,0.0625,0.25,3.05,0.1508422691852038
2020-07-31,236000.0,324950.0,136.10149942329872,144.73312295465172,15.0,9.0,10.0,17.0,1.1,31.0,0.9945803613078594,0.2,0.1764705882352941,0.3333333333333333,3.48,-0.0874967375331532
2020-08-31,229000.0,328408.0,130.3170920340294,145.4090909090909,13.0,10.0,11.0,15.0,1.2,27.0,1.003424793810246,0.3076923076923077,0.0666666666666666,0.1,3.94,-0.0425006881906483
2020-09-30,201000.0,331000.0,116.4079822616408,147.11812144212524,11.0,12.0,17.0,17.0,1.5,82.0,0.9801491606406844,0.0,,0.5833333333333333,4.8,-0.1067328126747683
2020-10-31,211000.0,325000.0,125.43103448275862,146.46464646464648,14.0,13.0,12.0,16.0,1.1,21.0,0.996823869351033,0.2142857142857142,0.125,0.0769230769230769,4.63,0.077512315270936
2020-11-30,220000.0,295000.0,128.125,146.15384615384616,11.0,10.0,16.0,21.0,1.9,30.0,1.0019480688477942,0.4545454545454545,0.0476190476190476,0.2999999999999999,4.73,0.0214776632302404
2020-12-31,223000.0,313005.0,128.31858407079645,152.56851278523106,15.0,17.0,20.0,21.0,1.4,28.0,1.0054798087365822,0.4666666666666666,0.1428571428571428,0.3529411764705882,5.06,0.0015109000647528
2021-01-31,225000.0,349900.0,148.76977152899823,156.37463697967087,9.0,8.0,8.0,19.0,2.1,21.0,0.9963280567352976,0.3333333333333333,,0.375,6.09,0.1593782195018485
2021-02-28,230000.0,339065.0,138.63773357444242,152.44521912350598,9.0,14.0,10.0,14.0,1.6,32.0,1.004202048984046,0.5555555555555555,,0.5,7.34,-0.0681054884364117
2021-03-31,259900.0,332559.5,150.18484288354898,156.26985387547649,15.0,16.0,16.0,13.0,0.9,30.0,1.008579092021201,0.4666666666666666,0.0769230769230769,0.5625,6.48,0.0832898014948164
2021-04-30,248750.0,337600.0,153.89551648688314,153.35917156667432,16.0,14.0,24.0,23.0,1.4,31.0,1.0033912566616918,0.1875,0.0434782608695652,0.6428571428571429,6.01,0.0247073774695849
2021-05-31,225900.0,334048.0,134.68501086169442,153.37423312883436,15.0,22.0,23.0,19.0,1.3,22.0,1.0179028938696024,0.8666666666666667,0.0526315789473684,0.4545454545454545,4.73,-0.1248282345303156
2021-06-30,240000.0,315000.0,131.66666666666666,156.1802030456853,17.0,23.0,23.0,19.0,1.1,33.0,1.002416237173488,0.588235294117647,0.0526315789473684,0.3043478260869565,5.47,-0.022410394265233
