period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,488690.0,597470.0,279.96813730227035,295.8064573447488,9.5,12.0,11.5,14.0,1.25,36.0,0.9944928459986742,0.3382352941176471,0.4615384615384615,0.2826086956521738,2.48,0.0
2019-02-28,732500.0,950558.0,466.55913035072194,452.4162872421696,18.0,16.0,18.0,22.0,1.2,35.0,0.9763306368306198,0.0,0.3636363636363636,0.5,2.32,0.6664722451862328
2019-03-31,504049.0,572495.0,296.4689520749304,272.9742226806744,11.0,13.0,17.0,13.0,0.7999999999999999,21.0,0.9914173326392408,0.0263157894736842,0.3599999999999999,0.7619047619047619,1.72,-0.364562961500574
2019-04-30,308883.3333333333,435466.6666666667,203.7088620289885,230.7577112716432,8.0,15.5,10.333333333333334,8.333333333333334,1.1333333333333333,42.0,0.9865459510783134,0.1222222222222221,0.2727272727272727,0.8448275862068966,2.64,-0.3128829828443468
2019-05-31,314733.3333333333,557500.0,218.99966730173435,283.1992554652731,12.333333333333334,9.666666666666666,20.0,34.0,1.0,18.33333333333333,0.9939291368719174,0.284313725490196,0.3823529411764705,0.5606060606060606,2.41,0.0750620523842007
2019-06-30,417496.6666666667,525000.0,246.7713702917406,274.07703412460285,10.0,9.5,16.5,23.5,1.15,12.0,1.004513252799597,0.572463768115942,0.2666666666666666,0.8055555555555556,1.9,0.1268116218265429
2019-07-31,527333.3333333334,541700.0,252.1861969049885,273.24390926244195,7.666666666666667,16.5,15.0,22.0,2.05,40.333333333333336,0.975229396093182,0.2666666666666666,0.2619047619047619,0.564655172413793,1.54,0.0219426856804592
2019-08-31,478465.0,535000.0,224.7681555050564,274.104686859611,12.333333333333334,12.0,11.0,13.0,0.8666666666666667,32.0,0.9968751300212428,0.2549019607843137,0.5405405405405405,0.1956521739130434,1.7,-0.1087214198731973
2019-09-30,291333.3333333333,594962.5,214.74135457122927,278.6965743701052,9.0,5.333333333333333,9.0,18.0,1.7,25.33333333333333,0.9913722876437336,0.4266666666666667,0.4705882352941176,0.4285714285714285,2.15,-0.0446095262529374
2019-10-31,416250.0,566987.5,265.57682671915546,288.68630130625576,11.5,11.0,8.5,13.0,1.55,30.0,0.9922394554971974,0.1136363636363636,0.625,0.5438596491228069,2.84,0.2367288417707367
2019-11-30,323000.0,508475.0,217.2758058019525,284.9558340903419,7.0,4.333333333333333,5.5,9.0,1.05,21.0,0.9927238158188788,0.4509803921568627,0.0714285714285714,0.2121212121212121,2.39,-0.1818721215773873
2019-12-31,404250.0,971500.0,285.9680754282457,439.81837168574106,9.0,4.0,2.0,2.5,0.3999999999999999,33.5,0.9978704827324212,0.15625,0.75,0.1666666666666666,2.01,0.3161524099416131
2020-01-31,460750.0,544000.0,267.41088488715843,299.4484491044124,6.5,9.0,12.0,4.5,1.2999999999999998,63.0,0.996342858000594,0.5416666666666666,0.3214285714285714,0.9375,3.26,-0.0648925251998753
2020-02-29,388750.0,594000.0,257.9625947216783,298.1246827532091,12.0,9.5,10.5,5.0,0.5499999999999999,5.5,1.013030545080124,0.6190476190476191,0.125,0.8083333333333333,3.13,-0.0353324815834147
2020-03-31,354500.0,576100.0,235.9943758076577,279.7223799359524,4.666666666666667,6.333333333333333,15.0,10.5,1.35,26.666666666666668,0.976093042463262,0.4545454545454545,0.0526315789473684,0.5555555555555555,4.97,-0.0851604820370278
2020-04-30,447737.5,553700.0,303.40991907262594,286.00162746504213,10.0,6.0,9.0,13.5,0.95,4.0,1.007397567014091,0.2777777777777777,0.1153846153846153,0.9,10.05,0.2856658894274408
2020-05-31,438750.0,632000.0,226.6787295196386,298.8327193001448,3.5,11.0,11.0,13.5,3.5,9.0,0.9938249967631954,0.2916666666666666,0.2399999999999999,0.7619047619047619,9.13,-0.252896114232246
2020-06-30,419000.0,692175.0,280.0559941727445,288.46660472149284,12.0,12.0,9.5,10.0,0.9,10.5,0.9940422691309015,0.159090909090909,0.5277777777777777,0.6190476190476191,11.15,0.2354754006528057
2020-07-31,281333.3333333333,606500.0,216.0258745037165,297.163277956371,5.666666666666667,5.333333333333333,12.5,14.0,1.2,23.666666666666668,0.9842673108124282,0.376068376068376,0.2592592592592592,0.2142857142857143,10.82,-0.2286332769208033
2020-08-31,331000.0,988000.0,249.3512239051294,475.9401606747271,4.333333333333333,9.0,23.0,15.5,1.85,13.333333333333334,1.0125397546954282,0.7878787878787877,0.5333333333333333,0.3823529411764705,11.85,0.1542655456341624
2020-09-30,438500.0,571250.0,251.55918498216937,308.50629181267925,10.5,14.0,11.5,24.0,1.3,19.0,0.974487348479177,0.1578947368421052,0.4166666666666666,0.7222222222222222,13.13,0.0088548234994028
2020-10-31,382100.0,682500.0,218.33317770630103,314.91622027697935,8.25,9.0,7.5,7.0,0.8666666666666666,652.0,0.9928064174447964,0.3166666666666666,0.4736842105263157,0.2647058823529411,10.71,-0.1320802787551701
2020-11-30,730000.0,1148000.0,480.7574832009773,557.0685813320129,21.0,19.0,13.0,11.0,0.5,17.0,0.9945484723716832,0.2857142857142857,0.5454545454545454,0.631578947368421,11.03,1.2019442406856091
2020-12-31,371125.0,634750.0,252.26384895871533,316.9962255091231,5.0,4.25,7.5,4.5,0.75,33.25,0.9955689278066986,0.3676470588235294,0.6875,0.1785714285714285,11.71,-0.4752783726233581
2021-01-31,680000.0,985000.0,425.89437819420783,491.328323699422,19.0,17.0,20.0,9.0,0.5,13.0,1.002214168923508,0.3157894736842105,0.2222222222222222,0.8235294117647058,12.26,0.6882893841198321
2021-02-28,390000.0,661249.0,254.7597008658992,309.0571635714604,8.666666666666666,9.5,10.0,5.5,0.5,13.333333333333334,1.0253134824561256,0.5634920634920635,0.1,0.9444444444444444,14.33,-0.4018242223668686
2021-03-31,509831.6666666667,613750.0,300.0642725505574,311.48503301930884,7.333333333333333,9.666666666666666,15.5,10.0,0.5,14.333333333333334,1.066637140564875,0.5833333333333334,0.2999999999999999,0.5802469135802469,14.02,0.1778325674377585
2021-04-30,553750.0,1149950.0,309.2011867098984,529.3072824156305,13.5,24.0,22.0,8.0,0.2999999999999999,345.0,1.0428381927956156,0.3846153846153846,0.125,0.9166666666666666,12.36,0.0304498568979136
2021-05-31,540997.5,687500.0,312.8800509209585,331.2126988732001,13.0,15.5,15.5,4.0,0.85,5.0,1.0458891800223906,0.8125,0.4666666666666665,0.9333333333333332,12.2,0.0118979627801742
2021-06-30,509000.0,730000.0,315.73635237318075,336.8278603836306,15.0,10.5,9.5,3.0,0.55,16.5,1.0295453647394257,0.3571428571428571,0.5,0.4444444444444444,10.83,0.0091290622198978
2021-07-31,535000.0,638816.6666666666,307.4702907828359,326.0985098601233,6.666666666666667,7.0,11.333333333333334,9.5,0.8,8.0,1.0491038751462678,0.4666666666666666,0.3382352941176471,1.0,11.53,-0.0261802656812063
2021-08-31,467500.0,702495.0,333.9121793295632,353.1737260185536,12.0,15.5,14.5,8.5,0.6999999999999998,4.5,1.0235428369298427,0.5952380952380952,0.2,0.875,11.77,0.0859981901971889
2021-09-30,509750.0,727500.0,317.851109793816,352.1590233879573,11.0,10.0,8.0,6.5,1.25,5.0,1.0082899718245273,0.5999999999999999,0.4722222222222222,0.8157894736842105,12.56,-0.0480996816827554
2021-10-31,737500.0,1137000.0,498.64773495605135,593.2789375673822,19.0,22.0,16.0,2.0,0.1,8.0,1.0051821685130686,0.263157894736842,0.5,0.7727272727272727,12.2,0.5688091675360665
2021-11-30,509500.0,731875.0,342.0681491873862,342.93422167323905,12.0,7.5,10.0,6.5,1.05,18.5,1.0255403679030928,0.625,0.1547619047619047,0.5795454545454545,15.26,-0.3140084167482789
2021-12-31,588666.6666666666,756250.0,295.5492798360461,343.0919180421173,6.333333333333333,7.0,2.5,1.0,0.6499999999999999,47.0,1.0084248149476285,0.3777777777777777,,0.65,11.43,-0.1359929869584464
2022-01-31,639000.0,748000.0,360.5166151408461,379.48158442053807,4.333333333333333,2.6666666666666665,4.0,1.0,0.4666666666666666,32.333333333333336,0.997958461853123,0.2592592592592592,1.0,0.6666666666666666,15.51,0.2198189599407591
2022-02-28,455000.0,792475.0,271.2672835325627,402.44455305102207,2.333333333333333,10.5,13.0,3.5,1.0,48.0,1.0385170053617605,0.5,,1.0,15.86,-0.2475595516545488
2022-03-31,477500.0,749650.0,315.6568594819905,414.4745310766745,7.0,7.5,9.666666666666666,2.333333333333333,1.0666666666666669,35.0,1.0408162858544625,0.2,,0.4807692307692308,15.13,0.1636377795780128
2022-04-30,530167.0,899248.75,366.189522431348,425.6088458443438,10.333333333333334,5.333333333333333,7.5,3.0,0.3999999999999999,16.333333333333332,1.0824547952761858,0.6172839506172839,,0.6410256410256411,14.58,0.1600873272080456
