period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,480000.0,672450.0,293.26498384119543,313.8249143381623,10.0,11.0,18.0,24.0,2.4,38.0,0.9761741243185806,0.2,0.1666666666666666,0.4545454545454545,2.48,0.0
2019-02-28,574000.0,689950.0,367.5326797385621,308.42072794571254,18.0,10.0,10.0,20.0,1.1,41.0,1.0044586459497755,0.2222222222222222,0.2999999999999999,0.5,3.01,0.2532443352922864
2019-03-31,405000.0,632470.0,333.207719148902,304.7115146881502,14.0,14.0,15.0,18.0,1.3,34.0,0.9972888644347788,0.1428571428571428,0.4444444444444444,0.4285714285714285,1.1,-0.0933929483878183
2019-04-30,338750.0,625000.0,343.6292976014496,314.22018348623845,18.0,17.0,21.0,19.0,1.1,19.0,1.0030271515701954,0.3888888888888889,0.3157894736842105,0.6470588235294118,1.22,0.0312765216819315
2019-05-31,407500.0,640000.0,328.82424107749085,309.15458937198065,22.0,17.0,24.0,24.0,1.1,18.0,0.9896579627145932,0.3181818181818181,0.3333333333333333,0.7058823529411765,2.3,-0.0430843837452126
2019-06-30,393500.0,635000.0,337.83532282573464,314.1123274631128,22.0,17.0,19.0,23.0,1.0,14.0,0.9968269061977688,0.2727272727272727,0.3913043478260869,0.588235294117647,0.97,0.0274039460068888
2019-07-31,420000.0,599990.0,344.44444444444446,312.7606338615513,15.0,14.0,12.0,19.0,1.3,34.0,0.9894310775699408,0.1333333333333333,0.4736842105263157,0.5,1.41,0.0195631456279632
2019-08-31,307500.0,630000.0,327.80095956991266,311.77570093457945,14.0,14.0,12.0,16.0,1.1,40.0,0.9851281830113696,0.2142857142857142,0.4375,0.4285714285714285,2.11,-0.0483197947970277
2019-09-30,361000.0,664950.0,318.37916063675834,312.5,15.0,7.0,8.0,15.0,1.0,20.0,0.98479589622865,0.2666666666666666,0.4,0.7142857142857143,1.12,-0.028742438538057
2019-10-31,350000.0,649950.0,364.18166238217646,315.1553182020472,7.0,6.0,9.0,17.0,2.4,5.0,0.994153631273234,0.1428571428571428,0.5294117647058822,0.3333333333333333,1.96,0.1438614941185632
2019-11-30,350000.0,693990.0,373.23943661971833,313.61623616236164,5.0,9.0,7.0,10.0,2.0,29.0,1.0058817213442168,0.5999999999999999,0.4,0.4444444444444444,1.69,0.0248715824357914
2019-12-31,379750.0,584995.0,355.1365882011044,325.28169014084506,16.0,6.0,3.0,5.0,0.2999999999999999,35.0,0.999215072474284,0.1875,,0.1666666666666666,2.35,-0.0485019712347769
2020-01-31,262500.0,688930.0,336.94181326116376,327.44351636539136,9.0,10.0,8.0,2.0,0.2,55.0,0.9936033544745286,0.2222222222222222,0.5,0.6999999999999998,2.45,-0.051233174909135
2020-02-29,409700.0,629803.0,324.35110694881644,336.91608583183967,10.0,7.0,10.0,4.0,0.4,10.0,1.0064046425493267,0.2999999999999999,,1.0,2.47,-0.0373675982523079
2020-03-31,349000.0,697000.0,367.1562082777036,327.2335597999328,11.0,18.0,18.0,4.0,0.4,3.0,1.0312398178236457,0.6363636363636364,1.0,0.9444444444444444,4.0,0.1319714975896226
2020-04-30,390000.0,650000.0,351.150202976996,318.317596809947,11.0,12.0,14.0,6.0,0.5,2.0,1.018548692648507,0.3636363636363636,0.5,0.9166666666666666,5.05,-0.0435945380735636
2020-05-31,385000.0,699995.0,334.9282296650718,322.7405429461504,13.0,7.0,14.0,13.0,1.0,6.0,1.0020879299459744,0.4615384615384615,0.4615384615384615,0.8571428571428571,5.78,-0.0461966792967707
