period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,420000.0,672450.0,338.6021768374709,313.8249143381623,4.0,15.0,19.0,33.0,8.3,28.0,0.99375,0.0,0.3333333333333333,0.5333333333333333,2.48,0.0
2019-02-28,575852.5,689950.0,308.70665884043933,308.42072794571254,14.0,21.0,19.0,25.0,1.8,53.0,1.0008298898460135,0.1428571428571428,0.52,0.6666666666666666,3.01,-0.0882909799229714
2019-03-31,580990.0,632470.0,307.96617712505565,304.7115146881502,19.0,26.0,32.0,24.0,1.3,25.0,1.004255477333877,0.1578947368421052,0.3333333333333333,0.8076923076923077,1.1,-0.0023986580599364
2019-04-30,551060.0,625000.0,322.1656422327178,314.22018348623845,14.0,30.0,37.0,25.0,1.8,11.0,0.9985855086636752,0.2857142857142857,0.16,0.8333333333333333,1.22,0.0461072226834058
2019-05-31,664770.0,640000.0,322.4974435667357,309.15458937198065,18.0,33.0,38.0,30.0,1.7,23.0,0.9984128376480867,0.1666666666666666,0.2333333333333333,0.6666666666666666,2.3,0.0010299091228922
2019-06-30,543105.0,635000.0,311.15611587982835,314.1123274631128,37.0,15.0,22.0,34.0,0.9,9.0,0.997563875728464,0.054054054054054,0.2352941176470588,0.6666666666666666,0.97,-0.035167186323945
2019-07-31,525000.0,599990.0,307.72140631953715,312.7606338615513,29.0,25.0,30.0,35.0,1.2,33.0,0.9946196364654628,0.1724137931034482,0.3142857142857142,0.5999999999999999,1.41,-0.0110385410570483
2019-08-31,509995.0,630000.0,308.51441985244804,311.77570093457945,21.0,25.0,30.0,37.0,1.8,19.0,0.9977563154222224,0.1428571428571428,0.2702702702702702,0.64,2.11,0.0025770502689286
2019-09-30,499995.0,664950.0,296.4623717217788,312.5,27.0,13.0,23.0,42.0,1.6,38.0,0.997742069222236,0.037037037037037,0.3333333333333333,0.3076923076923077,1.12,-0.039064780623328
2019-10-31,554522.5,649950.0,306.4040943480196,315.1553182020472,14.0,18.0,11.0,32.0,2.3,38.0,1.0074201523983464,0.2857142857142857,0.5,0.3888888888888889,1.96,0.0335345176134893
2019-11-30,509995.0,693990.0,308.5927903871829,313.61623616236164,25.0,19.0,24.0,34.0,1.4,26.0,1.0280111811656274,0.4799999999999999,0.1176470588235294,0.4736842105263157,1.69,0.007143168382983
2019-12-31,537497.5,584995.0,304.10352898514896,325.28169014084506,26.0,23.0,26.0,31.0,1.2,50.0,1.0042336257822586,0.2307692307692307,0.2258064516129032,0.8260869565217391,2.35,-0.0145475252237792
2020-01-31,515995.0,688930.0,311.52202937249666,327.44351636539136,17.0,32.0,40.0,31.0,1.8,65.0,0.9998392017628396,0.1176470588235294,0.064516129032258,0.625,2.45,0.0243946540577961
2020-02-29,520995.0,629803.0,317.91907514450867,336.91608583183967,25.0,29.0,25.0,25.0,1.0,17.0,1.0027488512283091,0.2399999999999999,,0.6551724137931034,2.47,0.020534810282591
2020-03-31,537497.5,697000.0,336.6878271376669,327.2335597999328,16.0,12.0,19.0,29.0,1.8,29.0,1.0041826507814466,0.1875,0.2068965517241379,0.8333333333333333,4.0,0.0590362562693886
