period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,292500.0,339900.0,159.92340213101198,176.28205128205127,2.0,1.0,3.0,4.0,2.0,16.0,1.0001923816852636,0.5,,1.0,12.19,0.0
2019-02-28,1195000.0,375000.0,313.4015211119853,191.15537848605567,1.0,3.0,4.0,4.0,4.0,,1.0,0.0,,0.3333333333333333,12.61,0.9596976861162658
2019-03-31,270933.0,364475.0,134.7736926011611,193.929471914834,2.0,3.0,1.0,2.0,1.0,36.0,0.985827081100393,0.0,0.5,0.0,13.28,-0.5699647783362115
2019-04-30,310000.0,359900.0,172.93679090478298,191.1847527472528,4.0,1.0,1.0,2.0,0.5,48.0,1.000810098596578,0.25,,1.0,12.82,0.2831642998501111
2019-05-31,325000.0,339500.0,182.5842696629213,194.64784770615563,2.0,2.0,4.0,4.0,2.0,20.0,0.9630727429912312,0.0,0.25,1.0,13.16,0.0557861557836476
2019-06-30,275000.0,368000.0,153.28874024526198,193.31491712707185,1.0,3.0,3.0,3.0,3.0,3.0,1.018895887365691,1.0,0.3333333333333333,0.6666666666666666,13.08,-0.1604493611182572
2019-07-31,281519.5,366000.0,177.32127169779864,198.48589043533,4.0,5.0,6.0,4.0,1.0,40.0,0.9894109477124184,0.0,0.25,0.8,11.56,0.1567794960940027
2019-08-31,264500.0,335900.0,192.8887389413705,195.9319526627219,4.0,,4.0,8.0,2.0,3.0,1.032716132636939,0.75,0.125,,9.0,0.0877924407744088
2019-09-30,381500.0,349450.0,128.4079434533827,199.07575798097585,1.0,6.0,2.0,3.0,3.0,63.0,1.0200534759358288,1.0,0.3333333333333333,0.3333333333333333,8.07,-0.3342900982290472
2019-10-31,349350.0,349999.5,184.67741935483872,200.30639405639403,7.0,1.0,1.0,1.0,0.1,23.0,0.9992524300627608,0.2857142857142857,1.0,1.0,9.14,0.4382086838878789
2019-11-30,493000.0,345000.0,211.0185266053844,190.32428286629963,2.0,,1.0,2.0,1.0,64.0,0.857286432160804,0.0,,,9.12,0.1426330698282822
2019-12-31,289387.0,,170.22764705882352,,1.0,2.0,,,,84.0,0.8782610015174506,0.0,,0.0,9.93,-0.1933047311189029
2020-01-31,,,,,,,,,,,,,,,9.38,0.0
2020-02-29,,,,,,,,,,,,,,,11.05,0.0
2020-03-31,270000.0,357500.0,189.0869800108049,204.940202509744,5.0,3.0,3.0,2.0,0.4,14.0,1.008571284766956,0.5999999999999999,,1.0,12.76,0.1107888952108018
2020-04-30,295450.0,387000.0,211.60678312420856,204.91071428571428,2.0,1.0,3.0,4.0,2.0,22.0,1.0182122858386655,1.0,0.25,0.0,14.95,0.1190975873226005
2020-05-31,324950.0,,166.581936440374,,2.0,3.0,,1.0,0.5,5.0,1.009090909090909,0.5,,0.6666666666666666,14.97,-0.2127760084959373
2020-06-30,359000.0,375000.0,173.76573088092934,209.6950513142652,3.0,1.0,2.0,1.0,0.2999999999999999,4.0,1.0063084321323972,0.3333333333333333,,1.0,13.55,0.0431246904320066
2020-07-31,308000.0,390000.0,160.81718638140055,217.43702600216685,2.0,3.0,6.0,4.0,2.0,98.0,0.9584606835232008,0.0,0.25,1.0,12.7,-0.0745172505181795
2020-08-31,315000.0,405000.0,159.65125605714752,226.5987146434232,2.0,6.0,3.0,1.0,0.5,15.0,1.0057781201849,0.5,,0.5,15.17,-0.007250035586917
2020-09-30,335900.0,389800.0,217.2686230248307,227.27272727272728,7.0,4.0,4.0,1.0,0.1,5.0,1.0297128315016189,0.8571428571428571,,0.75,17.6,0.360895168573299
2020-10-31,355000.0,399950.0,180.47788510421964,222.22222222222223,4.0,4.0,4.0,1.0,0.2999999999999999,3.0,1.0164720409351062,0.5,1.0,1.0,19.37,-0.1693329547930462
2020-11-30,389000.0,385000.0,202.77777777777777,227.23930481283423,3.0,4.0,4.0,1.0,0.2999999999999999,10.0,1.0005802544595206,0.3333333333333333,1.0,1.0,19.9,0.123560250391236
2020-12-31,349750.0,395000.0,188.18666666666667,226.2066365007541,4.0,2.0,4.0,2.0,0.5,4.0,1.02187717340871,0.75,,1.0,20.73,-0.0719561643835615
2021-01-31,378000.0,396400.0,228.12098305020447,258.48680092176227,2.0,4.0,2.0,,,5.0,1.0388059701492538,0.5,,0.25,22.35,0.2122058756387512
2021-02-28,395250.0,,215.9707418141752,,4.0,,,,,29.0,1.012914936755385,0.5,,,23.82,-0.053262269316783
2021-03-31,411000.0,425000.0,232.07227555053643,244.3122021013812,1.0,1.0,1.0,,,32.0,0.9785714285714284,0.0,,1.0,25.49,0.0745542363799225
2021-04-30,445000.0,,340.2140672782875,,1.0,,,,,3.0,1.0470588235294118,1.0,,,27.12,0.4659832436735938
2021-05-31,,,,,,,,,,,,,,,27.67,0.0
2021-06-30,390000.0,445000.0,217.3913043478261,264.40677966101697,6.0,5.0,3.0,,,7.0,1.0171273118162645,0.8333333333333333,,1.0,28.25,-0.3610161211529067
2021-07-31,405000.0,482450.0,223.21070254762785,263.35234638319935,6.0,3.0,6.0,3.0,0.5,6.0,1.0175104007879792,0.8333333333333333,,1.0,28.54,0.0267692317190879
2021-08-31,385000.0,485000.0,276.62721893491124,262.29168281528564,5.0,3.0,1.0,1.0,0.2,5.0,1.0663962487639516,0.8,1.0,1.0,30.97,0.239309834956886
2021-09-30,,,,,,,,,,,,,,,33.16,0.0
2021-10-31,447000.0,499950.0,312.1147238958323,261.9590239410681,2.0,4.0,2.0,,,10.0,1.0330083197911024,1.0,,0.5,34.21,0.1282863815699606
2021-11-30,382475.0,475000.0,281.99891067538124,267.4825174825175,4.0,2.0,2.0,,,19.0,1.0101387887527036,0.5,,1.0,32.28,-0.0964895626984331
2021-12-31,385500.0,489500.0,319.4536378637764,265.40492847501486,2.0,2.0,4.0,2.0,1.0,5.0,1.03,0.5,,1.0,28.69,0.1328186945782588
2022-01-31,437500.0,479925.0,263.97972531066057,268.8792995652341,2.0,3.0,1.0,,,6.0,1.031448114781448,1.0,,0.3333333333333333,25.83,-0.1736524677698971
2022-02-28,427500.0,488075.0,242.8507586865908,287.4733961690484,4.0,3.0,4.0,1.0,0.2999999999999999,3.0,1.0302300109529023,0.75,,1.0,24.63,-0.0800401114108458
2022-03-31,407500.0,499900.0,272.46134061537487,278.53881278538813,4.0,3.0,2.0,,,10.0,1.103539419293347,1.0,,1.0,26.04,0.1219291308329728
2022-04-30,500000.0,499949.5,252.52525252525248,283.5083384805436,1.0,1.0,2.0,1.0,1.0,4.0,1.1389521640091116,1.0,,1.0,27.35,-0.0731703369186071
2022-05-31,480000.0,492950.0,267.55852842809367,303.6881817926226,1.0,3.0,4.0,2.0,2.0,5.0,1.2,1.0,0.5,0.6666666666666666,27.53,0.0595317725752511
2022-06-30,470000.0,499925.0,238.811771238201,283.390022675737,2.0,5.0,5.0,2.0,1.0,3.0,1.0933757640919646,1.0,0.5,0.8,26.06,-0.1074410049972238
2022-07-31,417500.0,500000.0,268.42142986141994,291.18964659034344,4.0,2.0,2.0,2.0,0.5,10.0,0.9905524337571948,0.25,1.0,0.5,26.34,0.1239874335745578
2022-08-31,635000.0,,640.6379076182075,,2.0,1.0,,1.0,0.5,21.0,0.98064085447263,0.0,,0.0,25.6,1.3866868898990463
2022-09-30,500000.0,529000.0,230.6273062730628,281.437125748503,1.0,1.0,2.0,2.0,2.0,86.0,0.9805844283192782,0.0,0.5,0.0,26.0,-0.6400036533421829
2022-10-31,,,,,,,,,,,,,,,26.56,0.0
2022-11-30,375000.0,484750.0,190.9368635437881,285.23809523809524,1.0,2.0,2.0,1.0,1.0,31.0,0.9894459102902374,0.0,1.0,0.5,27.65,-0.1720977596741351
2022-12-31,524000.0,564750.0,295.71106094808124,264.7614977641431,1.0,,1.0,2.0,2.0,48.0,0.954462659380692,0.0,0.5,,27.97,0.5487373965387516
2023-01-31,,,,,,,,,,,,,,,25.91,0.0
