period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,397000.0,315000.0,125.5748142907676,181.08412685047688,4.0,3.0,3.0,3.0,0.8,49.0,0.9799502154479348,0.25,,0.6666666666666666,2.47,0.0
2019-02-28,879900.0,880000.0,356.2348178137652,420.17167381974247,1.0,1.0,1.0,,,4.0,0.8932994923857867,0.0,,1.0,2.69,1.8368333238296173
2019-03-31,,,,,,,,,,,,,,,1.37,0.0
2019-04-30,413675.0,337905.0,121.35922330097088,197.48603016240645,3.0,5.0,4.0,4.0,1.3,2.0,1.0038101059494702,0.3333333333333333,,0.5999999999999999,3.26,-0.6593280127816818
2019-05-31,415962.5,320000.0,121.9534590711424,190.3897254207263,6.0,3.0,5.0,6.0,1.0,14.0,0.9555136340034304,0.1666666666666666,0.5,1.0,2.42,0.0048965027462133
2019-06-30,370000.0,301445.0,152.32606010703992,206.8275862068965,3.0,2.0,3.0,7.0,2.3,11.0,0.9972914160701007,0.3333333333333333,0.2857142857142857,1.0,1.41,0.2490507548308198
2019-07-31,730000.0,326750.0,219.06129948514547,200.64935064935065,2.0,3.0,1.0,3.0,1.5,8.0,1.0501571877679337,0.5,0.6666666666666666,0.3333333333333333,1.46,0.4381078282416712
2019-08-31,241500.0,344450.0,192.76649627382693,199.6288334921597,4.0,6.0,6.0,3.0,0.8,121.0,0.9975880284450565,0.5,0.3333333333333333,0.6666666666666666,1.44,-0.1200339962974682
2019-09-30,363700.0,316671.0,167.5257731958763,202.67897727272728,5.0,2.0,2.0,3.0,0.5999999999999999,9.0,1.0007065574062164,0.4,0.3333333333333333,1.0,1.89,-0.1309393673996953
2019-10-31,372450.0,310368.0,144.77856055285457,198.0143408714837,2.0,,3.0,5.0,2.5,16.0,0.9887377815554612,0.0,0.4,,2.04,-0.1357833616229604
2019-11-30,465000.0,,152.15968586387436,,1.0,,,5.0,5.0,253.0,0.989572249414769,0.0,0.2,,1.85,0.0509821708603404
2019-12-31,,,,,,,,,,,,,,,2.03,0.0
2020-01-31,,,,,,,,,,,,,,,2.41,0.0
2020-02-29,389000.0,356398.5,165.03167896705824,205.7148696971484,3.0,1.0,1.0,3.0,1.0,7.0,0.9869750963842868,0.0,,1.0,2.36,0.0845952923082364
2020-03-31,349900.0,339999.0,163.19962686567163,204.41196534652696,3.0,2.0,3.0,4.0,1.3,140.0,1.0050520359704962,0.3333333333333333,0.5,0.5,4.63,-0.0111012147052828
2020-04-30,449900.0,344456.0,,210.90556015649543,1.0,,1.0,4.0,4.0,4.0,1.0,0.0,0.25,,9.67,0.0
2020-05-31,819500.0,356545.0,215.2427350173647,218.91321344800625,2.0,2.0,2.0,3.0,1.5,12.0,0.988726977248104,0.0,0.3333333333333333,0.5,8.93,0.3188923231701341
2020-06-30,419950.0,,158.3083054891526,,2.0,1.0,,1.0,0.5,33.0,0.99438202247191,0.0,,0.0,9.4,-0.2645126653107197
2020-07-31,379000.0,364990.0,137.31884057971016,217.59073719857847,1.0,3.0,7.0,4.0,4.0,42.0,1.0,0.0,,1.0,10.26,-0.1325859994811241
2020-08-31,707500.0,,296.27216090806576,,3.0,2.0,,2.0,0.4,26.0,0.9993732866441496,0.2999999999999999,,0.0,10.8,1.1575492456629588
2020-09-30,520000.0,385000.0,152.40328253223916,220.3392122281011,1.0,5.0,8.0,5.0,5.0,93.0,0.9904761904761904,0.0,,0.5999999999999999,12.32,-0.4855970197634248
2020-10-31,360000.0,369950.0,181.36020151133505,233.9111111111111,1.0,4.0,1.0,2.0,2.0,64.0,1.0,0.0,,0.75,11.31,0.1900019376089907
2020-11-30,805000.0,374700.0,156.25,228.6370597243492,2.0,2.0,4.0,4.0,2.0,9.0,1.0,0.0,0.25,0.5,11.61,-0.1384548611111112
2020-12-31,405250.0,391844.0,184.75614250614248,234.12443874278384,2.0,3.0,4.0,5.0,2.5,17.0,0.9839964436541452,0.0,,0.6666666666666666,10.32,0.1824393120393119
2021-01-31,465000.0,399000.0,191.2457498668633,244.13801452784503,2.0,4.0,2.0,2.0,1.0,14.0,1.0,0.0,1.0,0.5,10.86,0.035125259018141
2021-02-28,410000.0,424500.0,158.57605177993528,250.75384836047488,3.0,1.0,2.0,3.0,1.0,7.0,0.9717656701747196,0.3333333333333333,0.3333333333333333,1.0,11.36,-0.1708257470279532
2021-03-31,475000.0,420000.0,197.31800766283524,243.60165973123617,4.0,3.0,4.0,3.0,0.8,18.0,1.0016976487564724,0.5,,0.6666666666666666,11.81,0.2443115177105324
2021-04-30,399450.0,418878.0,234.39099345076647,266.1232528589581,2.0,4.0,2.0,1.0,0.5,65.0,1.0,0.0,,0.75,11.22,0.187884452245632
2021-05-31,510000.0,430091.0,244.48705656759347,274.5740498034076,3.0,2.0,2.0,1.0,0.2999999999999999,14.0,0.9961697722567288,0.3333333333333333,,0.5,12.5,0.0430735966778845
2021-06-30,520000.0,439992.0,238.6261159486349,277.90802675585286,3.0,2.0,4.0,3.0,1.0,6.0,0.981985214176995,0.0,,0.5,11.42,-0.0239723963355835
2021-07-31,735000.0,452500.0,185.8877086494689,284.8297213622291,1.0,4.0,4.0,3.0,3.0,30.0,0.98,0.0,0.6666666666666666,0.5,10.13,-0.2210085308119339
2021-08-31,520000.0,459975.0,221.9432486786557,284.0404498266495,4.0,2.0,2.0,3.0,0.8,14.0,1.0000180537206638,0.25,0.6666666666666666,0.5,11.73,0.1939640888100742
2021-09-30,479000.0,,254.92811379928315,,3.0,1.0,,2.0,0.6999999999999998,6.0,1.0131712259371837,0.3333333333333333,0.5,0.0,15.06,0.1486184658330616
2021-10-31,510000.0,477307.0,244.48705656759347,286.0316494217894,1.0,1.0,2.0,3.0,3.0,77.0,1.0,0.0,,0.0,13.28,-0.0409568684916031
2021-11-30,781250.0,746842.0,431.7505237237679,410.608118799752,1.5,1.5,1.5,3.0,1.5,39.0,0.9858935648235516,0.0,,1.0,13.9,0.7659442989956469
2021-12-31,,,,,,,,,,,,,,,12.38,0.0
2022-01-31,476000.0,531100.0,214.9349168843013,299.338146811071,4.0,4.0,3.0,,,7.0,1.0045133742821388,0.25,,0.75,12.79,-0.5021779822511212
