period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,249912.5,286462.375,155.35618813983194,163.0865942335795,12.75,10.333333333333334,15.75,44.75,4.225,61.0,0.9611307798565928,0.0461469534050179,0.1934578020643594,0.1401515151515151,2.44,0.0
2019-02-28,244750.0,313000.0,155.7957950965939,174.77716223313524,23.5,25.5,37.5,85.5,4.1,66.0,0.9586821305515256,0.1833333333333333,0.1842342342342341,0.4027777777777777,0.76,0.0028296713637585
2019-03-31,226400.0,287530.0,145.85413868533388,147.22094020121995,12.4,19.33333333333333,20.8,39.0,5.16,70.8,0.9647634338323364,0.0415233415233414,0.3893719806763284,0.4141414141414141,1.44,-0.0638120971435471
2019-04-30,213980.0,236180.0,130.6466835670493,138.03679917408866,18.0,14.8,28.8,48.6,2.56,87.6,0.9297241432839958,0.304767441860465,0.2256224451876625,0.2256410256410256,1.72,-0.1042648172712683
2019-05-31,277312.5,430200.0,175.5180800988171,161.9612237867325,25.5,20.0,36.25,70.0,2.75,43.75,0.993416850322938,0.2857689950980392,0.3085470085470085,0.2459742351046698,1.74,0.3434560702701597
2019-06-30,283966.6666666667,288000.0,171.08793444525247,171.68977631185103,40.66666666666666,38.333333333333336,43.0,93.66666666666669,2.233333333333333,41.333333333333336,0.9954130884640796,0.246031746031746,0.238204656862745,0.1844489519945908,0.0,-0.0252403948987502
2019-07-31,249890.0,238150.0,140.4863604277769,174.50977663381155,24.8,26.0,25.0,60.4,3.4,135.4,0.9694507742405905,0.1951423149905123,0.2031971208441796,0.1236175115207373,0.92,-0.1788645944946396
2019-08-31,241250.0,251200.0,147.44238647279218,152.7073050003734,25.75,27.666666666666668,25.5,73.25,5.575,55.25,0.9671141679186006,0.2299465240641711,0.2192370129870129,0.0569487983281086,1.03,0.0495138889201369
2019-09-30,221812.5,242075.0,173.9198818741172,168.12683847995606,22.25,24.666666666666668,23.5,71.25,3.8,52.75,0.972113303027414,0.0874840357598978,0.3111807634730539,0.0522572665429807,2.34,0.1795785868279538
2019-10-31,250912.5,244675.0,152.94814533059477,157.58651594429824,20.5,15.75,23.0,71.25,3.45,69.5,0.9805561775814158,0.2075292397660818,0.2979698094930578,0.2578320802005012,1.25,-0.1205827437181779
2019-11-30,246480.0,268660.0,158.18645794109716,159.64234247334298,14.6,15.5,10.4,47.0,4.92,58.2,0.974256614958034,0.244579533941236,0.1779344193817877,0.0855263157894736,1.35,0.0342489449556897
2019-12-31,249760.0,276825.0,163.2568745311436,152.47661190229675,12.8,11.0,7.25,37.8,2.08,49.6,1.0049099734616618,0.2153846153846153,0.1756448412698412,0.1628571428571428,0.96,0.0320534175683639
2020-01-31,280916.6666666667,253933.3333333333,148.6524087961279,189.764611382548,17.0,10.666666666666666,16.666666666666668,59.0,3.5666666666666664,84.33333333333333,0.9514462767104436,0.1101055806938159,0.1579365079365079,0.2103174603174603,2.6,-0.0894569724978392
2020-02-29,253750.0,277037.5,159.72330837432776,152.78320325636884,12.75,15.666666666666666,24.5,48.75,3.25,75.5,0.9770685165062756,0.2253951149425287,0.150309717382888,0.3,2.33,0.0744750769116917
2020-03-31,255750.0,213575.0,142.86109384474764,137.941295086409,23.5,20.666666666666668,21.5,46.5,2.45,116.25,0.9841690087105944,0.3015038444142921,0.1327540106951871,0.2548562548562548,3.23,-0.1055714078377453
2020-04-30,261500.0,402416.6666666667,153.8640652853771,177.73319733486406,23.33333333333333,19.33333333333333,25.0,58.0,3.233333333333333,98.33333333333331,0.9605770015044972,0.203030303030303,0.1956302521008402,0.1929824561403508,3.91,0.0770186699857331
2020-05-31,289750.0,356662.5,172.67651301883564,176.2632997635797,33.5,36.0,58.0,100.5,2.8,32.0,0.9826474483407972,0.1947619047619047,0.2094701986754966,0.3805132317562148,5.38,0.1222666754486592
2020-06-30,268083.3333333333,342900.0,157.53962605107645,174.1909505596213,34.333333333333336,35.333333333333336,47.333333333333336,72.66666666666667,4.6000000000000005,41.66666666666666,0.9732865960080488,0.2796296296296296,0.1996591683708247,0.4321556579621095,5.61,-0.0876603696885403
2020-07-31,224450.0,275812.5,134.4764180586576,152.11116011202017,24.4,21.2,34.5,47.8,2.68,91.0,0.9920765032157932,0.279,0.2059740259740259,0.241098901098901,4.78,-0.14639623420803
2020-08-31,276600.0,243230.0,169.36360793721343,145.0585314664055,27.6,31.5,22.8,41.0,3.7,88.8,0.992908907349506,0.3807142857142856,0.2974602916463381,0.2722689075630252,5.15,0.2594297972997637
2020-09-30,296750.0,263500.0,171.4284688346235,159.6730431846654,23.4,21.5,24.0,45.0,4.94,248.4,0.982351524434675,0.2175020678246484,0.1761025828460038,0.1789291217257318,4.27,0.0121918806676315
2020-10-31,296984.4,253940.0,161.90801798503898,141.8224840051322,18.8,21.2,20.4,40.4,4.26,49.2,1.0008741388758564,0.563980463980464,0.2268498651107346,0.2083333333333333,7.47,-0.0555359965255762
2020-11-30,227030.0,240360.0,144.83025948565847,137.59516757459622,18.4,14.0,12.0,35.0,3.94,81.6,0.9814976539229368,0.3007407407407407,0.1884199134199133,0.1528132992327365,6.57,-0.1054781518044311
2020-12-31,244240.0,251837.5,148.76068780198094,156.12739187800466,19.2,17.0,13.25,28.4,1.44,52.8,0.995960710313606,0.4490196078431372,0.1800632911392405,0.2856487148102815,6.25,0.027138170781995
2021-01-31,278700.0,279125.0,143.31804819894654,178.59303043702036,11.4,15.25,13.75,23.0,3.12,56.2,0.9993221542779372,0.3883928571428571,0.2446220192795535,0.1819923371647509,6.26,-0.0365865450304937
2021-02-28,306333.3333333333,352200.0,176.39769009814256,203.08596652971008,18.666666666666668,14.333333333333334,32.5,36.333333333333336,1.4333333333333331,64.33333333333333,0.9886326684278536,0.4444444444444444,0.2455284552845528,0.2232854864433812,7.6,0.2308128132841762
2021-03-31,293100.0,254200.0,174.58644852121682,159.39769761131234,18.0,20.0,27.75,26.0,2.4,120.0,0.986723528168948,0.2897777777777778,0.2336601307189542,0.3757012622720898,7.75,-0.0102679438484597
2021-04-30,450625.0,260562.5,179.47663744217863,157.8488735769083,24.5,25.5,31.75,35.25,1.75,120.5,1.0402242537863675,0.6820512820512821,0.1078874396631405,0.2227498869289914,6.66,0.0280101288638534
2021-05-31,258187.5,341562.5,146.8810265578449,171.7498980658355,22.75,26.75,32.75,40.25,1.425,64.0,1.0135677205522255,0.6245381773399015,0.2498079877112134,0.714767616191904,5.01,-0.1816147847924493
2021-06-30,276200.0,262660.0,164.22614067842972,177.94173751746604,28.6,23.6,27.6,34.4,1.5,62.2,1.0115802939141685,0.5548309798887463,0.3043996076782961,0.3708870967741935,5.71,0.1180895485759281
2021-07-31,291166.6666666667,286950.0,174.01831777078482,153.8558602526745,35.666666666666664,49.0,47.66666666666666,69.66666666666667,2.8666666666666667,145.66666666666666,0.982611396325319,0.3752012882447665,0.2159863945578231,0.4038825757575757,5.5,0.0596261779757043
2021-08-31,277940.0,289980.0,174.78573743608803,157.81921055183938,23.4,23.6,25.8,42.8,1.9,25.4,1.0263043006664003,0.7174524400330852,0.3204925972049259,0.1297619047619047,7.24,0.0044099935865029
2021-09-30,270833.3333333333,276116.6666666667,158.69340603770308,158.94732357061145,41.66666666666666,36.333333333333336,30.0,59.0,1.3,42.66666666666666,0.9813196098926446,0.3547325102880658,0.3262248295544632,0.2600412912912913,7.25,-0.0920689046740398
2021-10-31,347333.3333333333,279933.3333333333,169.23315942182225,166.79632744603308,29.666666666666668,49.0,30.33333333333333,52.333333333333336,3.1333333333333333,52.66666666666666,0.9970381455286738,0.2838496006234171,0.2845911949685534,0.2354895879486042,7.86,0.0664158243702646
2021-11-30,267000.0,355800.0,181.2105573969261,183.4592967169347,23.0,18.25,17.333333333333332,31.75,2.9,53.75,0.9705696362216534,0.1902090770015297,0.224263541336712,0.3903061224489795,8.13,0.0707745338799092
2021-12-31,293190.0,290975.0,184.5995677339331,166.91579219245594,18.6,15.0,7.0,15.4,1.54,56.2,0.9744675450441068,0.3647550776583034,0.1497326203208556,0.169078947368421,5.17,0.01870205790264
2022-01-31,274384.875,308150.0,134.0912887123188,205.0777134558765,10.0,5.75,16.666666666666668,24.25,2.7,60.25,0.9602350724672452,0.4513888888888888,0.1615196078431372,0.1999999999999999,6.39,-0.2736099528380957
2022-02-28,354833.3333333333,330816.6666666667,206.31635567581787,191.83346361997545,17.666666666666668,16.0,24.0,35.0,2.033333333333333,33.333333333333336,1.0350958735981146,0.6379585326953748,0.0522501906941266,0.1695526695526695,6.19,0.538626093142051
2022-03-31,237470.0,326212.5,136.0892938468725,166.44479990571242,14.4,15.25,26.0,34.75,2.05,74.2,0.941119408655232,0.4188888888888889,0.083394592828555,0.5742296918767507,5.9,-0.3403853349333691
2022-04-30,365666.6666666667,359700.0,199.46217052981308,204.8362344302908,26.0,37.0,53.0,52.66666666666666,2.033333333333333,36.333333333333336,1.060268934778054,0.7728395061728395,0.0802083333333333,0.1573426573426573,7.4,0.4656712875169126
2022-05-31,329833.3333333333,273083.3333333333,176.0262148448713,162.87456207772206,34.0,45.5,44.333333333333336,66.0,4.7,29.666666666666668,1.042412155324118,0.7765006385696039,0.1278340281913837,0.1414930555555555,7.97,-0.1174957417874827
2022-06-30,348300.0,363283.3333333333,201.14429861812863,201.3448312622292,23.6,30.5,47.0,43.2,2.44,76.4,1.056591081701122,0.7476470588235294,0.1690580911865792,0.3152979314603272,9.09,0.1426951309235016
2022-07-31,349500.0,315000.0,212.5537519078387,200.77594344826247,35.0,32.666666666666664,31.0,65.66666666666667,1.7333333333333334,33.666666666666664,1.0377232029645391,0.6771708683473389,0.2185323383084577,0.2245657568238213,6.49,0.0567227277536255
2022-08-31,279062.5,279475.0,168.6667898670569,149.5780432901192,22.75,23.5,20.25,46.5,2.55,52.5,1.0020455388851968,0.4575047348484848,0.2364654952890246,0.0142857142857142,4.92,-0.2064746523966829
2022-09-30,377166.6666666667,369225.0,200.3815973169077,226.8957448237764,29.33333333333333,32.5,31.5,51.0,1.3666666666666665,52.333333333333336,1.0054268111179898,0.4560564663023679,0.2772549019607843,0.074370709382151,7.23,0.1880323178904892
2022-10-31,278800.0,319850.0,159.1011747077931,215.22494277151884,12.4,12.6,15.25,29.6,2.12,52.8,0.9983452469093604,0.5670542635658915,0.4135126918984648,0.2205314009661835,6.65,-0.2060090505408475
2022-11-30,306138.0,382825.0,186.1725734997208,187.5408765010502,11.6,12.25,11.5,24.8,2.3600000000000003,119.8,1.034168268838028,0.4682539682539682,0.2384615384615384,0.2894736842105263,6.24,0.1701520987613531
2022-12-31,330644.25,362166.6666666667,214.6452717761408,205.293318936828,14.5,13.25,14.333333333333334,24.75,2.25,52.25,1.0103738129877304,0.4004524886877828,0.2730496453900708,0.1535714285714285,5.45,0.1529371257064493
2023-01-31,292688.625,343725.0,165.36747396113384,202.8643702161883,10.75,10.666666666666666,10.0,25.0,2.15,73.5,0.903433010183342,0.3472222222222222,0.2581521739130434,0.1666666666666666,7.53,-0.2295778397876849
2023-02-28,357833.3333333333,385766.6666666667,211.37325285461705,211.72831588901727,12.333333333333334,8.666666666666666,13.0,32.666666666666664,2.2,47.66666666666666,1.0050911378868197,0.4984126984126984,0.0943478260869565,0.1004901960784313,7.53,0.2782033116397238
2023-03-31,338250.0,321620.0,181.6453490455873,198.87879070269943,11.4,14.5,15.6,22.6,2.18,47.0,1.0169459908431873,0.6936231884057971,0.2236394557823128,0.0780812324929971,7.74,-0.1406417482228779
2023-04-30,371875.0,387287.5,177.38629131150137,193.00632623040664,16.75,14.25,18.5,28.0,1.625,66.25,0.96721867855427,0.2817581300813008,0.0684767759562841,0.4513157894736842,8.67,-0.0234471058932372
2023-05-31,391248.6666666667,391316.6666666667,237.0649683922109,230.7772351627553,23.33333333333333,21.666666666666668,26.666666666666668,39.0,1.5,32.0,1.0275731685834308,0.7407407407407408,0.1430303030303029,0.335269066976384,7.82,0.3364334224447483
2023-06-30,350590.0,260650.0,207.1334742609265,156.39554030314557,17.4,17.0,20.0,26.6,1.42,58.0,1.0162088559587716,0.4342175066312997,0.1804714731241973,0.480051282051282,6.38,-0.1262586131315883
2023-07-31,347020.0,298140.0,190.2583476096985,210.0431873332828,16.0,15.6,17.0,26.8,1.72,31.8,1.0407470374930137,0.6654088050314465,0.246590909090909,0.1437062937062936,6.23,-0.0814698189727188
2023-08-31,274350.0,317575.0,176.59961198381765,180.0772578323373,20.25,16.75,17.25,32.0,2.2,32.25,0.9878942207526454,0.380392156862745,0.2804761904761904,0.3541666666666666,7.58,-0.0717904670017463
2023-09-30,313773.3,345630.0,230.51378744849416,178.7537581593966,14.0,16.0,12.2,23.6,1.46,35.4,1.0107332136637903,0.5825263157894737,0.2468487394957982,0.1249999999999999,5.86,0.3052904525612254
2023-10-31,,,,,,,,,,,,,,,,
2023-11-30,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,
2024-01-31,,,,,,,,,,,,,,,,
2024-02-29,,,,,,,,,,,,,,,,
2024-03-31,,,,,,,,,,,,,,,,
2024-04-30,,,,,,,,,,,,,,,,
2024-05-31,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,
2024-07-31,,,,,,,,,,,,,,,,
2024-08-31,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,
2024-11-30,,,,,,,,,,,,,,,,
2024-12-31,,,,,,,,,,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,
2025-05-31,,,,,,,,,,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,
2025-08-31,,,,,,,,,,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,
2025-11-30,,,,,,,,,,,,,,,,
2025-12-31,,,,,,,,,,,,,,,,
