period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,190000.0,179900.0,90.90909090909088,105.8068118369626,11.0,13.0,3.0,9.0,0.8,45.0,0.9907419649634732,0.0,0.1111111111111111,0.0769230769230769,2.95,0.0
2019-02-28,175500.0,199900.0,91.72774242719652,107.33715103793844,2.0,3.0,1.0,7.0,3.5,20.0,1.0167527453739469,1.0,0.2857142857142857,0.0,5.39,0.0090051666991619
2019-03-31,119250.0,187000.0,69.17423259835711,108.38364254451642,2.0,3.0,4.0,6.0,2.0,75.5,0.9317014000483164,0.0,,0.6666666666666666,6.54,-0.2458744675498791
2019-04-30,96500.0,184900.0,50.41349568746829,103.0936947554508,8.0,8.0,10.0,7.0,0.9,39.0,0.9482090298124146,0.125,,0.75,6.17,-0.2712099029680365
2019-05-31,145000.0,191000.0,65.39351851851852,109.98871331828444,7.0,5.0,5.0,6.0,0.9,38.0,0.9657909961440094,0.4285714285714285,,0.2,7.08,0.2971431087405021
2019-06-30,158000.0,181700.0,84.99236551562133,107.1143621126065,2.0,2.0,6.0,10.0,5.0,36.0,0.9785714285714286,0.0,0.1,0.5,7.93,0.2997062620441917
2019-07-31,110500.0,184900.0,58.5480093676815,106.3164477798624,5.0,6.0,10.0,13.0,2.6,34.0,1.0076698136902915,0.2,0.1538461538461538,0.3333333333333333,6.06,-0.3111380179562062
2019-08-31,148150.0,178400.0,67.59393172059691,103.50241746499071,8.0,4.0,8.0,17.0,2.1,46.0,0.9784561553857248,0.25,0.1176470588235294,0.0,3.66,0.1545043537877952
2019-09-30,145000.0,171000.0,87.91172681156908,111.15733765211796,4.0,4.0,10.0,23.0,5.8,44.0,1.0059169116396958,0.25,0.3043478260869565,0.25,1.91,0.3005860818239845
2019-10-31,160450.0,184900.0,80.43402777777777,104.09482758620688,10.0,11.0,11.0,23.0,2.3,59.0,0.9556808129708482,0.0,0.2608695652173913,0.3636363636363636,2.0,-0.0850591758915063
2019-11-30,125800.0,174900.0,78.48837209302326,101.7365269461078,13.0,11.0,3.0,12.0,0.9,48.0,0.9642103704592097,0.1538461538461538,0.25,0.0909090909090909,1.84,-0.0241894598406777
2019-12-31,125000.0,184400.0,73.5135135135135,120.32286460699682,5.0,3.0,5.0,12.0,2.4,66.0,0.9731368169657376,0.2,,0.3333333333333333,2.31,-0.0633833833833835
2020-01-31,155000.0,203450.0,76.042023921804,118.38127823545044,4.0,4.0,3.0,10.0,2.5,40.0,0.9534662241218274,0.0,0.2,0.25,2.28,0.0343951783480693
2020-02-29,89900.0,219900.0,62.08563535911602,105.4788961038961,3.0,4.0,4.0,10.0,3.3,135.0,0.9548288386315078,0.0,0.4,0.0,2.44,-0.1835352064937107
2020-03-31,,,,,,,,,,,,,,,3.36,0.0
2020-04-30,125000.0,199900.0,64.85355648535565,114.697265625,5.0,4.0,2.0,7.0,1.4,54.0,0.9741512507405284,0.2,0.1428571428571428,0.0,3.45,0.0445823113547829
2020-05-31,132000.0,199900.0,112.24489795918367,110.46511627906976,1.0,1.0,11.0,15.0,15.0,322.0,1.0161662817551964,1.0,,1.0,3.44,0.7307439104674127
2020-06-30,132550.0,189900.0,73.82675438596493,113.75532493428804,8.0,11.0,7.0,11.0,1.4,49.0,0.9452818525029156,0.5,,0.3636363636363636,3.13,-0.3422707336523124
2020-07-31,138550.0,218900.0,70.99099793306016,117.0655567117586,6.0,3.0,6.0,13.0,2.2,37.0,0.9785820788000796,0.1666666666666666,0.2307692307692307,0.0,3.66,-0.038410959231385
2020-08-31,190000.0,199900.0,76.68711656441718,113.12877263581488,5.0,5.0,6.0,14.0,2.8,64.0,0.969729825727144,0.2,0.1428571428571428,0.4,4.21,0.0802371962249084
2020-09-30,178500.0,199900.0,93.14295133534276,115.45569088618228,6.0,7.0,6.0,12.0,2.0,52.0,0.9886518366980092,0.1666666666666666,0.25,0.1428571428571428,3.94,0.2145840854128695
2020-10-31,180000.0,200000.0,66.37102328763675,116.21067031463748,4.0,5.0,6.0,11.0,2.8,134.0,0.9416395386983624,0.0,0.1818181818181818,0.8,4.29,-0.2874283846913867
2020-11-30,189900.0,176900.0,68.11585472706561,112.09245347151408,8.0,5.0,5.0,11.0,1.4,47.0,0.9866401708970002,0.25,0.0909090909090909,0.0,4.17,0.0262890543643898
2020-12-31,107000.0,192900.0,71.07843137254902,116.74179210021214,3.0,2.0,4.0,11.0,3.7,62.0,0.9485145233221236,0.0,,0.5,3.94,0.0434932022413019
2021-01-31,160400.0,215900.0,90.12595337845096,124.48767634913136,2.0,6.0,7.0,10.0,5.0,54.0,1.0,0.0,,0.6666666666666666,3.19,0.2679789302899307
2021-02-28,119950.0,235900.0,81.00100540404675,123.76190476190476,6.0,4.0,2.0,7.0,1.2,62.0,0.9987347671660362,0.3333333333333333,,0.25,2.98,-0.1012466180089916
2021-03-31,126000.0,234900.0,84.7457627118644,124.50851900393184,9.0,5.0,13.0,14.0,1.6,19.0,1.0187224444642355,0.4444444444444444,,0.2,3.13,0.0462309978640163
2021-04-30,245000.0,219900.0,118.30357142857144,124.51355920011508,7.0,10.0,7.0,10.0,1.4,48.0,0.9853169287729387,0.1428571428571428,,0.4,3.16,0.395982142857143
2021-05-31,194650.0,239900.0,99.69589377484114,129.77386934673368,10.0,5.0,5.0,10.0,1.0,7.0,1.0129946709263846,0.5999999999999999,0.2,0.2,3.26,-0.1572875394126637
