period_begin,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,remote_work_share,asset_value_momentum
2019-01-31,109750.0,138900.0,78.16538753265479,90.95083023297217,42.0,15.0,49.0,184.0,4.4,94.0,0.955975805971645,0.1666666666666666,0.1304347826086956,0.0,0.56,0.0
2019-02-28,159950.0,144900.0,86.69354838709678,89.93250843644545,36.0,23.0,45.0,189.0,5.3,78.0,0.9815994996705008,0.1666666666666666,0.1164021164021164,0.0434782608695652,0.56,0.1091040564582273
2019-03-31,123900.0,119900.0,80.66666666666667,75.7918552036199,53.0,25.0,55.0,186.0,3.5,100.0,0.9724305586365,0.320754716981132,0.1021505376344086,0.0,0.75,-0.0695193798449612
2019-04-30,129000.0,119900.0,87.11419753086419,84.79112271540468,57.0,47.0,88.0,205.0,3.6,71.0,0.968385484906964,0.2105263157894736,0.1560975609756097,0.1276595744680851,0.19,0.0799280685644321
2019-05-31,120000.0,132950.0,86.82114409847937,91.73603604513724,77.0,51.0,109.0,234.0,3.0,62.0,0.9866921005909188,0.2597402597402597,0.1495726495726495,0.0392156862745098,0.19,-0.0033640146002722
2019-06-30,126950.0,155000.0,90.83598236289156,94.67195068251873,74.0,52.0,90.0,252.0,3.4,54.0,0.9910803503376062,0.4324324324324324,0.1349206349206349,0.0192307692307692,0.0,0.0462426325534048
2019-07-31,140000.0,150000.0,100.0,95.4032957502168,99.0,84.0,100.0,249.0,2.5,57.0,0.9884984742871072,0.4747474747474747,0.1726907630522088,0.0238095238095238,0.0,0.10088532538238
2019-08-31,144225.0,120000.0,94.37956447868204,88.21321321321322,100.0,79.0,88.0,232.0,2.3,54.0,0.9859187980436556,0.44,0.1939655172413793,0.0379746835443037,0.0,-0.0562043552131795
2019-09-30,150000.0,125000.0,91.3879981676592,92.16903591903592,81.0,62.0,92.0,234.0,2.9,62.0,0.9781256772732492,0.3580246913580246,0.1752136752136752,0.0161290322580645,0.06,-0.0316971828334571
2019-10-31,128000.0,128400.0,93.72331720062706,92.7629487845834,70.0,60.0,70.0,226.0,3.2,58.0,0.9872597873018436,0.2999999999999999,0.2168141592920354,0.0333333333333333,0.57,0.025553891974781
2019-11-30,123000.0,129900.0,95.34655448717947,86.34361233480176,66.0,62.0,53.0,200.0,3.0,58.0,0.982620880766182,0.2424242424242424,0.19,0.0161290322580645,1.13,0.0173194604612387
2019-12-31,139900.0,129900.0,84.97807017543859,85.34822601839683,47.0,32.0,32.0,176.0,3.7,66.0,0.9815025957069384,0.2127659574468085,0.096590909090909,0.09375,1.63,-0.1087452437847144
2020-01-31,130900.0,139950.0,93.16425943481282,97.28455081858225,44.0,28.0,50.0,172.0,3.9,72.0,0.9903040527727016,0.3181818181818181,0.1220930232558139,0.0,1.81,0.0963329626393458
2020-02-29,122000.0,149950.0,89.86784140969164,92.92499596504577,45.0,25.0,42.0,161.0,3.6,93.0,0.9641353309765572,0.1111111111111111,0.124223602484472,0.0,2.11,-0.0353828608215116
2020-03-31,157400.0,159900.0,95.11456890176488,101.171875,58.0,40.0,72.0,170.0,2.9,64.0,0.9776047890360776,0.2586206896551724,0.1352941176470588,0.0749999999999999,2.25,0.0583827029755208
2020-04-30,145900.0,144900.0,103.09278350515464,101.44927536231884,57.0,37.0,71.0,175.0,3.1,66.0,1.0057895871734417,0.5087719298245614,0.0628571428571428,0.027027027027027,2.15,0.0838800479832877
2020-05-31,141000.0,139900.0,95.08625196027182,98.59075535512964,83.0,61.0,70.0,167.0,2.0,56.0,0.9964023656088186,0.3614457831325301,0.1137724550898203,0.0163934426229508,1.57,-0.0776633559853633
2020-06-30,147200.0,145000.0,100.44440958879042,98.85278239202655,72.0,57.0,84.0,171.0,2.4,53.0,1.0010958714287777,0.5694444444444444,0.0935672514619882,0.0701754385964912,1.58,0.0563504977644644
2020-07-31,143000.0,144000.0,108.45738479027604,100.74682598954443,94.0,84.0,96.0,173.0,1.8,45.0,0.9987358807570794,0.5106382978723403,0.0693641618497109,0.0119047619047619,1.36,0.0797752232731512
2020-08-31,152000.0,141900.0,101.2404961984794,103.17460317460318,75.0,69.0,101.0,192.0,2.6,51.0,1.0137507521259372,0.6266666666666667,0.1145833333333333,0.0434782608695652,2.49,-0.0665412374247444
2020-09-30,150500.0,149900.0,104.44987559152464,98.78867682539784,82.0,71.0,54.0,163.0,2.0,53.0,1.0037790790823111,0.573170731707317,0.1226993865030674,0.028169014084507,2.71,0.031700549815099
2020-10-31,146000.0,155000.0,105.87026986280718,99.68827930174564,78.0,75.0,71.0,153.0,2.0,57.0,1.0083721695626446,0.5641025641025641,0.1633986928104575,0.0533333333333333,3.58,0.0135988124757304
2020-11-30,145000.0,139900.0,101.46561443066516,93.97791798107257,65.0,54.0,52.0,139.0,2.1,51.0,1.0121779274445917,0.5538461538461538,0.1654676258992805,0.0185185185185185,3.04,-0.0416042713204549
2020-12-31,152750.0,140000.0,96.61742757952072,100.33482142857144,60.0,56.0,43.0,112.0,1.9,53.0,0.9943014833301884,0.3833333333333333,0.1696428571428571,0.0178571428571428,3.04,-0.0477815748551678
